,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,517,James David Rodríguez Rubio,James David,Rodríguez Rubio,31,1991-07-12,Cúcuta,Colombia,Colombia,180 cm,75 kg,False,https://media.api-sports.io/football/players/517.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2019,8,5,419,,Midfielder,7.350000,False,3,3,13,9,1,1,,1,,223,14,82,14,0,2,11,9,1,1,,8,5,1,0,0,,,0,0,
1,517,James David Rodríguez Rubio,James David,Rodríguez Rubio,31,1991-07-12,Cúcuta,Colombia,Colombia,180 cm,75 kg,False,https://media.api-sports.io/football/players/517.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2019,3,3,216,,Midfielder,7.100000,False,0,2,0,9,2,0,,1,,140,1,91,7,0,0,,,3,1,,1,6,0,0,0,,,0,0,
2,517,James David Rodríguez Rubio,James David,Rodríguez Rubio,31,1991-07-12,Cúcuta,Colombia,Colombia,180 cm,75 kg,False,https://media.api-sports.io/football/players/517.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,2,1,81,,Midfielder,6.250000,False,1,1,1,1,0,0,,,,47,0,80,,0,0,,,1,1,,0,0,0,0,0,,,0,0,
3,517,James David Rodríguez Rubio,James David,Rodríguez Rubio,31,1991-07-12,Cúcuta,Colombia,Colombia,180 cm,75 kg,False,https://media.api-sports.io/football/players/517.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,730,T. Courtois,Thibaut Nicolas Marc,Courtois,30,1992-05-11,Bree,Belgium,Belgium,199 cm,91 kg,False,https://media.api-sports.io/football/players/730.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2019,34,34,3060,,Goalkeeper,7.133333,False,0,0,2,1,1,0,18,,75,644,0,75,,0,2,3,3,0,0,,4,0,1,0,0,,,0,0,0
5,730,T. Courtois,Thibaut Nicolas Marc,Courtois,30,1992-05-11,Bree,Belgium,Belgium,199 cm,91 kg,False,https://media.api-sports.io/football/players/730.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2019,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,730,T. Courtois,Thibaut Nicolas Marc,Courtois,30,1992-05-11,Bree,Belgium,Belgium,199 cm,91 kg,False,https://media.api-sports.io/football/players/730.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,7,7,586,,Goalkeeper,6.957142,False,0,1,1,0,0,0,11,,20,153,0,80,,0,1,0,0,0,0,,0,0,1,0,0,,,0,0,0
7,730,T. Courtois,Thibaut Nicolas Marc,Courtois,30,1992-05-11,Bree,Belgium,Belgium,199 cm,91 kg,False,https://media.api-sports.io/football/players/730.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,Club Friendlies,,,,2019,2,2,180,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,731,K. Navas,Keylor,Navas Gamboa,36,1986-12-15,San Isidro,Costa Rica,Costa Rica,185 cm,79 kg,False,https://media.api-sports.io/football/players/731.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2019,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,731,K. Navas,Keylor,Navas Gamboa,36,1986-12-15,San Isidro,Costa Rica,Costa Rica,185 cm,79 kg,False,https://media.api-sports.io/football/players/731.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,0,0,0,,Goalkeeper,7.212500,False,0,0,0,0,0,0,6,,18,153,0,68,,0,1,0,0,1,1,,1,0,0,0,0,,,0,0,1
10,731,K. Navas,Keylor,Navas Gamboa,36,1986-12-15,San Isidro,Costa Rica,Costa Rica,185 cm,79 kg,False,https://media.api-sports.io/football/players/731.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,733,Carvajal,Daniel,Carvajal Ramos,30,1992-01-11,Leganés,Spain,Spain,173 cm,73 kg,False,https://media.api-sports.io/football/players/733.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2019,31,31,2741,,Defender,7.280645,False,0,2,2,20,9,1,,5,,1728,41,86,61,14,37,71,32,53,25,,30,42,11,0,0,1,,0,0,
12,733,Carvajal,Daniel,Carvajal Ramos,30,1992-01-11,Leganés,Spain,Spain,173 cm,73 kg,False,https://media.api-sports.io/football/players/733.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2019,2,2,180,,Defender,7.700000,False,0,0,0,0,0,0,,1,,139,5,89,3,0,3,,,4,3,,1,3,0,0,0,,,0,0,
