,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2768,J. Collins,Jamilu,Collins,28,1994-08-05,,Nigeria,Nigeria,183 cm,69 kg,False,https://media.api-sports.io/football/players/2768.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,30,30,2669,,Defender,6.758620,False,0,0,0,18,2,1,,2,,1025,18,74,63,20,68,83,35,76,39,,26,45,8,1,0,,2,0,1,
1,2768,J. Collins,Jamilu,Collins,28,1994-08-05,,Nigeria,Nigeria,183 cm,69 kg,False,https://media.api-sports.io/football/players/2768.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,2,1,99,,Defender,6.850000,False,1,0,1,0,0,0,,,,37,0,83,2,0,10,,,6,3,,0,0,0,0,0,,,0,0,
2,2768,J. Collins,Jamilu,Collins,28,1994-08-05,,Nigeria,Nigeria,183 cm,69 kg,False,https://media.api-sports.io/football/players/2768.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2952,M. Dräger,Mohamed,Dräger,26,1996-06-25,Freiburg,Germany,Tunisia,180 cm,74 kg,False,https://media.api-sports.io/football/players/2952.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,18,16,1457,,Defender,6.444444,False,2,6,17,14,2,1,,3,,478,15,77,24,5,18,54,18,44,15,,23,16,2,0,0,,,0,0,
4,2952,M. Dräger,Mohamed,Dräger,26,1996-06-25,Freiburg,Germany,Tunisia,180 cm,74 kg,False,https://media.api-sports.io/football/players/2952.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2952,M. Dräger,Mohamed,Dräger,26,1996-06-25,Freiburg,Germany,Tunisia,180 cm,74 kg,False,https://media.api-sports.io/football/players/2952.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,19087,D. Srbeny,Dennis,Srbeny,28,1994-05-05,Berlin,Germany,Germany,190 cm,83 kg,False,https://media.api-sports.io/football/players/19087.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,17,14,1127,,Attacker,6.768750,False,3,11,3,24,8,5,,1,,135,6,65,11,1,3,79,33,21,13,,21,17,2,0,0,,,0,0,
7,20051,Anthony Kenneth Evans,Anthony Kenneth,Evans,24,1998-09-23,Fazakerley,England,England,186 cm,68 kg,False,https://media.api-sports.io/football/players/20051.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,6,2,153,,Midfielder,6.780000,False,4,2,9,2,1,0,,,,33,4,57,5,0,2,26,10,5,2,,1,5,0,0,0,,,0,0,
8,24813,M. Ratajczak,Michael,Ratajczak,39,1982-04-16,Herne,Germany,Germany,189 cm,88 kg,False,https://media.api-sports.io/football/players/24813.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,24813,M. Ratajczak,Michael,Ratajczak,39,1982-04-16,Herne,Germany,Germany,189 cm,88 kg,False,https://media.api-sports.io/football/players/24813.png,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
