,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,103,J. Aholou,Jean-Eudès,Aholou,28,1994-03-20,Yopougnon,Côte d'Ivoire,Côte d'Ivoire,186 cm,71 kg,False,https://media.api-sports.io/football/players/103.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,11,8,633,,Midfielder,6.690000,False,3,5,6,8,2,1,,1,,242,4,84,12,1,16,,,14,11,,13,11,3,0,1,,,0,0,
1,103,J. Aholou,Jean-Eudès,Aholou,28,1994-03-20,Yopougnon,Côte d'Ivoire,Côte d'Ivoire,186 cm,71 kg,False,https://media.api-sports.io/football/players/103.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,103,J. Aholou,Jean-Eudès,Aholou,28,1994-03-20,Yopougnon,Côte d'Ivoire,Côte d'Ivoire,186 cm,71 kg,False,https://media.api-sports.io/football/players/103.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,2,2,135,,Midfielder,6.300000,False,0,2,0,0,0,0,,,,15,0,68,1,0,2,,,0,0,,2,3,1,0,0,,,0,0,
3,103,J. Aholou,Jean-Eudès,Aholou,28,1994-03-20,Yopougnon,Côte d'Ivoire,Côte d'Ivoire,186 cm,71 kg,False,https://media.api-sports.io/football/players/103.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,4,4,246,,Midfielder,6.675000,False,0,3,0,5,0,0,,,,87,2,80,5,0,4,,,4,2,,5,4,0,0,0,,,0,0,
4,1261,Sergi Palencia,Sergi,Palencia Hurtado,26,1996-03-23,Badalona,Spain,Spain,168 cm,67 kg,False,https://media.api-sports.io/football/players/1261.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,6,6,471,,Defender,6.833333,False,0,3,5,1,0,0,,,,155,2,77,15,1,8,,,4,4,,8,8,2,0,0,,,0,0,
5,1261,Sergi Palencia,Sergi,Palencia Hurtado,26,1996-03-23,Badalona,Spain,Spain,168 cm,67 kg,False,https://media.api-sports.io/football/players/1261.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,90,,Defender,7.300000,False,0,0,0,0,0,0,,,,28,0,63,8,1,0,,,1,0,,0,1,0,0,0,,,0,0,
6,1261,Sergi Palencia,Sergi,Palencia Hurtado,26,1996-03-23,Badalona,Spain,Spain,168 cm,67 kg,False,https://media.api-sports.io/football/players/1261.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,90,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
7,1261,Sergi Palencia,Sergi,Palencia Hurtado,26,1996-03-23,Badalona,Spain,Spain,168 cm,67 kg,False,https://media.api-sports.io/football/players/1261.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,1,1,90,,Defender,6.700000,False,0,0,0,0,0,0,,,,44,0,80,5,0,1,,,3,3,,0,2,0,0,0,,,0,0,
8,22082,J. Moulin,Jessy,Moulin,36,1986-01-13,Valence,France,France,185 cm,88 kg,False,https://media.api-sports.io/football/players/22082.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,5,5,450,,Goalkeeper,7.875000,False,0,0,21,0,0,0,3,,18,57,0,55,,0,0,,,0,0,,1,0,0,0,0,,,0,0,0
9,22082,J. Moulin,Jessy,Moulin,36,1986-01-13,Valence,France,France,185 cm,88 kg,False,https://media.api-sports.io/football/players/22082.png,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,2,2,180,,Goalkeeper,5.800000,False,0,0,0,0,0,0,7,,4,26,0,53,,0,1,,,0,0,,0,0,0,0,0,,,0,0,0
