,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1934,S. Berge,Sander Gard,Bolin Berge,24,1998-02-14,Bærum,Norway,Norway,195 cm,96 kg,False,https://media.api-sports.io/football/players/1934.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,14,12,948,,Midfielder,6.876923,False,2,7,2,5,2,1,,1,,294,2,79,22,1,10,127,77,20,15,,5,18,0,0,0,,,0,0,
1,1934,S. Berge,Sander Gard,Bolin Berge,24,1998-02-14,Bærum,Norway,Norway,195 cm,96 kg,False,https://media.api-sports.io/football/players/1934.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,2,1,154,,Midfielder,7.000000,False,1,1,1,3,0,0,,,,101,1,78,3,0,2,6,5,5,5,,1,1,0,0,0,,,0,0,
2,8924,M. Verrips,Michael Robin,Verrips,26,1996-12-03,Velp,Netherlands,Netherlands,195 cm,85 kg,False,https://media.api-sports.io/football/players/8924.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,8924,M. Verrips,Michael Robin,Verrips,26,1996-12-03,Velp,Netherlands,Netherlands,195 cm,85 kg,False,https://media.api-sports.io/football/players/8924.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,8924,M. Verrips,Michael Robin,Verrips,26,1996-12-03,Velp,Netherlands,Netherlands,195 cm,85 kg,False,https://media.api-sports.io/football/players/8924.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,41,,Goalkeeper,,False,0,1,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,12555,Richairo Zivkovic,Richairo,Zivkovic,26,1996-09-05,Assen,Netherlands,Netherlands,187 cm,73 kg,False,https://media.api-sports.io/football/players/12555.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,5,0,107,,Attacker,6.340000,False,5,0,9,1,0,0,,,,16,2,92,2,0,0,23,3,3,0,,1,1,0,0,0,,,0,0,
6,12555,Richairo Zivkovic,Richairo,Zivkovic,26,1996-09-05,Assen,Netherlands,Netherlands,187 cm,73 kg,False,https://media.api-sports.io/football/players/12555.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,18331,R. Norrington-Davies,Rhys,Llewelyn Norrington-Davies,23,1999-04-22,Riyadh,Saudi Arabia,Wales,181 cm,68 kg,False,https://media.api-sports.io/football/players/18331.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,7.700000,False,0,0,0,1,1,0,,,,71,0,78,3,1,2,,,1,1,,0,3,0,0,0,,,0,0,
8,19090,G. Baldock,George,Baldock,29,1993-03-09,Buckingham,England,England,178 cm,71 kg,False,https://media.api-sports.io/football/players/19090.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,38,38,3420,,Defender,6.844736,False,0,0,0,13,5,2,,3,,849,23,74,62,3,34,358,186,70,42,,44,47,7,0,0,1,,0,0,
9,19090,G. Baldock,George,Baldock,29,1993-03-09,Buckingham,England,England,178 cm,71 kg,False,https://media.api-sports.io/football/players/19090.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,2,2,182,,Defender,6.350000,False,0,1,0,0,0,0,,,,47,1,80,1,0,0,4,1,1,0,,1,6,0,0,0,,1,0,0,
10,19090,G. Baldock,George,Baldock,29,1993-03-09,Buckingham,England,England,178 cm,71 kg,False,https://media.api-sports.io/football/players/19090.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,19091,C. Basham,Chris,Basham,34,1988-07-20,Hebburn,England,England,190 cm,80 kg,False,https://media.api-sports.io/football/players/19091.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,38,38,3255,,Defender,6.978947,False,0,13,0,6,0,0,,1,,982,12,72,85,15,77,387,247,37,24,,31,26,4,0,0,,1,0,0,
12,19091,C. Basham,Chris,Basham,34,1988-07-20,Hebburn,England,England,190 cm,80 kg,False,https://media.api-sports.io/football/players/19091.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,19091,C. Basham,Chris,Basham,34,1988-07-20,Hebburn,England,England,190 cm,80 kg,False,https://media.api-sports.io/football/players/19091.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,4,3,317,,Defender,6.650000,False,1,1,1,2,1,0,,,,83,1,77,4,2,2,7,4,1,1,,2,2,0,0,0,,1,0,0,
14,19093,J. Egan,John,Egan,30,1992-10-20,Cork,Republic of Ireland,Republic of Ireland,185 cm,75 kg,False,https://media.api-sports.io/football/players/19093.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,36,36,3189,,Defender,6.972222,False,0,1,0,27,5,2,,,,1035,1,78,44,27,58,327,198,2,1,,20,34,4,1,0,,1,0,0,
15,19093,J. Egan,John,Egan,30,1992-10-20,Cork,Republic of Ireland,Republic of Ireland,185 cm,75 kg,False,https://media.api-sports.io/football/players/19093.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,19093,J. Egan,John,Egan,30,1992-10-20,Cork,Republic of Ireland,Republic of Ireland,185 cm,75 kg,False,https://media.api-sports.io/football/players/19093.png,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,2,2,210,,Defender,7.000000,False,0,0,1,1,0,0,,,,104,0,80,3,1,2,6,5,0,0,,1,2,0,0,0,,,0,0,
