,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,57062,R. Mastrilli,Riccardo,Mastrilli,23,1997-05-30,,Italy,Italy,,,False,https://media.api-sports.io/football/players/57062.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,57062,R. Mastrilli,Riccardo,Mastrilli,23,1997-05-30,,Italy,Italy,,,False,https://media.api-sports.io/football/players/57062.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,57062,R. Mastrilli,Riccardo,Mastrilli,23,1997-05-30,,Italy,Italy,,,False,https://media.api-sports.io/football/players/57062.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,30877,S. Floccari,Sergio,Floccari,40,1981-11-12,Vibo Valentia,Italy,Italy,180 cm,80 kg,False,https://media.api-sports.io/football/players/30877.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,24,9,932,,Attacker,6.637500,False,15,5,25,18,6,1,,,,196,9,78,8,1,5,54,24,22,15,,18,22,3,0,0,,,0,0,
4,30877,S. Floccari,Sergio,Floccari,40,1981-11-12,Vibo Valentia,Italy,Italy,180 cm,80 kg,False,https://media.api-sports.io/football/players/30877.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,178,,Attacker,6.700000,False,0,1,1,2,1,1,,,,25,1,80,3,0,0,,,2,1,,2,2,0,0,0,,,0,0,
5,30856,Felipe,Felipe,Dias da Silva dal Belo,36,1984-07-31,Guarantiguetà,Brazil,Brazil,188 cm,75 kg,False,https://media.api-sports.io/football/players/30856.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,15,11,997,,Defender,6.492857,False,4,4,24,6,2,0,,,,353,1,86,12,11,9,9,6,0,0,,9,19,5,0,0,,1,0,0,
6,30856,Felipe,Felipe,Dias da Silva dal Belo,36,1984-07-31,Guarantiguetà,Brazil,Brazil,188 cm,75 kg,False,https://media.api-sports.io/football/players/30856.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,135862,P. Cannistrà,Paolo,Cannistrà,21,2000-11-03,,Italy,Italy,,,False,https://media.api-sports.io/football/players/135862.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,13,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,135862,P. Cannistrà,Paolo,Cannistrà,21,2000-11-03,,Italy,Italy,,,False,https://media.api-sports.io/football/players/135862.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,30874,M. Valdifiori,Mirko,Valdifiori,35,1986-04-21,Lugo,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/30874.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,22,15,1399,,Midfielder,6.971428,False,7,6,21,4,2,0,,3,,690,34,84,29,3,3,48,29,11,8,,13,14,5,0,0,,,0,0,
10,30874,M. Valdifiori,Mirko,Valdifiori,35,1986-04-21,Lugo,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/30874.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,0,27,,Midfielder,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,30867,Simone Missiroli,Simone,Missiroli,36,1986-05-23,Reggio Calabria,Italy,Italy,191 cm,77 kg,False,https://media.api-sports.io/football/players/30867.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,34,31,2799,,Midfielder,6.787878,False,3,4,6,12,2,1,,,,1169,18,83,35,24,53,37,19,22,19,,25,25,7,0,0,2,,0,0,
12,30867,Simone Missiroli,Simone,Missiroli,36,1986-05-23,Reggio Calabria,Italy,Italy,191 cm,77 kg,False,https://media.api-sports.io/football/players/30867.png,493,Spal,https://media.api-sports.io/football/teams/493.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,180,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,
13,31510,Marco Meneghetti,Marco,Meneghetti,21,2001-06-01,,Italy,Italy,188 cm,,False,https://media.api-sports.io/football/players/31510.png,493,Spal,https://media.api-sports.io/football/teams/493.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Goalkeeper,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
