,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2193,Ludovic Baal,Ludovic,Baal,36,1986-05-24,Cayenne,French Guiana,French Guiana,176 cm,75 kg,False,https://media.api-sports.io/football/players/2193.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,11,9,825,,Defender,7.072727,False,2,0,15,2,0,0,,,,405,14,81,25,3,17,,,25,18,,15,10,1,0,0,,1,0,0,
1,2193,Ludovic Baal,Ludovic,Baal,36,1986-05-24,Cayenne,French Guiana,French Guiana,176 cm,75 kg,False,https://media.api-sports.io/football/players/2193.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2193,Ludovic Baal,Ludovic,Baal,36,1986-05-24,Cayenne,French Guiana,French Guiana,176 cm,75 kg,False,https://media.api-sports.io/football/players/2193.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3380,David Enagnon Kiki,David Enagnon,Kiki,29,1993-11-25,Vakaon,Benin,Benin,180 cm,76 kg,False,https://media.api-sports.io/football/players/3380.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,3380,David Enagnon Kiki,David Enagnon,Kiki,29,1993-11-25,Vakaon,Benin,Benin,180 cm,76 kg,False,https://media.api-sports.io/football/players/3380.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,8683,I. Cardona,Irvin,Cardona,25,1997-08-08,Nîmes,France,France,185 cm,76 kg,False,https://media.api-sports.io/football/players/8683.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,21,15,1449,,Attacker,6.880000,False,6,5,8,50,14,6,,3,,262,18,62,13,0,1,,,26,13,,13,24,3,0,0,1,,0,0,
6,8683,I. Cardona,Irvin,Cardona,25,1997-08-08,Nîmes,France,France,185 cm,76 kg,False,https://media.api-sports.io/football/players/8683.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,90,,Attacker,8.200000,False,0,0,0,5,2,1,,,,20,2,69,1,1,0,,,0,0,,0,4,0,0,0,,,0,0,
7,8683,I. Cardona,Irvin,Cardona,25,1997-08-08,Nîmes,France,France,185 cm,76 kg,False,https://media.api-sports.io/football/players/8683.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,120,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,20540,J. Fabri,Julien,Fabri,27,1994-02-05,Marseille,France,France,183 cm,75 kg,False,https://media.api-sports.io/football/players/20540.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,20540,J. Fabri,Julien,Fabri,27,1994-02-05,Marseille,France,France,183 cm,75 kg,False,https://media.api-sports.io/football/players/20540.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,20541,G. Larsonneur,Gautier,Larsonneur,25,1997-02-23,Saint-Renan,France,France,181 cm,70 kg,False,https://media.api-sports.io/football/players/20541.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,27,27,2398,,Goalkeeper,7.219230,False,0,1,0,0,0,0,36,,95,567,1,67,2,0,4,,,0,0,,4,2,2,0,0,,,0,0,2
11,20541,G. Larsonneur,Gautier,Larsonneur,25,1997-02-23,Saint-Renan,France,France,181 cm,70 kg,False,https://media.api-sports.io/football/players/20541.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,20541,G. Larsonneur,Gautier,Larsonneur,25,1997-02-23,Saint-Renan,France,France,181 cm,70 kg,False,https://media.api-sports.io/football/players/20541.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,120,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,20542,D. Léon,Donovan,Léon,30,1992-11-03,Cayenne,French Guiana,French Guiana,187 cm,94 kg,False,https://media.api-sports.io/football/players/20542.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,2,1,122,,Goalkeeper,6.900000,False,1,0,27,0,0,0,4,,8,22,0,72,,0,0,,,0,0,,2,1,0,0,0,,,0,0,0
14,20542,D. Léon,Donovan,Léon,30,1992-11-03,Cayenne,French Guiana,French Guiana,187 cm,94 kg,False,https://media.api-sports.io/football/players/20542.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,20542,D. Léon,Donovan,Léon,30,1992-11-03,Cayenne,French Guiana,French Guiana,187 cm,94 kg,False,https://media.api-sports.io/football/players/20542.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,3,3,270,,Goalkeeper,7.566666,False,0,0,0,0,0,0,7,,16,62,1,58,,0,0,,,1,1,,0,0,0,0,0,,,0,0,0
16,20543,G. Belaud,Gaëtan,Belaud,35,1986-09-16,Oloron-Sainte-Marie,France,France,178 cm,75 kg,False,https://media.api-sports.io/football/players/20543.png,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,7,6,580,,Defender,6.933333,False,1,1,11,2,0,0,,,,198,2,76,10,3,10,,,9,5,,4,5,0,0,0,,,0,0,
