,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,761,Cristo González,Cristo Ramón,González Pérez,25,1997-10-24,Santa Cruz de Tenerife,Spain,Spain,179 cm,69 kg,False,https://media.api-sports.io/football/players/761.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,2733,J. Stryger Larsen,Jens,Stryger Larsen,31,1991-02-21,Sakskøbing,Denmark,Denmark,180 cm,81 kg,False,https://media.api-sports.io/football/players/2733.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,33,32,2796,,Defender,6.796875,False,1,8,1,12,3,1,,3,,929,23,76,22,5,19,32,17,22,16,,5,8,5,0,0,,,0,0,
2,2733,J. Stryger Larsen,Jens,Stryger Larsen,31,1991-02-21,Sakskøbing,Denmark,Denmark,180 cm,81 kg,False,https://media.api-sports.io/football/players/2733.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,3,1,135,,Defender,6.900000,False,2,0,2,0,0,0,,,,12,2,85,,0,0,,,2,2,,0,0,1,0,0,,,0,0,
3,2733,J. Stryger Larsen,Jens,Stryger Larsen,31,1991-02-21,Sakskøbing,Denmark,Denmark,180 cm,81 kg,False,https://media.api-sports.io/football/players/2733.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,1,1,54,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,19295,M. Wagué,Molla,Wagué,31,1991-02-21,Verdon,France,Mali,191 cm,87 kg,False,https://media.api-sports.io/football/players/19295.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,19295,M. Wagué,Molla,Wagué,31,1991-02-21,Verdon,France,Mali,191 cm,87 kg,False,https://media.api-sports.io/football/players/19295.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,30792,Nícolas,Nícolas David,Andrade,34,1988-04-12,,Brazil,Brazil,190 cm,85 kg,False,https://media.api-sports.io/football/players/30792.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Goalkeeper,,False,0,0,38,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30792,Nícolas,Nícolas David,Andrade,34,1988-04-12,,Brazil,Brazil,190 cm,85 kg,False,https://media.api-sports.io/football/players/30792.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,180,,Goalkeeper,5.700000,False,0,0,1,0,0,0,4,,4,13,0,81,,0,0,,,0,0,,0,1,0,0,0,,,0,0,0
8,30792,Nícolas,Nícolas David,Andrade,34,1988-04-12,,Brazil,Brazil,190 cm,85 kg,False,https://media.api-sports.io/football/players/30792.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,30792,Nícolas,Nícolas David,Andrade,34,1988-04-12,,Brazil,Brazil,190 cm,85 kg,False,https://media.api-sports.io/football/players/30792.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,30796,S. De Maio,Sebastian,De Maio,35,1987-03-05,Saint-Denis,France,France,190 cm,90 kg,False,https://media.api-sports.io/football/players/30796.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,21,17,1500,,Defender,6.836842,False,4,4,19,9,3,0,,,,513,0,64,18,20,32,39,22,1,0,,8,10,1,0,0,,,0,0,
11,30796,S. De Maio,Sebastian,De Maio,35,1987-03-05,Saint-Denis,France,France,190 cm,90 kg,False,https://media.api-sports.io/football/players/30796.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,180,,Defender,6.700000,False,0,0,0,0,0,1,,,,50,0,92,1,3,2,,,0,0,,0,1,1,0,0,,,0,0,
12,30796,S. De Maio,Sebastian,De Maio,35,1987-03-05,Saint-Denis,France,France,190 cm,90 kg,False,https://media.api-sports.io/football/players/30796.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
13,30796,S. De Maio,Sebastian,De Maio,35,1987-03-05,Saint-Denis,France,France,190 cm,90 kg,False,https://media.api-sports.io/football/players/30796.png,494,Udinese,https://media.api-sports.io/football/teams/494.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
