,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1770,S. Bocchetti,Salvatore,Bocchetti,35,1986-11-30,Napoli,Italy,Italy,186 cm,81 kg,False,https://media.api-sports.io/football/players/1770.png,504,Verona,https://media.api-sports.io/football/teams/504.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,5,3,303,,Defender,6.940000,False,2,2,21,0,0,0,,,,132,0,79,3,2,17,,,2,0,,2,5,2,0,0,,,0,0,
1,1770,S. Bocchetti,Salvatore,Bocchetti,35,1986-11-30,Napoli,Italy,Italy,186 cm,81 kg,False,https://media.api-sports.io/football/players/1770.png,504,Verona,https://media.api-sports.io/football/teams/504.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1770,S. Bocchetti,Salvatore,Bocchetti,35,1986-11-30,Napoli,Italy,Italy,186 cm,81 kg,False,https://media.api-sports.io/football/players/1770.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2914,Lee Seung-Woo,Seung-Woo,Lee,24,1998-01-06,Suwon,Korea Republic,Korea Republic,173 cm,65 kg,False,https://media.api-sports.io/football/players/2914.png,504,Verona,https://media.api-sports.io/football/teams/504.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,2914,Lee Seung-Woo,Seung-Woo,Lee,24,1998-01-06,Suwon,Korea Republic,Korea Republic,173 cm,65 kg,False,https://media.api-sports.io/football/players/2914.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,1,0,22,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,30916,Andrea Tozzo,Andrea,Tozzo,30,1992-08-30,Riva del Garda,Italy,Italy,192 cm,85 kg,False,https://media.api-sports.io/football/players/30916.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,30919,M. Bianchetti,Matteo,Bianchetti,29,1993-03-17,Como,Italy,Italy,189 cm,81 kg,False,https://media.api-sports.io/football/players/30919.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30920,A. Crescenzi,Alessandro,Crescenzi,31,1991-09-25,Marino,Italy,Italy,178 cm,71 kg,False,https://media.api-sports.io/football/players/30920.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,1,0,22,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30923,M. Franchetti,Matteo,Franchetti,23,1996-05-03,Padova,Italy,Italy,170 cm,,False,https://media.api-sports.io/football/players/30923.png,504,Verona,https://media.api-sports.io/football/teams/504.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,30926,L. Vitale,Luigi,Vitale,34,1987-10-05,Castellammare di Stabia,Italy,Italy,180 cm,71 kg,False,https://media.api-sports.io/football/players/30926.png,504,Verona,https://media.api-sports.io/football/teams/504.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,2,0,39,,Defender,6.600000,False,2,0,15,0,0,0,,,,6,0,67,1,0,0,,,1,0,,0,1,0,0,0,,,0,0,
