,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,878,M. Mandžukić,Mario,Mandžukić,35,1986-05-21,Slavonski Brod,Croatia,Croatia,190 cm,85 kg,False,https://media.api-sports.io/football/players/878.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,10,1,204,,Attacker,6.633333,False,9,1,11,5,4,0,0,,,49,2,3,7,,2,41,18,,,,2,9,1,0,0,,,0,0,
1,878,M. Mandžukić,Mario,Mandžukić,35,1986-05-21,Slavonski Brod,Croatia,Croatia,190 cm,85 kg,False,https://media.api-sports.io/football/players/878.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,1,1,82,,Attacker,6.700000,False,0,1,0,1,,0,0,,,28,,15,,,1,15,10,2,2,,1,1,1,0,0,,,0,0,
2,1622,G. Donnarumma,Gianluigi,Donnarumma,23,1999-02-25,Castellammare di Stabia,Italy,Italy,196 cm,90 kg,False,https://media.api-sports.io/football/players/1622.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,37,37,3330,,Goalkeeper,6.943243,False,0,0,0,,,0,36,,92,1080,,22,,,1,13,11,1,1,,2,,1,0,0,,,0,0,4
3,1622,G. Donnarumma,Gianluigi,Donnarumma,23,1999-02-25,Castellammare di Stabia,Italy,Italy,196 cm,90 kg,False,https://media.api-sports.io/football/players/1622.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,1,0,1,,,0,0,0
4,1622,G. Donnarumma,Gianluigi,Donnarumma,23,1999-02-25,Castellammare di Stabia,Italy,Italy,196 cm,90 kg,False,https://media.api-sports.io/football/players/1622.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,11,11,1020,,Goalkeeper,6.675000,False,0,0,0,,,0,12,,20,230,,25,,,,,,,,,,,2,0,0,,,0,0,0
5,1622,G. Donnarumma,Gianluigi,Donnarumma,23,1999-02-25,Castellammare di Stabia,Italy,Italy,196 cm,90 kg,False,https://media.api-sports.io/football/players/1622.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,2,2,108,,Goalkeeper,,False,0,2,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1625,Matteo Soncin,Matteo,Soncin,21,2001-03-28,,Italy,Italy,,,False,https://media.api-sports.io/football/players/1625.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,1,0,33,,Defender,6.800000,False,1,0,8,,,0,0,,,111,,34,1,2,2,19,8,1,1,,4,3,0,0,0,,,0,0,
8,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,1,63,,Defender,6.900000,False,0,1,0,,,0,0,,,44,,42,1,,,4,1,,,,,2,0,0,0,,,0,0,
9,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
10,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,1646,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,25,1997-08-27,Rio de Janeiro,Brazil,Brazil,180 cm,72 kg,False,https://media.api-sports.io/football/players/1646.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
12,1646,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,25,1997-08-27,Rio de Janeiro,Brazil,Brazil,180 cm,72 kg,False,https://media.api-sports.io/football/players/1646.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,1646,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,25,1997-08-27,Rio de Janeiro,Brazil,Brazil,180 cm,72 kg,False,https://media.api-sports.io/football/players/1646.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,1646,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,25,1997-08-27,Rio de Janeiro,Brazil,Brazil,180 cm,72 kg,False,https://media.api-sports.io/football/players/1646.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,3,1,122,,Midfielder,,False,2,1,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,1650,Suso,Jesús Joaquín,Fernández Sáez de la Torre,29,1993-11-19,Cádiz,Spain,Spain,177 cm,70 kg,False,https://media.api-sports.io/football/players/1650.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,1652,F. Tsadjout,Franck Cédric,Tsadjout,23,1999-07-28,Perugia,Italy,Italy,190 cm,75 kg,False,https://media.api-sports.io/football/players/1652.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
17,30507,S. Meïté,Soualiho,Meïté,28,1994-03-17,Paris,France,France,187 cm,80 kg,False,https://media.api-sports.io/football/players/30507.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,16,4,577,,Midfielder,6.773333,False,12,2,17,7,3,0,0,,,285,6,16,18,2,8,97,53,12,9,,14,13,2,0,0,,,0,0,
18,30507,S. Meïté,Soualiho,Meïté,28,1994-03-17,Paris,France,France,187 cm,80 kg,False,https://media.api-sports.io/football/players/30507.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,1,90,,Midfielder,6.900000,False,0,0,0,,,0,0,1,,22,1,16,4,2,2,15,6,3,2,,,4,0,0,0,,,0,0,
19,30507,S. Meïté,Soualiho,Meïté,28,1994-03-17,Paris,France,France,187 cm,80 kg,False,https://media.api-sports.io/football/players/30507.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,4,4,360,,Midfielder,6.950000,False,0,0,0,2,1,0,0,,,185,3,38,10,,8,66,30,6,4,,6,15,0,0,0,,,0,0,
20,39073,J. Hauge,Jens Petter,Hauge,23,1999-10-12,,Norway,Norway,183 cm,75 kg,False,https://media.api-sports.io/football/players/39073.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,18,3,520,,Midfielder,6.561111,False,15,3,32,6,3,2,0,,,189,11,8,7,,1,65,22,18,9,,1,11,0,0,0,,,0,0,
21,39073,J. Hauge,Jens Petter,Hauge,23,1999-10-12,,Norway,Norway,183 cm,75 kg,False,https://media.api-sports.io/football/players/39073.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,0,74,,Midfielder,6.900000,False,1,0,2,1,1,0,0,,,34,2,30,1,,,4,1,,,,,1,0,0,0,,,0,0,
22,39073,J. Hauge,Jens Petter,Hauge,23,1999-10-12,,Norway,Norway,183 cm,75 kg,False,https://media.api-sports.io/football/players/39073.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,5,3,280,,Midfielder,7.060000,False,2,2,2,5,5,3,0,1,,88,5,17,4,,2,47,17,13,7,,2,6,0,0,0,,,0,0,
23,39073,J. Hauge,Jens Petter,Hauge,23,1999-10-12,,Norway,Norway,183 cm,75 kg,False,https://media.api-sports.io/football/players/39073.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24,134923,Antonio Mionić,Antonio,Mionić,21,2001-05-31,Pula,Croatia,Croatia,175 cm,,False,https://media.api-sports.io/football/players/134923.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
25,134923,Antonio Mionić,Antonio,Mionić,21,2001-05-31,Pula,Croatia,Croatia,175 cm,,False,https://media.api-sports.io/football/players/134923.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
26,134923,Antonio Mionić,Antonio,Mionić,21,2001-05-31,Pula,Croatia,Croatia,175 cm,,False,https://media.api-sports.io/football/players/134923.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
27,134925,A. Capone,Andrea,Capone,19,2002-03-18,,Italy,Italy,,,False,https://media.api-sports.io/football/players/134925.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
28,215976,N. Michelis,Nikolaos,Michelis,21,2001-03-23,Nea Smyrni,Greece,Greece,192 cm,,False,https://media.api-sports.io/football/players/215976.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
29,215976,N. Michelis,Nikolaos,Michelis,21,2001-03-23,Nea Smyrni,Greece,Greece,192 cm,,False,https://media.api-sports.io/football/players/215976.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
30,215976,N. Michelis,Nikolaos,Michelis,21,2001-03-23,Nea Smyrni,Greece,Greece,192 cm,,False,https://media.api-sports.io/football/players/215976.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,2,1,93,,Defender,,False,1,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
31,265366,Riccardo Tonin,Riccardo,Tonin,21,2001-01-30,Arzignano,Italy,Italy,,,False,https://media.api-sports.io/football/players/265366.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Attacker,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
32,265366,Riccardo Tonin,Riccardo,Tonin,21,2001-01-30,Arzignano,Italy,Italy,,,False,https://media.api-sports.io/football/players/265366.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Attacker,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
33,279763,Leonardo Moleri,Leonardo,Moleri,20,2002-01-18,,Italy,Italy,196 cm,,False,https://media.api-sports.io/football/players/279763.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
34,279763,Leonardo Moleri,Leonardo,Moleri,20,2002-01-18,,Italy,Italy,196 cm,,False,https://media.api-sports.io/football/players/279763.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
35,279763,Leonardo Moleri,Leonardo,Moleri,20,2002-01-18,,Italy,Italy,196 cm,,False,https://media.api-sports.io/football/players/279763.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
36,279764,Riccardo Oddi,Riccardo,Oddi,20,2002-02-20,,Italy,Italy,,,False,https://media.api-sports.io/football/players/279764.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
37,279765,Marco Frigerio,Marco,Frigerio,21,2001-07-16,,Italy,Italy,171 cm,,False,https://media.api-sports.io/football/players/279765.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,4,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
38,279765,Marco Frigerio,Marco,Frigerio,21,2001-07-16,,Italy,Italy,171 cm,,False,https://media.api-sports.io/football/players/279765.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
39,279765,Marco Frigerio,Marco,Frigerio,21,2001-07-16,,Italy,Italy,171 cm,,False,https://media.api-sports.io/football/players/279765.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
40,279765,Marco Frigerio,Marco,Frigerio,21,2001-07-16,,Italy,Italy,171 cm,,False,https://media.api-sports.io/football/players/279765.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
41,279766,A. Brambilla,Alessio,Brambilla,19,2001-06-16,,Italy,Italy,184 cm,,False,https://media.api-sports.io/football/players/279766.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
42,279766,A. Brambilla,Alessio,Brambilla,19,2001-06-16,,Italy,Italy,184 cm,,False,https://media.api-sports.io/football/players/279766.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
43,279766,A. Brambilla,Alessio,Brambilla,19,2001-06-16,,Italy,Italy,184 cm,,False,https://media.api-sports.io/football/players/279766.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
