,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2457,S. Córdova,Sergio Duvan,Córdova Lezama,25,1997-08-09,Calabozo,Venezuela,Venezuela,188 cm,87 kg,False,https://media.api-sports.io/football/players/2457.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,23,13,1090,,Attacker,6.586956,False,10,12,11,18,4,2,0,1,,237,12,6,16,3,9,214,84,33,12,,22,15,0,0,0,,,0,0,
1,2457,S. Córdova,Sergio Duvan,Córdova Lezama,25,1997-08-09,Calabozo,Venezuela,Venezuela,188 cm,87 kg,False,https://media.api-sports.io/football/players/2457.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,0,44,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2457,S. Córdova,Sergio Duvan,Córdova Lezama,25,1997-08-09,Calabozo,Venezuela,Venezuela,188 cm,87 kg,False,https://media.api-sports.io/football/players/2457.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,,Club Friendlies,,,,2020,1,1,61,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2598,R. Dōan,Ritsu,Dōan,24,1998-06-16,Amagasaki,Japan,Japan,172 cm,70 kg,False,https://media.api-sports.io/football/players/2598.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,34,33,2786,,Attacker,6.900000,False,1,19,1,40,21,5,0,2,,687,46,14,53,1,31,416,197,123,62,,64,30,1,0,0,,,0,0,
4,2598,R. Dōan,Ritsu,Dōan,24,1998-06-16,Amagasaki,Japan,Japan,172 cm,70 kg,False,https://media.api-sports.io/football/players/2598.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,1,78,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2598,R. Dōan,Ritsu,Dōan,24,1998-06-16,Amagasaki,Japan,Japan,172 cm,70 kg,False,https://media.api-sports.io/football/players/2598.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,,Club Friendlies,,,,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,19322,M. van der Hoorn,Mike Adrianus,Wilhelmus van der Hoorn,30,1992-10-15,Almere,Netherlands,Netherlands,190 cm,81 kg,False,https://media.api-sports.io/football/players/19322.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,22,15,1351,,Defender,6.735294,False,7,2,19,5,2,0,0,,,835,3,38,8,8,27,109,65,1,1,,8,11,3,0,0,,,0,0,
7,19322,M. van der Hoorn,Mike Adrianus,Wilhelmus van der Hoorn,30,1992-10-15,Almere,Netherlands,Netherlands,190 cm,81 kg,False,https://media.api-sports.io/football/players/19322.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,19322,M. van der Hoorn,Mike Adrianus,Wilhelmus van der Hoorn,30,1992-10-15,Almere,Netherlands,Netherlands,190 cm,81 kg,False,https://media.api-sports.io/football/players/19322.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,,Club Friendlies,,,,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,24850,M. Hartel,Marcel,Hartel,26,1996-01-19,Köln,Germany,Germany,177 cm,68 kg,False,https://media.api-sports.io/football/players/24850.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,22,20,1692,,Midfielder,6.859090,False,2,14,13,17,6,0,0,,,717,15,25,34,4,26,145,77,25,17,,15,5,1,0,0,,,0,0,
10,24850,M. Hartel,Marcel,Hartel,26,1996-01-19,Köln,Germany,Germany,177 cm,68 kg,False,https://media.api-sports.io/football/players/24850.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,24850,M. Hartel,Marcel,Hartel,26,1996-01-19,Köln,Germany,Germany,177 cm,68 kg,False,https://media.api-sports.io/football/players/24850.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,,Club Friendlies,,,,2020,1,1,61,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,25008,J. Clauss,Jonathan,Clauss,30,1992-09-25,Troyes,France,France,178 cm,69 kg,False,https://media.api-sports.io/football/players/25008.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,,Club Friendlies,,,,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,25010,Anderson Lucoqui,Anderson-Lenda,Lucoqui,25,1997-07-06,,Germany,Angola,180 cm,75 kg,False,https://media.api-sports.io/football/players/25010.png,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,21,18,1607,,Defender,6.666666,False,3,6,10,6,1,0,0,,,537,6,17,40,7,27,214,116,22,12,,39,27,5,0,0,,,0,0,
