,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,67,S. Denswil,Stefano,Denswil,29,1993-05-07,Zaandam,Netherlands,Netherlands,188 cm,81 kg,False,https://media.api-sports.io/football/players/67.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,5,1,112,,Defender,6.575000,False,4,1,12,,,0,0,,,78,,12,2,,1,9,7,,,,2,,0,0,0,,,0,0,
1,67,S. Denswil,Stefano,Denswil,29,1993-05-07,Zaandam,Netherlands,Netherlands,188 cm,81 kg,False,https://media.api-sports.io/football/players/67.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,2,2,210,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2597,T. Tomiyasu,Takehiro,Tomiyasu,24,1998-11-05,Fukuoka,Japan,Japan,188 cm,70 kg,False,https://media.api-sports.io/football/players/2597.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,31,31,2719,,Defender,6.841935,False,0,4,0,11,4,2,0,,,1510,8,39,47,19,54,294,166,25,15,,13,31,4,0,0,,,0,0,
3,2597,T. Tomiyasu,Takehiro,Tomiyasu,24,1998-11-05,Fukuoka,Japan,Japan,188 cm,70 kg,False,https://media.api-sports.io/football/players/2597.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,2,2,210,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,10997,V. Antov,Valentin,Ivaylov Antov,22,2000-11-09,Sofia,Bulgaria,Bulgaria,187 cm,70 kg,False,https://media.api-sports.io/football/players/10997.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,5,2,229,,Defender,6.575000,False,3,1,16,1,,0,0,,,115,1,20,4,5,4,24,10,1,1,,2,2,1,0,0,,,0,0,
5,15916,A. Skov Olsen,Andreas,Skov Olsen,23,1999-12-29,Hillerød,Denmark,Denmark,187 cm,79 kg,False,https://media.api-sports.io/football/players/15916.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,26,12,1176,,Attacker,6.653846,False,14,11,15,23,10,2,0,2,,472,20,14,19,,3,118,57,39,17,,12,12,1,0,0,,,0,0,
6,30466,Angelo da Costa,Angelo Esmael,da Costa Júnior,38,1983-11-12,São Bernardo do Campo,Brazil,Brazil,186 cm,81 kg,False,https://media.api-sports.io/football/players/30466.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,6,6,540,,Goalkeeper,6.633333,False,0,0,30,,,0,9,,18,259,,37,,,,1,1,,,,,,2,0,0,,,0,0,3
7,30466,Angelo da Costa,Angelo Esmael,da Costa Júnior,38,1983-11-12,São Bernardo do Campo,Brazil,Brazil,186 cm,81 kg,False,https://media.api-sports.io/football/players/30466.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,2,2,210,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30469,A. Calabresi,Arturo,Calabresi,26,1996-03-17,Roma,Italy,Italy,186 cm,75 kg,False,https://media.api-sports.io/football/players/30469.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,1,0,19,,Defender,6.300000,False,1,0,13,,,0,0,,,3,,2,,,,1,,,,,,,0,0,0,,,0,0,
9,30469,A. Calabresi,Arturo,Calabresi,26,1996-03-17,Roma,Italy,Italy,186 cm,75 kg,False,https://media.api-sports.io/football/players/30469.png,500,Bologna,https://media.api-sports.io/football/teams/500.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,0,0,,Defender,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
