,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,6,L. Balerdi,Leonardo Julián,Balerdi Rosa,23,1999-01-26,Villa Mercedes,Argentina,Argentina,187 cm,85 kg,False,https://media.api-sports.io/football/players/6.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,2,1,134,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,9,A. Hakimi,Achraf,Hakimi Mouh,24,1998-11-04,Madrid,Spain,Morocco,181 cm,73 kg,False,https://media.api-sports.io/football/players/9.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,1,1,90,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,10,Ł. Piszczek,Łukasz,Piszczek,36,1985-06-03,Czechowice-Dziedzice,Poland,Poland,184 cm,79 kg,False,https://media.api-sports.io/football/players/10.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,11,5,450,,Defender,6.654545,False,6,2,23,1,,0,0,,,272,3,21,10,1,5,39,22,4,2,,3,1,0,0,0,,,0,0,
3,10,Ł. Piszczek,Łukasz,Piszczek,36,1985-06-03,Czechowice-Dziedzice,Poland,Poland,184 cm,79 kg,False,https://media.api-sports.io/football/players/10.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,4,3,305,,Defender,6.933333,False,1,1,2,2,2,0,0,,,167,1,47,4,2,11,26,14,3,2,,3,2,0,0,0,,,0,0,
4,10,Ł. Piszczek,Łukasz,Piszczek,36,1985-06-03,Czechowice-Dziedzice,Poland,Poland,184 cm,79 kg,False,https://media.api-sports.io/football/players/10.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2020,3,3,227,,Defender,6.700000,False,0,2,6,2,2,1,0,,,200,,57,,1,4,13,4,1,1,,,2,0,0,0,,,0,0,
5,10,Ł. Piszczek,Łukasz,Piszczek,36,1985-06-03,Czechowice-Dziedzice,Poland,Poland,184 cm,79 kg,False,https://media.api-sports.io/football/players/10.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,6,5,362,,Defender,,False,1,3,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,15,T. Delaney,Thomas Joseph,Delaney,31,1991-09-03,Frederiksberg,Denmark,Denmark,182 cm,79 kg,False,https://media.api-sports.io/football/players/15.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,20,14,1288,,Midfielder,6.889473,False,6,7,12,7,3,1,0,1,,814,5,34,40,10,22,170,97,5,2,,26,36,6,0,0,,,0,0,
7,15,T. Delaney,Thomas Joseph,Delaney,31,1991-09-03,Frederiksberg,Denmark,Denmark,182 cm,79 kg,False,https://media.api-sports.io/football/players/15.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,6,3,388,,Midfielder,7.240000,False,3,0,3,2,,0,0,2,,209,4,37,12,5,4,41,20,2,1,,1,9,1,0,0,,,0,0,
8,15,T. Delaney,Thomas Joseph,Delaney,31,1991-09-03,Frederiksberg,Denmark,Denmark,182 cm,79 kg,False,https://media.api-sports.io/football/players/15.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2020,7,5,429,,Midfielder,6.671428,False,2,2,2,2,1,0,0,,,271,1,34,11,,4,45,25,,,,6,11,1,0,0,,,0,0,
9,15,T. Delaney,Thomas Joseph,Delaney,31,1991-09-03,Frederiksberg,Denmark,Denmark,182 cm,79 kg,False,https://media.api-sports.io/football/players/15.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,3,2,180,,Midfielder,,False,1,1,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,16,M. Götze,Mario,Götze,30,1992-06-03,Memmingen,Germany,Germany,176 cm,75 kg,False,https://media.api-sports.io/football/players/16.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,2,2,136,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,19,J. Weigl,Julian,Weigl,27,1995-09-08,Bad Aibling,Germany,Germany,186 cm,80 kg,False,https://media.api-sports.io/football/players/19.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,21,Paco Alcácer,Francisco,Alcácer García,29,1993-08-30,Torrent,Spain,Spain,175 cm,72 kg,False,https://media.api-sports.io/football/players/21.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,1,1,80,,Attacker,,False,0,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,25263,M. Schmeling,Migel-Max,Schmeling,21,2000-02-17,Gelsenkirchen,Germany,Germany,180 cm,77 kg,False,https://media.api-sports.io/football/players/25263.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,26227,M. Broschinski,Moritz,Broschinski,22,2000-09-23,,Germany,Germany,190 cm,77 kg,False,https://media.api-sports.io/football/players/26227.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,1,0,17,,Attacker,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,36892,Henri Weigelt,Henri,Weigelt,23,1998-01-17,,Germany,Germany,189 cm,75 kg,False,https://media.api-sports.io/football/players/36892.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,1,0,9,,Defender,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,88177,J. Hupe,Jonas,Hupe,23,1999-12-01,,Germany,Germany,200 cm,93 kg,False,https://media.api-sports.io/football/players/88177.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
17,90957,M. Rente,Marco,Rente,25,1997-02-25,Siegen,Germany,Germany,184 cm,84 kg,False,https://media.api-sports.io/football/players/90957.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,91171,M. Hober,Marco,Hober,27,1995-09-09,Bielefeld,Germany,Germany,172 cm,70 kg,False,https://media.api-sports.io/football/players/91171.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,Club Friendlies,,,,2020,1,0,4,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,129131,T. Raschl,Tobias,Raschl,22,2000-02-21,Düsseldorf,Germany,Germany,177 cm,75 kg,False,https://media.api-sports.io/football/players/129131.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
20,129131,T. Raschl,Tobias,Raschl,22,2000-02-21,Düsseldorf,Germany,Germany,177 cm,75 kg,False,https://media.api-sports.io/football/players/129131.png,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2020,0,0,0,,Midfielder,,False,0,0,6,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
