,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2281,G. Cahill,Gary,Cahill,37,1985-12-19,Dronfield,England,England,193 cm,86 kg,False,https://media.api-sports.io/football/players/2281.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,20,20,1800,,Defender,6.765000,False,0,0,7,8,3,1,0,1,,746,8,30,13,22,13,139,86,1,1,,3,12,3,0,0,,,0,0,
1,2281,G. Cahill,Gary,Cahill,37,1985-12-19,Dronfield,England,England,193 cm,86 kg,False,https://media.api-sports.io/football/players/2281.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2281,G. Cahill,Gary,Cahill,37,1985-12-19,Dronfield,England,England,193 cm,86 kg,False,https://media.api-sports.io/football/players/2281.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2927,M. Batshuayi,Michy,Batshuayi Tunga,29,1993-10-02,Brussel,Belgium,Belgium,184 cm,76 kg,False,https://media.api-sports.io/football/players/2927.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,18,7,722,,Attacker,6.505555,False,11,5,28,10,6,2,0,1,,167,9,6,5,1,4,93,31,17,11,,5,12,0,0,0,,,0,0,
4,2927,M. Batshuayi,Michy,Batshuayi Tunga,29,1993-10-02,Brussel,Belgium,Belgium,184 cm,76 kg,False,https://media.api-sports.io/football/players/2927.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Attacker,6.200000,False,0,0,0,,,0,0,,,12,,6,,,,11,1,,,,,1,0,0,0,,,0,0,
5,2927,M. Batshuayi,Michy,Batshuayi Tunga,29,1993-10-02,Brussel,Belgium,Belgium,184 cm,76 kg,False,https://media.api-sports.io/football/players/2927.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,85,,Attacker,6.300000,False,0,1,0,,,0,0,,,15,1,12,,,,8,2,3,1,,1,2,0,0,0,,,0,0,
6,2930,J. Butland,Jack,Butland,29,1993-03-10,Bristol,England,England,196 cm,95 kg,False,https://media.api-sports.io/football/players/2930.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Goalkeeper,6.300000,False,0,0,30,,,0,2,,3,19,,4,,,,,,,,,,,0,0,0,,,0,0,2
7,2930,J. Butland,Jack,Butland,29,1993-03-10,Bristol,England,England,196 cm,95 kg,False,https://media.api-sports.io/football/players/2930.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Goalkeeper,7.200000,False,0,0,0,,,0,1,,4,24,,17,,,,1,1,,,,,,0,0,0,,,0,0,0
8,18763,J. McCarthy,James Patrick,McCarthy,32,1990-11-12,Glasgow,Scotland,Republic of Ireland,180 cm,72 kg,False,https://media.api-sports.io/football/players/18763.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,16,10,822,,Midfielder,6.621428,False,6,8,14,,,0,0,,,331,5,18,16,7,8,58,31,3,2,,4,6,1,0,0,,,0,0,
9,18763,J. McCarthy,James Patrick,McCarthy,32,1990-11-12,Glasgow,Scotland,Republic of Ireland,180 cm,72 kg,False,https://media.api-sports.io/football/players/18763.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
10,18763,J. McCarthy,James Patrick,McCarthy,32,1990-11-12,Glasgow,Scotland,Republic of Ireland,180 cm,72 kg,False,https://media.api-sports.io/football/players/18763.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,70,,Midfielder,7.300000,False,0,1,0,1,,0,0,,,49,,43,3,2,1,7,4,,,,1,2,1,0,0,,,0,0,
11,18835,Guaita,Vicente,Guaita Panadero,35,1987-01-10,Torrente,Spain,Spain,190 cm,81 kg,False,https://media.api-sports.io/football/players/18835.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,37,37,3330,,Goalkeeper,6.691891,False,0,0,1,,,0,64,,107,921,,12,1,,1,16,15,,,,5,,2,0,0,,,0,0,2
12,18835,Guaita,Vicente,Guaita Panadero,35,1987-01-10,Torrente,Spain,Spain,190 cm,81 kg,False,https://media.api-sports.io/football/players/18835.png,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
