,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,21,21,1890,,Goalkeeper,6.738095,False,0,0,13,,,0,33,,61,541,1,15,,,2,10,7,1,1,,2,,0,0,0,,,0,0,1
1,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
2,660,P. Diop,Pape Cheikh,Diop Gueye,25,1997-08-08,Dakar,Senegal,Senegal,180 cm,68 kg,False,https://media.api-sports.io/football/players/660.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,21,13,1093,,Midfielder,6.610000,False,8,10,15,2,0,0,0,,,593,8,26,24,2,7,154,71,17,14,,24,42,5,0,0,,,0,0,
3,660,P. Diop,Pape Cheikh,Diop Gueye,25,1997-08-08,Dakar,Senegal,Senegal,180 cm,68 kg,False,https://media.api-sports.io/football/players/660.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Midfielder,6.000000,False,0,0,0,,,0,0,,,62,,48,2,,1,14,4,,,,1,3,0,0,0,,,0,0,
4,959,R. Assalé,Roger Claver,Djapone Assalé,29,1993-11-13,Abengourou,Côte d'Ivoire,Côte d'Ivoire,167 cm,65 kg,False,https://media.api-sports.io/football/players/959.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,17,11,833,,Attacker,6.405882,False,6,10,7,7,2,1,0,,,165,3,6,10,3,2,118,51,23,10,,26,12,0,0,1,,,0,0,
5,2195,S. Boey,Sacha,Boey,22,2000-09-13,Montreuil-sous-Bois,France,Cameroon,178 cm,70 kg,False,https://media.api-sports.io/football/players/2195.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,24,21,1865,,Defender,6.716666,False,3,4,6,5,1,0,0,1,,756,18,25,53,5,41,228,109,42,22,,13,35,1,0,0,,,0,0,
6,2195,S. Boey,Sacha,Boey,22,2000-09-13,Montreuil-sous-Bois,France,Cameroon,178 cm,70 kg,False,https://media.api-sports.io/football/players/2195.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
7,2784,R. Rúnarsson,Rúnar Alex,Rúnarsson,27,1995-02-18,,Iceland,Iceland,186 cm,78 kg,False,https://media.api-sports.io/football/players/2784.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
8,2985,A. Gomis,Amigo Alfred Benjamin Junior,Gomis,29,1993-09-05,Ziguinchor,Senegal,Senegal,196 cm,83 kg,False,https://media.api-sports.io/football/players/2985.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,5,5,450,,Goalkeeper,7.140000,False,0,0,0,0,0,0,10,,22,137,0,38,1,0,1,3,2,0,0,,1,0,0,0,0,,,0,0,0
9,3024,Glody Ngonda Muzinga,Glody Ngonda,Muzinga,28,1994-12-31,,Congo DR,Congo DR,182 cm,,False,https://media.api-sports.io/football/players/3024.png,89,Dijon,https://media.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,30,25,2307,,Defender,6.800000,False,5,5,8,10,4,2,0,,,1347,18,35,59,3,72,272,142,56,36,,16,35,5,0,0,,,0,0,
