,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,99,R. Pierre-Gabriel,Ronaël Julien,Pierre-Gabriel,24,1998-06-13,Paris,France,France,177 cm,76 kg,False,https://media.api-sports.io/football/players/99.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,,Club Friendlies,,,,2020,1,1,46,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,729,Á. Szalai,Ádám Csaba,Szalai,35,1987-12-09,Budapest,Hungary,Hungary,193 cm,93 kg,False,https://media.api-sports.io/football/players/729.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,18,8,732,,Attacker,6.470588,False,10,8,13,10,6,1,0,,,201,6,7,7,1,2,150,51,13,6,,13,18,1,0,0,,,0,0,
2,729,Á. Szalai,Ádám Csaba,Szalai,35,1987-12-09,Budapest,Hungary,Hungary,193 cm,93 kg,False,https://media.api-sports.io/football/players/729.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,0,45,,Attacker,6.550000,False,2,0,2,3,1,1,0,,,9,2,3,,,,4,2,1,,,1,1,0,0,0,,,0,0,
3,729,Á. Szalai,Ádám Csaba,Szalai,35,1987-12-09,Budapest,Hungary,Hungary,193 cm,93 kg,False,https://media.api-sports.io/football/players/729.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,,Club Friendlies,,,,2020,1,0,44,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
4,1812,D. da Costa,Danny,Vieira da Costa,29,1993-07-13,Neuss,Germany,Germany,187 cm,87 kg,False,https://media.api-sports.io/football/players/1812.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,16,15,1215,,Defender,6.340000,False,1,8,1,1,,0,0,,,41,,5,,1,,8,2,1,1,,,2,2,0,0,,,0,0,
5,2866,Robin Kwamina Quaison,Robin Kwamina,Quaison,29,1993-10-09,Stockholm,Sweden,Sweden,183 cm,76 kg,False,https://media.api-sports.io/football/players/2866.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,28,18,1479,,Attacker,6.766666,False,10,15,12,28,17,6,0,2,,311,10,8,14,,13,175,65,36,18,,12,21,1,0,0,,,1,0,
6,2866,Robin Kwamina Quaison,Robin Kwamina,Quaison,29,1993-10-09,Stockholm,Sweden,Sweden,183 cm,76 kg,False,https://media.api-sports.io/football/players/2866.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,1,94,,Attacker,7.600000,False,1,1,1,1,1,1,0,2,,25,2,9,2,1,,12,5,2,1,,2,1,0,0,0,,,0,0,
7,2866,Robin Kwamina Quaison,Robin Kwamina,Quaison,29,1993-10-09,Stockholm,Sweden,Sweden,183 cm,76 kg,False,https://media.api-sports.io/football/players/2866.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,,Club Friendlies,,,,2020,1,1,65,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2911,Ji Dong-Won,Dong-Won,Ji,31,1991-05-28,Jeju,Korea Republic,Korea Republic,188 cm,81 kg,False,https://media.api-sports.io/football/players/2911.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,6,0,57,,Attacker,6.483333,False,6,0,12,,,0,0,,,29,1,2,1,,2,14,7,1,1,,1,3,1,0,0,,,0,0,
9,2911,Ji Dong-Won,Dong-Won,Ji,31,1991-05-28,Jeju,Korea Republic,Korea Republic,188 cm,81 kg,False,https://media.api-sports.io/football/players/2911.png,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,0,38,,Attacker,6.200000,False,1,0,1,,,0,0,,,14,1,10,,,,9,3,,,,2,2,1,0,0,,,0,0,
