,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,657,K. Tete,Kenny Joelle,Tete,27,1995-10-09,Amsterdam,Netherlands,Netherlands,180 cm,71 kg,False,https://media.api-sports.io/football/players/657.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,22,18,1483,,Defender,7.019047,False,4,6,6,4,1,0,0,1,,690,18,24,48,5,27,177,105,19,10,,18,28,3,0,0,,,0,0,
1,657,K. Tete,Kenny Joelle,Tete,27,1995-10-09,Amsterdam,Netherlands,Netherlands,180 cm,71 kg,False,https://media.api-sports.io/football/players/657.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Defender,7.300000,False,0,1,1,,,0,0,,,48,1,38,2,,3,9,6,1,,,3,,0,0,0,,,0,0,
2,657,K. Tete,Kenny Joelle,Tete,27,1995-10-09,Amsterdam,Netherlands,Netherlands,180 cm,71 kg,False,https://media.api-sports.io/football/players/657.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,81,,Defender,7.200000,False,0,1,0,,,0,0,1,,55,3,46,3,,1,18,8,3,1,,3,4,0,0,0,,,0,0,
3,18947,M. Lemina,Mario René Junior,Lemina,29,1993-09-01,Libreville,Gabon,Gabon,184 cm,85 kg,False,https://media.api-sports.io/football/players/18947.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,28,19,1704,,Midfielder,6.875000,False,9,11,11,13,3,1,0,,,887,12,26,62,5,30,235,126,37,26,,15,32,5,0,0,,,0,0,
4,18947,M. Lemina,Mario René Junior,Lemina,29,1993-09-01,Libreville,Gabon,Gabon,184 cm,85 kg,False,https://media.api-sports.io/football/players/18947.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,63,,Midfielder,6.700000,False,0,1,0,,,0,0,,,79,,72,1,,,6,2,1,1,,,2,0,0,0,,,0,0,
5,18947,M. Lemina,Mario René Junior,Lemina,29,1993-09-01,Libreville,Gabon,Gabon,184 cm,85 kg,False,https://media.api-sports.io/football/players/18947.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,82,,Midfielder,7.000000,False,0,1,0,,,0,0,,,49,,42,3,,2,11,8,,,,3,2,0,0,0,,,0,0,
6,18972,A. Knockaert,Anthony,Knockaert,31,1991-11-20,Roubaix,France,France,172 cm,69 kg,False,https://media.api-sports.io/football/players/18972.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
7,18972,A. Knockaert,Anthony,Knockaert,31,1991-11-20,Roubaix,France,France,172 cm,69 kg,False,https://media.api-sports.io/football/players/18972.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,7.200000,False,0,0,0,2,1,0,0,,,37,3,32,,,,12,4,3,2,,1,2,0,0,0,,,0,0,
8,18972,A. Knockaert,Anthony,Knockaert,31,1991-11-20,Roubaix,France,France,172 cm,69 kg,False,https://media.api-sports.io/football/players/18972.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,3,3,237,,Midfielder,6.866666,False,0,2,0,9,,0,0,1,,109,5,31,3,1,2,25,12,7,6,,3,3,0,0,0,,,0,0,
9,18972,A. Knockaert,Anthony,Knockaert,31,1991-11-20,Roubaix,France,France,172 cm,69 kg,False,https://media.api-sports.io/football/players/18972.png,36,Fulham,https://media.api-sports.io/football/teams/36.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,7.200000,False,0,0,0,2,1,0,0,,,37,3,32,,,,12,4,3,2,,1,2,0,0,0,,,0,0,
