,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,58,Víctor Mollejo,Víctor,Mollejo Carpintero,21,2001-01-21,Alcázar de San Juan,Spain,Spain,176 cm,63 kg,False,https://media.api-sports.io/football/players/58.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,4,0,68,,Attacker,,False,4,0,8,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
1,58,Víctor Mollejo,Víctor,Mollejo Carpintero,21,2001-01-21,Alcázar de San Juan,Spain,Spain,176 cm,63 kg,False,https://media.api-sports.io/football/players/58.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,196,Ryan Patrick Nolan,Ryan,Patrick Nolan,23,1999-02-17,Limerick,Republic of Ireland,Republic of Ireland,,,False,https://media.api-sports.io/football/players/196.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
3,196,Ryan Patrick Nolan,Ryan,Patrick Nolan,23,1999-02-17,Limerick,Republic of Ireland,Republic of Ireland,,,False,https://media.api-sports.io/football/players/196.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,1495,Abdoulay Diaby,Abdoulay,Diaby,31,1991-05-21,Nanterre,France,Mali,172 cm,73 kg,False,https://media.api-sports.io/football/players/1495.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,1,0,17,,Attacker,6.300000,False,1,0,9,1,,0,0,,,8,1,5,2,,,6,2,1,,,,1,0,0,0,,,0,0,
5,1495,Abdoulay Diaby,Abdoulay,Diaby,31,1991-05-21,Nanterre,France,Mali,172 cm,73 kg,False,https://media.api-sports.io/football/players/1495.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,105,,Attacker,6.700000,False,0,2,0,1,1,0,0,,,17,,14,1,,,4,2,,,,,,1,0,0,,,0,0,
6,14344,A. Palaversa,Ante,Palaversa,22,2000-04-06,Split,Croatia,Croatia,187 cm,77 kg,False,https://media.api-sports.io/football/players/14344.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,2,0,7,,Midfielder,6.800000,False,2,0,13,,,0,0,,,7,2,4,,,,1,,,,,,1,0,0,0,,,0,0,
7,14344,A. Palaversa,Ante,Palaversa,22,2000-04-06,Split,Croatia,Croatia,187 cm,77 kg,False,https://media.api-sports.io/football/players/14344.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,106,,Midfielder,7.300000,False,0,2,0,1,,0,0,,,27,2,19,1,,1,7,5,1,,,1,,0,0,0,,,0,0,
8,47010,Timor,David,Timor Copoví,33,1989-10-17,Carcaixent,Spain,Spain,185 cm,80 kg,False,https://media.api-sports.io/football/players/47010.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,30,15,1387,,Midfielder,6.607407,False,15,7,20,16,6,0,0,,,593,12,14,13,1,19,140,70,3,2,,14,17,5,0,1,,,0,0,
9,47010,Timor,David,Timor Copoví,33,1989-10-17,Carcaixent,Spain,Spain,185 cm,80 kg,False,https://media.api-sports.io/football/players/47010.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,66,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
10,47247,David Soria,David,Soria Solís,29,1993-04-04,Madrid,Spain,Spain,192 cm,85 kg,False,https://media.api-sports.io/football/players/47247.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,28,28,2520,,Goalkeeper,6.764285,False,0,0,10,,,0,31,,54,840,,13,2,,1,18,13,,,,3,,2,0,0,,,0,0,1
11,47247,David Soria,David,Soria Solís,29,1993-04-04,Madrid,Spain,Spain,192 cm,85 kg,False,https://media.api-sports.io/football/players/47247.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,90,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
12,47248,Rubén Yáñez,Orlando Rubén,Yáñez Alabart,29,1993-10-12,Blanes,Spain,Spain,190 cm,85 kg,False,https://media.api-sports.io/football/players/47248.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,10,10,900,,Goalkeeper,6.640000,False,0,0,28,,,0,12,,19,239,,13,,,2,6,3,,,,2,1,2,0,0,,,0,0,1
13,47248,Rubén Yáñez,Orlando Rubén,Yáñez Alabart,29,1993-10-12,Blanes,Spain,Spain,190 cm,85 kg,False,https://media.api-sports.io/football/players/47248.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,90,,Goalkeeper,6.300000,False,0,0,1,,,0,1,,1,14,,6,,,,,,,,,,,0,0,0,,,0,0,0
14,47250,D. Dakonam,Djené,Dakonam Ortega,31,1991-12-31,Lomé,Togo,Togo,187 cm,72 kg,False,https://media.api-sports.io/football/players/47250.png,546,Getafe,https://media.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,34,34,2945,,Defender,6.832352,False,0,2,0,2,,0,0,1,,1006,6,21,61,11,42,271,177,15,13,,36,35,7,1,1,,,0,0,
