,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2906,Lee Jae-Sung,Jae-Sung,Lee,30,1992-08-10,,Korea Republic,Korea Republic,180 cm,70 kg,False,https://media.api-sports.io/football/players/2906.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,33,31,2797,,Midfielder,7.060000,False,2,8,3,8,4,5,0,2,,469,11,38,20,1,15,115,66,26,16,,16,8,1,0,0,,,0,0,
1,2906,Lee Jae-Sung,Jae-Sung,Lee,30,1992-08-10,,Korea Republic,Korea Republic,180 cm,70 kg,False,https://media.api-sports.io/football/players/2906.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,452,,Midfielder,7.180000,False,0,2,0,2,2,2,0,,,207,6,35,8,1,6,43,21,5,4,,6,2,0,0,0,,,0,0,
2,2906,Lee Jae-Sung,Jae-Sung,Lee,30,1992-08-10,,Korea Republic,Korea Republic,180 cm,70 kg,False,https://media.api-sports.io/football/players/2906.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,,Club Friendlies,,,,2020,1,1,62,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,24800,N. Hauptmann,Niklas,Hauptmann,26,1996-06-27,Köln,Germany,Germany,176 cm,63 kg,False,https://media.api-sports.io/football/players/24800.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,31,15,1342,,Midfielder,6.700000,False,16,14,17,1,1,0,0,1,,183,3,15,7,,7,49,27,14,9,,9,5,4,0,0,,,0,0,
4,24800,N. Hauptmann,Niklas,Hauptmann,26,1996-06-27,Köln,Germany,Germany,176 cm,63 kg,False,https://media.api-sports.io/football/players/24800.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,1,223,,Midfielder,6.500000,False,4,0,4,1,,0,0,1,,66,2,11,5,,4,34,16,8,5,,6,3,1,0,0,,,0,0,
5,24800,N. Hauptmann,Niklas,Hauptmann,26,1996-06-27,Köln,Germany,Germany,176 cm,63 kg,False,https://media.api-sports.io/football/players/24800.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,,Club Friendlies,,,,2020,1,1,46,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,24954,J. Dehm,Jannik,Dehm,26,1996-05-02,Bruchsal,Germany,Germany,181 cm,73 kg,False,https://media.api-sports.io/football/players/24954.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,31,24,2166,,Defender,6.950000,False,7,12,10,2,,1,0,1,,250,8,20,9,3,8,45,24,1,1,,11,8,4,0,0,,,0,0,
7,24954,J. Dehm,Jannik,Dehm,26,1996-05-02,Bruchsal,Germany,Germany,181 cm,73 kg,False,https://media.api-sports.io/football/players/24954.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,4,420,,Defender,7.040000,False,1,1,1,2,1,0,0,2,,193,3,28,8,1,5,34,21,1,1,,7,5,1,0,0,,,0,0,
8,24959,S. Thesker,Stefan,Thesker,31,1991-04-11,Ahaus,Germany,Germany,190 cm,84 kg,False,https://media.api-sports.io/football/players/24959.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,13,12,1076,,Defender,,False,1,2,3,,,0,,,,,,,,,,,,,,,,,4,0,0,,,,,
9,24959,S. Thesker,Stefan,Thesker,31,1991-04-11,Ahaus,Germany,Germany,190 cm,84 kg,False,https://media.api-sports.io/football/players/24959.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,1,80,,Defender,6.700000,False,0,1,1,,,0,0,,,55,,48,,,4,1,1,,,,,,0,0,0,,,0,0,
10,24960,J. van den Bergh,Johannes,van den Bergh,36,1986-11-21,Viersen,Germany,Germany,183 cm,75 kg,False,https://media.api-sports.io/football/players/24960.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,25,25,2149,,Defender,6.836363,False,0,4,0,3,,0,0,1,,699,9,49,16,3,10,57,32,4,2,,8,6,4,0,1,,,0,0,
11,24960,J. van den Bergh,Johannes,van den Bergh,36,1986-11-21,Viersen,Germany,Germany,183 cm,75 kg,False,https://media.api-sports.io/football/players/24960.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,1,164,,Defender,7.100000,False,1,0,2,,,0,0,1,,96,2,42,6,,1,14,9,,,,3,3,0,0,0,,,0,0,
12,24960,J. van den Bergh,Johannes,van den Bergh,36,1986-11-21,Viersen,Germany,Germany,183 cm,75 kg,False,https://media.api-sports.io/football/players/24960.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,,Club Friendlies,,,,2020,1,0,44,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,24961,H. Wahl,Hauke Finn,Wahl,28,1994-04-15,Hamburg,Germany,Germany,189 cm,85 kg,False,https://media.api-sports.io/football/players/24961.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,34,34,3060,,Defender,6.872727,False,0,0,0,,,0,0,1,,666,1,52,7,5,27,66,38,8,7,,6,7,4,0,0,,,0,0,
14,24961,H. Wahl,Hauke Finn,Wahl,28,1994-04-15,Hamburg,Germany,Germany,189 cm,85 kg,False,https://media.api-sports.io/football/players/24961.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,510,,Defender,7.200000,False,0,0,0,3,2,2,0,,,372,1,67,8,,18,39,23,7,6,,2,5,0,0,0,,,0,0,
15,24965,J. Meffert,Jonas,Meffert,28,1994-09-04,Köln,Germany,Germany,186 cm,76 kg,False,https://media.api-sports.io/football/players/24965.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2020,34,34,2950,,Midfielder,7.009090,False,0,9,0,2,1,0,0,,,472,6,36,29,2,17,82,50,3,3,,5,13,5,0,0,,,0,0,
16,24965,J. Meffert,Jonas,Meffert,28,1994-09-04,Köln,Germany,Germany,186 cm,76 kg,False,https://media.api-sports.io/football/players/24965.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,474,,Midfielder,7.200000,False,0,2,0,3,2,0,0,,,233,1,41,16,2,4,46,29,5,5,,2,1,1,0,0,,,0,0,
17,24965,J. Meffert,Jonas,Meffert,28,1994-09-04,Köln,Germany,Germany,186 cm,76 kg,False,https://media.api-sports.io/football/players/24965.png,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,,Club Friendlies,,,,2020,1,1,62,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
