,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,23,Sergio Gómez,Sergio,Gómez Martín,22,2000-09-04,Badalona,Spain,Spain,171 cm,68 kg,False,https://media.api-sports.io/football/players/23.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,29,4,771,,Defender,6.719230,False,25,3,34,7,2,0,0,1,,337,16,9,29,,14,98,56,27,18,,9,7,1,0,0,,,0,0,
1,23,Sergio Gómez,Sergio,Gómez Martín,22,2000-09-04,Badalona,Spain,Spain,171 cm,68 kg,False,https://media.api-sports.io/football/players/23.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,210,,Defender,7.300000,False,0,0,0,2,1,0,0,,,89,4,36,3,,2,17,9,3,1,,4,5,0,0,0,,,0,0,
2,1488,I. Doumbia,Idrissa,Doumbia,24,1998-04-14,Yamoussoukro,Côte d'Ivoire,Côte d'Ivoire,187 cm,82 kg,False,https://media.api-sports.io/football/players/1488.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,23,7,768,,Midfielder,6.604761,False,16,5,24,4,,0,0,,,415,2,17,15,3,7,71,38,13,12,,5,12,4,0,0,,,0,0,
3,1488,I. Doumbia,Idrissa,Doumbia,24,1998-04-14,Yamoussoukro,Côte d'Ivoire,Côte d'Ivoire,187 cm,82 kg,False,https://media.api-sports.io/football/players/1488.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,110,,Midfielder,6.600000,False,0,2,0,,,0,0,,,97,1,45,2,,,11,5,1,1,,2,2,0,0,0,,,0,0,
4,1684,Andrés Fernández,Andrés Eduardo,Fernández Moreno,36,1986-12-17,Murcia,Spain,Spain,187 cm,82 kg,False,https://media.api-sports.io/football/players/1684.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,16,16,1440,,Goalkeeper,6.662500,False,0,0,19,,,0,21,,34,493,,20,,,,10,9,3,3,,3,,0,0,0,,,0,0,0
5,1684,Andrés Fernández,Andrés Eduardo,Fernández Moreno,36,1986-12-17,Murcia,Spain,Spain,187 cm,82 kg,False,https://media.api-sports.io/football/players/1684.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,210,,Goalkeeper,6.700000,False,0,0,0,,,0,4,,7,53,,23,,,,1,1,,,,,,0,0,0,,,0,0,0
6,6084,G. Silva,Gastón Alexis,Silva Perdomo,28,1994-03-05,Salto,Uruguay,Uruguay,183 cm,74 kg,False,https://media.api-sports.io/football/players/6084.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,12,6,598,,Defender,6.590909,False,6,4,18,,,0,0,,,343,1,26,16,4,11,57,29,,,,2,10,2,0,0,,,0,0,
7,6084,G. Silva,Gastón Alexis,Silva Perdomo,28,1994-03-05,Salto,Uruguay,Uruguay,183 cm,74 kg,False,https://media.api-sports.io/football/players/6084.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,2,210,,Defender,6.850000,False,0,0,0,1,,0,0,,,236,,107,5,,5,16,8,1,1,,2,4,0,0,0,,,0,0,
8,18787,S. Okazaki,Shinji,Okazaki,36,1986-04-16,Hyōgo,Japan,Japan,174 cm,70 kg,False,https://media.api-sports.io/football/players/18787.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,25,14,1127,,Attacker,6.525000,False,11,11,20,14,5,1,0,1,,169,6,5,7,,4,140,54,10,4,,14,14,1,0,0,,,0,0,
9,18787,S. Okazaki,Shinji,Okazaki,36,1986-04-16,Hyōgo,Japan,Japan,174 cm,70 kg,False,https://media.api-sports.io/football/players/18787.png,726,Huesca,https://media.api-sports.io/football/teams/726.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,90,,Attacker,6.900000,False,0,0,0,1,1,0,0,,,11,2,8,,,,5,2,,,,2,,0,0,0,,,0,0,
