,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2437,W. Fariñez,Wuilker,Fariñez Aray,24,1998-02-15,Caracas,Venezuela,Venezuela,178 cm,74 kg,False,https://media.api-sports.io/football/players/2437.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,3,1,105,,Goalkeeper,6.566666,False,2,0,37,,,0,2,,4,22,,6,,,,,,,,,,,0,0,0,,,0,0,0
1,2437,W. Fariñez,Wuilker,Fariñez Aray,24,1998-02-15,Caracas,Venezuela,Venezuela,178 cm,74 kg,False,https://media.api-sports.io/football/players/2437.png,116,Lens,https://media.api-sports.io/football/teams/116.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,2,2,180,,Goalkeeper,6.900000,False,0,0,0,,,0,5,,9,40,,14,,,,1,1,,,,,,0,0,0,,,0,0,0
2,6231,F. Medina,Facundo Axel,Medina,23,1999-05-28,Buenos Aires,Argentina,Argentina,177 cm,78 kg,False,https://media.api-sports.io/football/players/6231.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,24,23,2007,,Defender,6.762500,False,1,3,7,7,4,2,0,,,1543,8,56,39,9,39,169,78,11,7,,7,33,11,0,0,,,0,0,
3,6231,F. Medina,Facundo Axel,Medina,23,1999-05-28,Buenos Aires,Argentina,Argentina,177 cm,78 kg,False,https://media.api-sports.io/football/players/6231.png,116,Lens,https://media.api-sports.io/football/teams/116.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,2,1,101,,Defender,7.100000,False,1,0,1,1,1,1,0,,,105,,42,2,,2,10,6,2,2,,,1,1,0,0,,,0,0,
4,20651,J. Leca,Jean-Louis,Leca,37,1985-09-21,Bastia,France,France,180 cm,75 kg,False,https://media.api-sports.io/football/players/20651.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,37,37,3315,,Goalkeeper,6.716216,False,0,2,0,0,0,0,51,,88,873,1,16,3,0,1,24,21,0,0,,10,1,2,0,0,,,0,0,0
5,20651,J. Leca,Jean-Louis,Leca,37,1985-09-21,Bastia,France,France,180 cm,75 kg,False,https://media.api-sports.io/football/players/20651.png,116,Lens,https://media.api-sports.io/football/teams/116.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,20659,A. Mendy,Arial Benabent,Mendy,28,1994-11-07,Ziguinchor,Senegal,Senegal,180 cm,75 kg,False,https://media.api-sports.io/football/players/20659.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,20660,A. Radovanović,Aleksandar,Radovanović,29,1993-11-11,Šabac,Serbia,Serbia,189 cm,83 kg,False,https://media.api-sports.io/football/players/20660.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.200000,False,0,0,0,,,0,0,,,45,,31,1,1,,5,4,,,,,1,0,0,0,,,0,0,
8,20667,C. Boli,Charles,Boli,24,1998-08-30,Dundee,Scotland,France,175 cm,65 kg,False,https://media.api-sports.io/football/players/20667.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Midfielder,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
9,20674,S. Banza,Simon Bokoté,Banza,26,1996-08-13,Creil,France,France,189 cm,77 kg,False,https://media.api-sports.io/football/players/20674.png,116,Lens,https://media.api-sports.io/football/teams/116.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,34,12,1364,,Attacker,6.660606,False,22,11,25,29,13,5,0,2,,305,14,8,13,1,7,249,112,23,9,,33,29,5,1,0,,,1,0,
