,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1473,Tiago Ilori,Tiago Abiola Delfim,Almeida Ilori,29,1993-02-26,London,England,Portugal,190 cm,80 kg,False,https://media.api-sports.io/football/players/1473.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
1,8657,P. Nardi,Paul,Nardi,28,1994-05-18,Vesoul,France,France,187 cm,77 kg,False,https://media.api-sports.io/football/players/8657.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,23,23,2070,,Goalkeeper,6.560869,False,0,0,7,0,0,0,43,,68,516,1,17,,0,0,5,3,0,0,,0,0,1,0,0,,,0,0,0
2,8657,P. Nardi,Paul,Nardi,28,1994-05-18,Vesoul,France,France,187 cm,77 kg,False,https://media.api-sports.io/football/players/8657.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Goalkeeper,6.700000,False,0,0,0,,,0,1,,2,18,,17,,,,,,,,,,,0,0,1,,,0,0,0
3,8664,Yoann Etienne,Yoann,Etienne,25,1997-05-19,Paris,France,France,174 cm,69 kg,False,https://media.api-sports.io/football/players/8664.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.700000,False,0,0,3,,,0,0,,,22,1,18,2,,1,9,5,1,,,1,2,1,0,0,,,0,0,
4,8664,Yoann Etienne,Yoann,Etienne,25,1997-05-19,Paris,France,France,174 cm,69 kg,False,https://media.api-sports.io/football/players/8664.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,2,2,167,,Defender,6.650000,False,0,1,0,1,,0,0,,,62,1,25,4,,5,20,7,4,,,1,3,0,0,0,,,0,0,
5,20618,T. Bartouche,Teddy,Bartouche-Selbonne,25,1997-06-05,Lagny-sur-Marne,France,France,178 cm,70 kg,False,https://media.api-sports.io/football/players/20618.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,8,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,20618,T. Bartouche,Teddy,Bartouche-Selbonne,25,1997-06-05,Lagny-sur-Marne,France,France,178 cm,70 kg,False,https://media.api-sports.io/football/players/20618.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Goalkeeper,6.200000,False,0,0,1,,,0,1,,1,24,,21,,,,,,,,,,,0,0,0,,,0,0,0
7,20625,V. Le Goff,Vincent,Le Goff,33,1989-10-15,Quimper,France,France,177 cm,69 kg,False,https://media.api-sports.io/football/players/20625.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,26,26,2307,,Defender,6.634615,False,0,1,3,8,4,0,0,,,948,20,32,42,5,44,189,87,21,13,,12,16,0,0,0,,,0,0,
8,20625,V. Le Goff,Vincent,Le Goff,33,1989-10-15,Quimper,France,France,177 cm,69 kg,False,https://media.api-sports.io/football/players/20625.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,0,13,,Defender,6.900000,False,1,0,1,,,0,0,,,8,,6,,,,3,1,,,,1,,0,0,0,,,0,0,
9,20627,H. Mendes,Houboulang,Mendes,24,1998-05-04,Évry,France,France,184 cm,73 kg,False,https://media.api-sports.io/football/players/20627.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,17,15,1302,,Defender,6.311764,False,2,7,12,4,0,0,0,,,393,3,25,28,2,14,140,57,28,10,,6,23,3,0,0,,,0,0,
10,20627,H. Mendes,Houboulang,Mendes,24,1998-05-04,Évry,France,France,184 cm,73 kg,False,https://media.api-sports.io/football/players/20627.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.900000,False,0,0,1,1,,0,0,,,53,1,45,,,,8,5,2,1,,1,,0,0,0,,,0,0,
11,20631,M. Saunier,Matthieu Serge Fernand,Saunier,31,1990-02-07,Hyères,France,France,182 cm,76 kg,False,https://media.api-sports.io/football/players/20631.png,97,Lorient,https://media.api-sports.io/football/teams/97.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
