,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,25,1997-05-14,Amadora,Portugal,Portugal,186 cm,76 kg,False,https://media.api-sports.io/football/players/567.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,32,32,2845,,Defender,7.137500,False,0,2,4,13,6,1,0,,,2713,3,79,24,23,35,189,111,8,6,,20,21,4,0,0,,,0,0,
1,567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,25,1997-05-14,Amadora,Portugal,Portugal,186 cm,76 kg,False,https://media.api-sports.io/football/players/567.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,3,3,270,,Defender,7.233333,False,0,0,0,1,,0,0,,,244,,74,3,2,4,18,12,1,1,,,3,0,0,0,,,0,0,
2,567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,25,1997-05-14,Amadora,Portugal,Portugal,186 cm,76 kg,False,https://media.api-sports.io/football/players/567.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,4,3,249,,Defender,6.975000,False,1,1,1,1,,0,0,,,299,1,69,3,2,1,24,16,,,,2,4,1,0,0,,,0,0,
3,567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,25,1997-05-14,Amadora,Portugal,Portugal,186 cm,76 kg,False,https://media.api-sports.io/football/players/567.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2020,11,11,970,,Defender,6.900000,False,0,1,1,,,0,0,,,79,,75,4,1,1,9,4,1,,,,1,1,0,0,,,0,0,
4,617,Ederson Moraes,Ederson,Santana de Moraes,29,1993-08-17,Osasco,Brazil,Brazil,188 cm,86 kg,False,https://media.api-sports.io/football/players/617.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,36,36,3240,,Goalkeeper,6.922222,False,0,0,0,,,0,28,1,66,959,1,21,3,,,16,13,,,,4,1,3,0,0,,,0,0,1
5,617,Ederson Moraes,Ederson,Santana de Moraes,29,1993-08-17,Osasco,Brazil,Brazil,188 cm,86 kg,False,https://media.api-sports.io/football/players/617.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,617,Ederson Moraes,Ederson,Santana de Moraes,29,1993-08-17,Osasco,Brazil,Brazil,188 cm,86 kg,False,https://media.api-sports.io/football/players/617.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Goalkeeper,,False,0,0,5,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
7,617,Ederson Moraes,Ederson,Santana de Moraes,29,1993-08-17,Osasco,Brazil,Brazil,188 cm,86 kg,False,https://media.api-sports.io/football/players/617.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2020,12,12,1080,,Goalkeeper,6.916666,False,0,0,0,,,0,5,,17,279,,19,,,,5,4,,,,2,,0,0,0,,,0,0,0
8,619,Eric García,Eric,García Martret,21,2001-01-09,,Spain,Spain,182 cm,76 kg,False,https://media.api-sports.io/football/players/619.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,6,3,380,,Defender,6.583333,False,3,0,19,2,,0,0,,,339,1,53,8,1,4,27,13,,,,2,4,0,0,0,,,0,0,
9,619,Eric García,Eric,García Martret,21,2001-01-09,,Spain,Spain,182 cm,76 kg,False,https://media.api-sports.io/football/players/619.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Defender,7.300000,False,0,0,0,,,0,0,,,80,,76,2,1,2,9,4,,,,1,1,0,0,0,,,0,0,
10,619,Eric García,Eric,García Martret,21,2001-01-09,,Spain,Spain,182 cm,76 kg,False,https://media.api-sports.io/football/players/619.png,50,Manchester City,https://media.api-sports.io/football/teams/50.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,2,2,180,,Defender,7.000000,False,0,0,0,,,0,0,,,201,,95,,1,3,8,5,,,,3,,0,0,0,,,0,0,
