,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2611,Mathías Sebastián Suárez Suárez,Mathías Sebastián,Suárez Suárez,26,1996-06-24,Montevideo,Uruguay,Uruguay,182 cm,80 kg,False,https://media.api-sports.io/football/players/2611.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,8478,A. Souquet,Arnaud,Souquet,30,1992-02-12,Paris,France,France,180 cm,72 kg,False,https://media.api-sports.io/football/players/8478.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,23,14,1226,,Defender,6.717391,False,9,10,20,5,2,1,0,1,,427,10,17,50,6,17,174,89,20,11,,21,19,5,0,0,,,0,0,
2,8478,A. Souquet,Arnaud,Souquet,30,1992-02-12,Paris,France,France,180 cm,72 kg,False,https://media.api-sports.io/football/players/8478.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,4,4,300,,Defender,6.725000,False,0,2,0,,,0,0,,,133,2,22,12,2,4,36,21,4,2,,3,3,0,0,0,,,0,0,
3,21439,J. Ferri,Jordan,Ferri,30,1992-03-12,Cavaillon,France,France,172 cm,70 kg,False,https://media.api-sports.io/football/players/21439.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,34,31,2591,,Midfielder,6.685294,False,3,17,3,2,2,0,0,3,,1603,22,42,58,5,8,313,128,28,16,,34,52,6,0,0,,,0,0,
4,21439,J. Ferri,Jordan,Ferri,30,1992-03-12,Cavaillon,France,France,172 cm,70 kg,False,https://media.api-sports.io/football/players/21439.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,4,4,275,,Midfielder,7.150000,False,0,4,0,1,1,1,0,2,,254,5,50,9,,1,43,22,8,7,,4,5,1,0,0,,,0,0,
5,21443,T. Savanier,Téji Tedy,Savanier,31,1991-12-22,Montpellier,France,France,171 cm,62 kg,False,https://media.api-sports.io/football/players/21443.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,27,26,2175,,Midfielder,7.222222,False,1,10,1,42,19,5,0,5,,1067,64,31,49,6,38,386,183,82,51,,65,58,6,0,1,,,2,2,
6,21443,T. Savanier,Téji Tedy,Savanier,31,1991-12-22,Montpellier,France,France,171 cm,62 kg,False,https://media.api-sports.io/football/players/21443.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,4,2,224,,Midfielder,7.300000,False,2,1,2,5,3,0,0,2,,129,5,24,3,1,7,29,13,5,2,,7,5,1,0,0,,,0,0,
7,21565,D. Bertaud,Dimitry,Bertaud,24,1998-06-06,Montpellier,France,France,180 cm,80 kg,False,https://media.api-sports.io/football/players/21565.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,9,7,743,,Goalkeeper,7.166666,False,2,0,27,,,0,13,,31,266,,19,,,1,7,7,,,,4,,0,0,0,,,0,0,1
8,21565,D. Bertaud,Dimitry,Bertaud,24,1998-06-06,Montpellier,France,France,180 cm,80 kg,False,https://media.api-sports.io/football/players/21565.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,5,5,450,,Goalkeeper,7.020000,False,0,0,0,,,0,4,,13,130,,19,,,,2,2,,,,,,0,0,0,,,0,0,0
9,21570,N. Cozza,Nicolas Louis Marcel,Cozza,23,1999-01-08,Ganges,France,France,178 cm,72 kg,False,https://media.api-sports.io/football/players/21570.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,20,15,1372,,Defender,6.678947,False,5,8,22,1,,0,0,,,510,6,22,39,11,26,149,82,20,12,,16,15,2,0,0,,,0,0,
10,21570,N. Cozza,Nicolas Louis Marcel,Cozza,23,1999-01-08,Ganges,France,France,178 cm,72 kg,False,https://media.api-sports.io/football/players/21570.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,3,3,270,,Defender,7.233333,False,0,0,2,,,0,0,1,,114,3,30,11,1,7,36,22,8,5,,3,3,0,0,0,,,0,0,
11,21571,Hilton,Vitorino,Hilton da Silva,44,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media.api-sports.io/football/players/21571.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,29,24,2114,,Defender,6.716000,False,5,0,8,11,3,0,0,1,,1055,1,31,15,26,38,134,76,1,1,,16,18,4,0,2,,,0,0,
12,21571,Hilton,Vitorino,Hilton da Silva,44,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media.api-sports.io/football/players/21571.png,82,Montpellier,https://media.api-sports.io/football/teams/82.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,4,4,293,,Defender,6.000000,False,0,0,1,2,,0,0,,,181,,34,3,2,3,15,9,,,,,3,0,0,1,,,0,0,
