,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1173,B. Meling,Birger,Solberg Meling,28,1994-12-17,Stavanger,Norway,Norway,173 cm,64 kg,False,https://media.api-sports.io/football/players/1173.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,26,26,2329,,Defender,6.946153,False,0,1,1,10,6,2,0,3,,984,19,34,48,9,36,190,124,24,16,,39,15,4,0,0,,,0,0,
1,8670,N. Ueda,Naomichi,Ueda,28,1994-10-24,Kumamoto,Japan,Japan,186 cm,77 kg,False,https://media.api-sports.io/football/players/8670.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,9,8,711,,Defender,6.555555,False,1,1,7,1,1,0,0,,,371,5,31,4,4,6,36,21,1,1,,3,3,0,0,0,,,0,0,
2,8670,N. Ueda,Naomichi,Ueda,28,1994-10-24,Kumamoto,Japan,Japan,186 cm,77 kg,False,https://media.api-sports.io/football/players/8670.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.300000,False,0,0,0,,,0,0,,,48,,40,2,1,1,8,4,,,,,2,0,0,0,,,0,0,
3,19270,N. Eliasson,Niclas,Eliasson Santana,27,1995-12-07,Varberg,Sweden,Sweden,176 cm,73 kg,False,https://media.api-sports.io/football/players/19270.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,30,19,1803,,Midfielder,6.948275,False,11,16,13,21,10,4,0,3,,367,35,8,28,1,23,202,99,23,10,,42,25,1,0,0,,,0,0,
4,19270,N. Eliasson,Niclas,Eliasson Santana,27,1995-12-07,Varberg,Sweden,Sweden,176 cm,73 kg,False,https://media.api-sports.io/football/players/19270.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,85,,Midfielder,6.200000,False,0,1,0,1,,0,0,,,8,2,4,,,,10,1,3,1,,,1,0,0,0,,,0,0,
5,20642,S. Sarr,Sidy,Sarr,26,1996-06-05,Dakar,Senegal,Senegal,196 cm,86 kg,False,https://media.api-sports.io/football/players/20642.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,9,6,464,,Midfielder,6.766666,False,3,4,6,5,1,0,0,,,215,3,37,10,1,7,64,38,4,3,,5,9,1,0,0,,,0,0,
6,21036,K. Denkey,Ahoueke Steeve Kévin,Denkey,22,2000-11-30,Lomé,France,Togo,181 cm,81 kg,False,https://media.api-sports.io/football/players/21036.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,10,6,525,,Attacker,6.680000,False,4,5,8,16,8,1,0,1,,90,5,17,4,0,1,76,27,9,5,,10,20,3,0,0,,,0,0,
7,21426,L. Dias,Lucas Lionel,Dias,23,1999-05-22,Lyon,France,France,187 cm,,False,https://media.api-sports.io/football/players/21426.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,16,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
8,21429,K. Guessoum,Kelyan,Guessoum,23,1999-02-05,Alès,France,France,176 cm,70 kg,False,https://media.api-sports.io/football/players/21429.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2020,15,11,1127,,Defender,6.766666,False,4,1,12,4,1,0,0,,,570,1,33,13,6,24,67,43,1,1,,13,6,2,0,0,,,0,0,
9,21429,K. Guessoum,Kelyan,Guessoum,23,1999-02-05,Alès,France,France,176 cm,70 kg,False,https://media.api-sports.io/football/players/21429.png,92,Nimes,https://media.api-sports.io/football/teams/92.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.700000,False,0,0,0,,,0,0,,,36,,30,4,1,4,9,5,1,,,1,1,0,0,0,,,0,0,
