,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,392,Adrián,Adrián,López Álvarez,34,1988-01-08,San Martín De Teverga,Spain,Spain,183 cm,73 kg,False,https://media.api-sports.io/football/players/392.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,17,5,473,,Attacker,6.537500,False,12,5,23,7,3,1,0,1,,184,4,7,3,,,90,33,21,9,,4,4,0,0,0,,,0,0,
1,392,Adrián,Adrián,López Álvarez,34,1988-01-08,San Martín De Teverga,Spain,Spain,183 cm,73 kg,False,https://media.api-sports.io/football/players/392.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,922,Facundo Sebastián Roncaglia,Facundo Sebastián,Roncaglia,35,1987-02-10,Chajarí,Argentina,Argentina,179 cm,76 kg,False,https://media.api-sports.io/football/players/922.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,17,14,1234,,Defender,6.818750,False,3,4,14,10,2,1,0,1,,432,5,18,25,6,25,117,68,8,6,,6,15,2,1,0,,,0,0,
3,922,Facundo Sebastián Roncaglia,Facundo Sebastián,Roncaglia,35,1987-02-10,Chajarí,Argentina,Argentina,179 cm,76 kg,False,https://media.api-sports.io/football/players/922.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,4,4,344,,Defender,7.950000,False,0,2,0,3,2,1,0,1,,99,5,41,1,,6,11,5,2,,,2,2,0,0,0,,,0,0,
4,46646,Sergio Herrera,Sergio,Herrera Pirón,29,1993-06-05,Miranda de Ebro,Spain,Spain,192 cm,82 kg,False,https://media.api-sports.io/football/players/46646.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,33,32,2957,,Goalkeeper,6.945454,False,1,0,5,,,0,40,,89,1069,1,16,,,3,25,21,1,1,,10,1,2,0,0,,,0,0,1
5,46646,Sergio Herrera,Sergio,Herrera Pirón,29,1993-06-05,Miranda de Ebro,Spain,Spain,192 cm,82 kg,False,https://media.api-sports.io/football/players/46646.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/46647.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,3,3,188,,Goalkeeper,5.066666,False,0,0,12,,,0,5,,3,57,,13,,,,1,,,,,,1,0,0,1,,,0,0,1
7,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/46647.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,90,,Goalkeeper,7.200000,False,0,0,0,,,0,0,,2,13,,10,,,,,,,,,,,0,0,0,,,0,0,0
8,46648,Iván Martínez Marqués,Iván,Martínez Marqués,20,2002-02-19,Ágreda,Spain,Spain,180 cm,70 kg,False,https://media.api-sports.io/football/players/46648.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Goalkeeper,,False,0,0,9,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
9,46648,Iván Martínez Marqués,Iván,Martínez Marqués,20,2002-02-19,Ágreda,Spain,Spain,180 cm,70 kg,False,https://media.api-sports.io/football/players/46648.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
