,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,212,Andrea Adorante,Andrea,Adorante,22,2000-02-05,,Italy,Italy,184 cm,,False,https://media.api-sports.io/football/players/212.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,1,0,9,,Attacker,6.300000,False,1,0,6,,,0,0,,,1,,1,,,,3,,,,,,,0,0,0,,,0,0,
1,212,Andrea Adorante,Andrea,Adorante,22,2000-02-05,,Italy,Italy,184 cm,,False,https://media.api-sports.io/football/players/212.png,523,Parma,https://media.api-sports.io/football/teams/523.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,3,1,106,,Attacker,,False,2,0,2,,,1,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
2,881,Hans Nicolussi Caviglia,Hans,Nicolussi Caviglia,22,2000-06-18,Aosta,Italy,Italy,180 cm,,False,https://media.api-sports.io/football/players/881.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,7,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
3,881,Hans Nicolussi Caviglia,Hans,Nicolussi Caviglia,22,2000-06-18,Aosta,Italy,Italy,180 cm,,False,https://media.api-sports.io/football/players/881.png,523,Parma,https://media.api-sports.io/football/teams/523.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,2,2,170,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,12765,G. Pellè,Graziano,Pellè,36,1985-07-15,San Cesario di Lecce,Italy,Italy,194 cm,84 kg,False,https://media.api-sports.io/football/players/12765.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,13,6,609,,Attacker,6.807692,False,7,3,8,11,5,1,0,2,,197,12,12,2,,2,120,60,3,1,,13,19,1,0,0,,,0,0,
5,30400,V. Laurini,Vincent Alain,Laurini,33,1989-06-10,Thionville,France,France,173 cm,72 kg,False,https://media.api-sports.io/football/players/30400.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,14,10,873,,Defender,6.621428,False,4,6,13,1,,0,0,,,403,1,24,16,4,17,68,42,3,2,,18,12,1,0,0,,,0,0,
6,30898,Giuseppe Carriero,Giuseppe,Carriero,25,1997-09-04,,Italy,Italy,177 cm,,False,https://media.api-sports.io/football/players/30898.png,523,Parma,https://media.api-sports.io/football/teams/523.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,31014,Simone Iacoponi,Simone,Iacoponi,35,1987-04-30,Pontedera,Italy,Italy,180 cm,73 kg,False,https://media.api-sports.io/football/players/31014.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,16,13,1192,,Defender,6.562500,False,3,1,9,3,1,0,0,,,684,,37,22,4,11,89,51,4,3,,14,15,3,0,1,,,0,0,
8,31014,Simone Iacoponi,Simone,Iacoponi,35,1987-04-30,Pontedera,Italy,Italy,180 cm,73 kg,False,https://media.api-sports.io/football/players/31014.png,523,Parma,https://media.api-sports.io/football/teams/523.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
9,31015,Bruno Eduardo Regufe Alves,Bruno Eduardo,Regufe Alves,41,1981-11-27,Póvoa de Varzim,Portugal,Portugal,189 cm,83 kg,False,https://media.api-sports.io/football/players/31015.png,523,Parma,https://media.api-sports.io/football/teams/523.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,19,18,1631,,Defender,6.905263,False,1,0,12,5,3,1,0,,,917,2,41,13,12,27,93,66,2,1,,9,20,3,0,0,,,0,0,
