,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,21004,L. Agoume,Lucien,Jefferson Agoume,20,2002-02-09,Yaoundé,Cameroon,France,185 cm,72 kg,False,https://media.api-sports.io/football/players/21004.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,12,9,800,,Midfielder,6.866666,False,3,3,25,2,,0,0,,,482,3,36,18,5,15,86,44,8,6,,8,17,2,0,0,,,0,0,
1,21004,L. Agoume,Lucien,Jefferson Agoume,20,2002-02-09,Yaoundé,Cameroon,France,185 cm,72 kg,False,https://media.api-sports.io/football/players/21004.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,1,111,,Midfielder,,False,0,1,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
2,30440,R. Piccoli,Roberto,Piccoli,21,2001-01-27,Bergamo,Italy,Italy,187 cm,78 kg,False,https://media.api-sports.io/football/players/30440.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,20,8,699,,Attacker,6.636842,False,12,7,24,14,11,5,0,,,133,3,5,7,,2,115,42,8,5,,13,16,0,0,0,,,0,0,
3,30440,R. Piccoli,Roberto,Piccoli,21,2001-01-27,Bergamo,Italy,Italy,187 cm,78 kg,False,https://media.api-sports.io/football/players/30440.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,3,2,232,,Attacker,6.300000,False,1,0,1,1,1,1,0,,,8,,8,,,,15,5,1,,,1,1,0,0,0,,,0,0,
4,30456,R. Saponara,Riccardo,Saponara,31,1991-12-21,Forlì,Italy,Italy,184 cm,73 kg,False,https://media.api-sports.io/football/players/30456.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,9,5,390,,Midfielder,6.450000,False,4,3,7,,,2,0,,,40,1,18,2,,1,9,4,1,1,,1,1,1,1,0,,,0,0,
5,30456,R. Saponara,Riccardo,Saponara,31,1991-12-21,Forlì,Italy,Italy,184 cm,73 kg,False,https://media.api-sports.io/football/players/30456.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,1,1,90,,Midfielder,8.700000,False,0,0,0,4,3,2,0,,,35,,29,,,1,6,4,,,,2,1,0,0,0,,,0,0,
6,30547,Rafael,Rafael,de Andrade Bittencourt Pinheir,39,1982-03-03,São Paulo,Brazil,Brazil,187 cm,80 kg,False,https://media.api-sports.io/football/players/30547.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,3,2,206,,Goalkeeper,7.433333,False,1,0,12,,,0,5,1,13,97,1,23,,,,2,2,,,,,,0,0,0,,,0,0,0
7,30547,Rafael,Rafael,de Andrade Bittencourt Pinheir,39,1982-03-03,São Paulo,Brazil,Brazil,187 cm,80 kg,False,https://media.api-sports.io/football/players/30547.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,0,0,0,,Goalkeeper,,False,0,0,4,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
8,30561,A. Deiola,Alessandro,Deiola,27,1995-08-01,San Gavino Monreale,Italy,Italy,189 cm,85 kg,False,https://media.api-sports.io/football/players/30561.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2020,12,4,358,,Midfielder,6.600000,False,8,4,14,3,1,0,0,,,234,6,16,13,2,11,58,24,1,1,,3,12,1,0,0,,,0,0,
9,30561,A. Deiola,Alessandro,Deiola,27,1995-08-01,San Gavino Monreale,Italy,Italy,189 cm,85 kg,False,https://media.api-sports.io/football/players/30561.png,515,Spezia,https://media.api-sports.io/football/teams/515.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2020,3,3,266,,Midfielder,6.300000,False,0,2,0,2,1,0,0,,,19,1,13,,,,9,3,2,1,,2,2,1,0,0,,,0,0,
