,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1134,V. Bayo,Vakoun Issouf,Bayo,25,1997-01-10,Daloa,Côte d'Ivoire,Côte d'Ivoire,184 cm,72 kg,False,https://media.api-sports.io/football/players/1134.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,31,17,1557,,Attacker,6.858620,False,14,11,16,53,30,10,0,1,,299,13,9,12,1,2,244,104,24,15,,35,43,3,0,0,,,0,0,
1,1134,V. Bayo,Vakoun Issouf,Bayo,25,1997-01-10,Daloa,Côte d'Ivoire,Côte d'Ivoire,184 cm,72 kg,False,https://media.api-sports.io/football/players/1134.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,3,3,242,,Attacker,7.050000,False,0,1,0,6,1,2,0,1,,52,3,18,2,1,,30,11,4,1,,2,6,0,0,0,,,0,0,
2,1928,S. Dewaest,Sébastien Tony,Dewaest,31,1991-05-27,Poperinge,Belgium,Belgium,188 cm,92 kg,False,https://media.api-sports.io/football/players/1928.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,14,14,1255,,Defender,6.983333,False,0,1,1,5,3,0,0,,,606,3,40,14,6,12,133,78,2,2,,9,27,1,0,0,,,0,0,
3,1928,S. Dewaest,Sébastien Tony,Dewaest,31,1991-05-27,Poperinge,Belgium,Belgium,188 cm,92 kg,False,https://media.api-sports.io/football/players/1928.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,90,,Defender,6.900000,False,0,0,0,,,0,0,,,40,,32,1,,3,9,4,1,1,,,3,1,0,0,,,0,0,
4,2483,D. Machado,Deiver Andrés,Machado Mena,29,1993-09-02,Tadó,Colombia,Colombia,172 cm,70 kg,False,https://media.api-sports.io/football/players/2483.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,33,33,2886,,Defender,6.956666,False,0,5,0,18,2,1,0,4,,799,23,22,51,7,55,355,198,65,37,,84,47,5,0,0,,,0,0,
5,2483,D. Machado,Deiver Andrés,Machado Mena,29,1993-09-02,Tadó,Colombia,Colombia,172 cm,70 kg,False,https://media.api-sports.io/football/players/2483.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,3244,M. Gradel,Max-Alain,Gradel,35,1987-11-30,Abidjan,Côte d'Ivoire,Côte d'Ivoire,175 cm,70 kg,False,https://media.api-sports.io/football/players/3244.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,21715,W. Saïd,Wesley,Saïd,27,1995-04-19,Noisy-le-Grand,France,France,171 cm,75 kg,False,https://media.api-sports.io/football/players/21715.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,21715,W. Saïd,Wesley,Saïd,27,1995-04-19,Noisy-le-Grand,France,France,171 cm,75 kg,False,https://media.api-sports.io/football/players/21715.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2020,1,1,46,,Attacker,6.900000,False,0,1,0,1,1,0,0,,,14,1,9,2,,1,10,5,1,1,,,1,0,0,0,,,0,0,
9,22131,Mauro Daniel Goicoechea Furia,Mauro Daniel,Goicoechea Furia,34,1988-03-27,Montevideo,Uruguay,Uruguay,186 cm,82 kg,False,https://media.api-sports.io/football/players/22131.png,96,Toulouse,https://media.api-sports.io/football/teams/96.png,62,Ligue 2,France,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,2020,0,0,0,,Goalkeeper,,False,0,0,14,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
