,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,581,Jota,João Pedro,Neves Filipe,23,1999-03-30,Lisbon,Portugal,Portugal,175 cm,60 kg,False,https://media.api-sports.io/football/players/581.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,17,7,664,,Attacker,6.629411,False,10,7,19,9,6,1,0,,,192,2,9,7,,6,64,34,23,16,,9,6,1,0,0,,,0,0,
1,581,Jota,João Pedro,Neves Filipe,23,1999-03-30,Lisbon,Portugal,Portugal,175 cm,60 kg,False,https://media.api-sports.io/football/players/581.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,64,,Attacker,7.200000,False,0,1,1,3,3,1,0,,,32,,25,,,1,6,4,2,1,,1,1,0,0,0,,,0,0,
2,740,Javier Sánchez,Javier,Sánchez de Felipe,25,1997-03-14,Getafe,Spain,Spain,186 cm,71 kg,False,https://media.api-sports.io/football/players/740.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,16,11,920,,Defender,6.664285,False,5,5,11,3,,0,0,,,368,4,20,15,7,15,62,33,3,3,,2,6,3,0,0,,,0,0,
3,740,Javier Sánchez,Javier,Sánchez de Felipe,25,1997-03-14,Getafe,Spain,Spain,186 cm,71 kg,False,https://media.api-sports.io/football/players/740.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,2,1,141,,Defender,6.900000,False,1,1,1,,,0,0,,,14,,13,,,2,2,2,,,,1,,1,0,0,,,0,0,
4,19291,S. Janko,Saidy,Janko,27,1995-10-22,Zürich,Switzerland,Gambia,181 cm,83 kg,False,https://media.api-sports.io/football/players/19291.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,19,14,1224,,Defender,6.652631,False,5,9,8,1,1,0,0,1,,425,9,18,19,1,18,122,69,27,20,,2,14,4,0,0,,,0,0,
5,19291,S. Janko,Saidy,Janko,27,1995-10-22,Zürich,Switzerland,Gambia,181 cm,83 kg,False,https://media.api-sports.io/football/players/19291.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,47078,Luis Pérez,Luis Jesús,Pérez Maqueda,27,1995-02-04,Utrera,Spain,Spain,173 cm,68 kg,False,https://media.api-sports.io/football/players/47078.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,22,15,1297,,Defender,6.655000,False,7,6,20,1,,0,0,,,448,8,15,33,8,14,129,76,12,5,,16,15,1,0,0,,,0,0,
7,47078,Luis Pérez,Luis Jesús,Pérez Maqueda,27,1995-02-04,Utrera,Spain,Spain,173 cm,68 kg,False,https://media.api-sports.io/football/players/47078.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,4,3,272,,Defender,6.800000,False,1,2,1,1,,0,0,,,161,3,45,6,,2,20,13,,,,1,2,0,0,0,,,0,0,
8,47252,Bruno,Bruno,González Cabrera,32,1990-05-24,Las Galletas,Spain,Spain,185 cm,83 kg,False,https://media.api-sports.io/football/players/47252.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2020,27,25,2261,,Defender,6.688888,False,2,0,11,4,2,1,0,,,796,1,24,27,14,37,176,100,4,3,,16,31,8,0,0,,,0,0,
9,47252,Bruno,Bruno,González Cabrera,32,1990-05-24,Las Galletas,Spain,Spain,185 cm,83 kg,False,https://media.api-sports.io/football/players/47252.png,720,Valladolid,https://media.api-sports.io/football/teams/720.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2020,1,1,120,,Defender,7.700000,False,0,0,0,2,,0,0,,,63,,55,3,1,,10,9,,,,,1,0,0,0,,,0,0,
