,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,12,Ö. Toprak,Ömer,Toprak,33,1989-07-21,Ravensburg,Germany,Turkey,186 cm,83 kg,False,https://media.api-sports.io/football/players/12.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,26,24,1947,,Defender,6.780769,False,2,11,3,9,5,2,0,,,1070,1,33,23,16,36,163,106,7,5,,25,17,1,0,0,,,0,0,
1,12,Ö. Toprak,Ömer,Toprak,33,1989-07-21,Ravensburg,Germany,Turkey,186 cm,83 kg,False,https://media.api-sports.io/football/players/12.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,1,90,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
2,716,L. Bittencourt,Leonardo Jesus,Loureiro Bittencourt,29,1993-12-19,Leipzig,Germany,Germany,171 cm,63 kg,False,https://media.api-sports.io/football/players/716.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,27,19,1521,,Midfielder,6.937037,False,8,15,12,32,11,4,0,1,,572,17,16,58,2,13,229,118,29,14,,36,27,3,0,0,,,1,0,
3,716,L. Bittencourt,Leonardo Jesus,Loureiro Bittencourt,29,1993-12-19,Leipzig,Germany,Germany,171 cm,63 kg,False,https://media.api-sports.io/football/players/716.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,1,121,,Midfielder,7.000000,False,1,1,3,3,1,1,0,,,19,,11,1,,,7,2,,,,1,3,0,0,0,,,0,0,
4,716,L. Bittencourt,Leonardo Jesus,Loureiro Bittencourt,29,1993-12-19,Leipzig,Germany,Germany,171 cm,63 kg,False,https://media.api-sports.io/football/players/716.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,Club Friendlies,,,,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2821,M. Veljković,Miloš,Veljković,27,1995-09-26,Basel,Switzerland,Serbia,184 cm,77 kg,False,https://media.api-sports.io/football/players/2821.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,23,19,1722,,Defender,6.726086,False,4,3,7,2,1,0,0,,,857,1,27,24,9,29,117,65,,,,8,8,1,0,0,,,0,0,
6,2821,M. Veljković,Miloš,Veljković,27,1995-09-26,Basel,Switzerland,Serbia,184 cm,77 kg,False,https://media.api-sports.io/football/players/2821.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,3,3,300,,Defender,6.833333,False,0,0,0,3,1,0,0,,,103,,24,3,1,3,20,7,,,,3,3,0,0,0,,,0,0,
7,7288,M. Zetterer,Michael,Zetterer,27,1995-07-12,München,Germany,Germany,187 cm,79 kg,False,https://media.api-sports.io/football/players/7288.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Goalkeeper,,False,0,0,10,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
8,7288,M. Zetterer,Michael,Zetterer,27,1995-07-12,München,Germany,Germany,187 cm,79 kg,False,https://media.api-sports.io/football/players/7288.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
9,7562,R. Schmid,Romano Christian,Schmid,22,2000-01-27,Graz,Austria,Austria,168 cm,69 kg,False,https://media.api-sports.io/football/players/7562.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,22,13,1179,,Midfielder,6.650000,False,9,12,15,15,3,0,0,3,,449,16,14,22,,8,156,59,23,10,,21,17,2,0,0,,,0,0,
10,7562,R. Schmid,Romano Christian,Schmid,22,2000-01-27,Graz,Austria,Austria,168 cm,69 kg,False,https://media.api-sports.io/football/players/7562.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,3,2,180,,Midfielder,6.833333,False,1,2,2,2,2,0,0,,,58,6,12,1,,,24,8,8,2,,4,3,0,0,0,,,0,0,
11,25310,J. Pavlenka,Jiří,Pavlenka,30,1992-04-14,Hlučín,Czech Republic,Czech Republic,196 cm,81 kg,False,https://media.api-sports.io/football/players/25310.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,34,34,3060,,Goalkeeper,6.791176,False,0,0,0,,,0,57,,106,976,,20,2,,1,17,14,1,1,,3,2,2,0,0,,,0,0,1
12,25310,J. Pavlenka,Jiří,Pavlenka,30,1992-04-14,Hlučín,Czech Republic,Czech Republic,196 cm,81 kg,False,https://media.api-sports.io/football/players/25310.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,480,,Goalkeeper,7.425000,False,0,0,0,,,0,2,,11,128,,20,,,,3,3,,,,1,,0,0,0,,,0,0,0
13,25311,L. Plogmann,Luca Bastian,Plogmann,22,2000-03-10,Bremen,Germany,Germany,188 cm,78 kg,False,https://media.api-sports.io/football/players/25311.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,25311,L. Plogmann,Luca Bastian,Plogmann,22,2000-03-10,Bremen,Germany,Germany,188 cm,78 kg,False,https://media.api-sports.io/football/players/25311.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,25314,M. Friedl,Marco,Friedl,24,1998-03-16,Kirchbichl,Austria,Austria,187 cm,82 kg,False,https://media.api-sports.io/football/players/25314.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,32,31,2788,,Defender,6.759375,False,1,2,1,6,1,0,0,,,1651,9,41,50,17,55,218,121,18,12,,30,31,6,0,0,,,0,0,
16,25314,M. Friedl,Marco,Friedl,24,1998-03-16,Kirchbichl,Austria,Austria,187 cm,82 kg,False,https://media.api-sports.io/football/players/25314.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,2,180,,Defender,7.800000,False,0,0,1,1,,0,0,1,,98,1,38,5,3,,17,13,1,1,,3,1,0,0,0,,,0,0,
17,25315,Theodor Gebre Selassie,Theodor,Gebre Selassie,36,1986-12-24,Třebíč,Czech Republic,Czech Republic,181 cm,71 kg,False,https://media.api-sports.io/football/players/25315.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,34,34,3033,,Defender,6.823529,False,0,1,0,16,8,3,0,1,,1167,20,25,61,11,59,306,168,9,2,,43,26,3,0,0,,,0,0,
18,25315,Theodor Gebre Selassie,Theodor,Gebre Selassie,36,1986-12-24,Třebíč,Czech Republic,Czech Republic,181 cm,71 kg,False,https://media.api-sports.io/football/players/25315.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,480,,Defender,7.050000,False,0,0,0,6,1,1,0,,,126,1,21,7,3,13,34,18,1,1,,3,4,1,0,0,,,0,0,
19,25317,N. Moisander,Niklas Kristian,Moisander,37,1985-09-29,Turku,Finland,Finland,183 cm,75 kg,False,https://media.api-sports.io/football/players/25317.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,18,12,1216,,Defender,6.718750,False,6,0,22,,,0,0,,,930,2,50,14,8,22,87,45,2,1,,8,17,3,0,0,,,0,0,
20,25317,N. Moisander,Niklas Kristian,Moisander,37,1985-09-29,Turku,Finland,Finland,183 cm,75 kg,False,https://media.api-sports.io/football/players/25317.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,5,5,480,,Defender,7.425000,False,0,0,0,3,1,0,0,1,,224,1,48,6,2,4,33,17,2,2,,2,6,1,0,0,,,0,0,
21,25322,J.  Mbom,Jean-Manuel,Mbom,22,2000-02-24,,Germany,Germany,183 cm,,False,https://media.api-sports.io/football/players/25322.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,21,15,1165,,Midfielder,6.485000,False,6,12,17,5,1,0,0,1,,320,8,10,19,6,12,159,72,14,4,,18,32,7,0,0,,,0,0,
22,25322,J.  Mbom,Jean-Manuel,Mbom,22,2000-02-24,,Germany,Germany,183 cm,,False,https://media.api-sports.io/football/players/25322.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,3,2,161,,Midfielder,6.600000,False,1,2,2,1,1,1,0,,,47,,11,1,,,16,4,1,,,,5,0,0,0,,,0,0,
23,25326,J. Eggestein,Johannes,Eggestein,24,1998-05-08,Hannover,Germany,Germany,183 cm,75 kg,False,https://media.api-sports.io/football/players/25326.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,2,0,31,,Attacker,6.450000,False,2,0,3,,,0,0,,,15,1,5,,,1,2,,,,,,1,0,0,0,,,0,0,
24,25326,J. Eggestein,Johannes,Eggestein,24,1998-05-08,Hannover,Germany,Germany,183 cm,75 kg,False,https://media.api-sports.io/football/players/25326.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,1,0,0,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25,25330,Y. Ōsako,Yūya,Ōsako,32,1990-05-18,Kaseda,Japan,Japan,182 cm,71 kg,False,https://media.api-sports.io/football/players/25330.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,24,7,752,,Attacker,6.628571,False,17,8,25,8,4,0,0,1,,230,10,7,12,1,5,130,59,21,12,,13,14,3,0,0,,,0,0,
26,25330,Y. Ōsako,Yūya,Ōsako,32,1990-05-18,Kaseda,Japan,Japan,182 cm,71 kg,False,https://media.api-sports.io/football/players/25330.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,4,2,206,,Attacker,6.966666,False,2,2,3,5,2,1,0,,,60,1,12,2,1,,33,12,2,2,,3,3,0,0,0,,,0,0,
27,25391,N. Füllkrug,Niclas,Füllkrug,29,1993-02-09,Hannover,Germany,Germany,189 cm,83 kg,False,https://media.api-sports.io/football/players/25391.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,19,10,879,,Attacker,6.926315,False,9,9,10,34,17,6,0,,,253,5,7,7,4,3,199,83,16,8,,13,15,1,0,0,,,2,0,
28,25391,N. Füllkrug,Niclas,Füllkrug,29,1993-02-09,Hannover,Germany,Germany,189 cm,83 kg,False,https://media.api-sports.io/football/players/25391.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2020,2,1,82,,Attacker,6.900000,False,1,1,1,,,0,0,,,16,1,7,,1,1,15,7,,,,2,2,0,0,0,,,0,0,
29,26319,F. Agu,Felix,Agu,23,1999-09-27,Osnabrück,Germany,Germany,180 cm,67 kg,False,https://media.api-sports.io/football/players/26319.png,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2020,15,8,697,,Defender,6.742857,False,7,3,23,3,2,1,0,,,219,3,11,20,3,12,101,64,11,5,,26,5,0,0,0,,,0,0,
