,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,900,J. Lingard,Jesse,Lingard,30,1992-12-15,Warrington,England,England,175 cm,62 kg,False,https://media.api-sports.io/football/players/900.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,16,16,1426,,Midfielder,,False,0,5,0,,,9,0,,,,,,,,,,,,,,,,3,0,0,,,0,0,
1,1231,V. Coufal,Vladimír,Coufal,30,1992-08-22,Ostrava,Czech Republic,Czech Republic,179 cm,76 kg,False,https://media.api-sports.io/football/players/1231.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,34,34,3055,,Defender,6.985294,False,0,1,1,12,5,0,0,7,,1279,47,26,73,7,41,303,172,24,15,,34,29,3,0,0,,,0,0,
2,1231,V. Coufal,Vladimír,Coufal,30,1992-08-22,Ostrava,Czech Republic,Czech Republic,179 cm,76 kg,False,https://media.api-sports.io/football/players/1231.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,2,2,210,,Defender,6.750000,False,0,0,1,,,0,0,,,98,1,34,4,,5,17,8,4,2,,1,1,0,0,0,,,0,0,
3,1826,S. Haller,Sébastien Romain Teddy,Haller,28,1994-06-22,Ris-Orangis,France,Côte d'Ivoire,190 cm,82 kg,False,https://media.api-sports.io/football/players/1826.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,16,10,934,,Attacker,6.871428,False,6,3,6,22,11,3,0,,,244,10,9,14,1,5,240,105,13,9,,15,24,0,0,0,,,0,0,
4,1826,S. Haller,Sébastien Romain Teddy,Haller,28,1994-06-22,Ris-Orangis,France,Côte d'Ivoire,190 cm,82 kg,False,https://media.api-sports.io/football/players/1826.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,3,3,270,,Attacker,7.866666,False,0,0,0,8,5,4,0,,,84,,22,1,,2,37,19,2,2,,5,2,0,0,0,,,0,0,
5,1826,S. Haller,Sébastien Romain Teddy,Haller,28,1994-06-22,Ris-Orangis,France,Côte d'Ivoire,190 cm,82 kg,False,https://media.api-sports.io/football/players/1826.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,2500,F. Balbuena,Fabián Cornelio,Balbuena González,31,1991-08-23,Ciudad del Este,Paraguay,Paraguay,188 cm,82 kg,False,https://media.api-sports.io/football/players/2500.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,14,13,1198,,Defender,6.857142,False,1,0,21,7,2,1,0,,,482,,25,24,6,25,88,49,2,1,,3,12,1,0,1,,,0,0,
7,2500,F. Balbuena,Fabián Cornelio,Balbuena González,31,1991-08-23,Ciudad del Este,Paraguay,Paraguay,188 cm,82 kg,False,https://media.api-sports.io/football/players/2500.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,3,3,270,,Defender,6.700000,False,0,0,0,,,0,0,,,193,1,52,1,1,5,13,8,,,,,,0,0,0,,,0,0,
8,2500,F. Balbuena,Fabián Cornelio,Balbuena González,31,1991-08-23,Ciudad del Este,Paraguay,Paraguay,188 cm,82 kg,False,https://media.api-sports.io/football/players/2500.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Defender,6.900000,False,0,0,1,,,0,0,,,53,,48,1,,1,6,2,,,,,2,0,0,0,,,0,0,
9,2997,Ł. Fabiański,Łukasz,Fabiański,37,1985-04-18,Kostrzyn nad Odrą,Poland,Poland,190 cm,83 kg,False,https://media.api-sports.io/football/players/2997.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,35,35,3150,,Goalkeeper,6.828571,False,0,0,0,,,0,44,,103,856,,13,1,,1,7,6,,,,2,1,2,0,0,,,0,0,1
10,2997,Ł. Fabiański,Łukasz,Fabiański,37,1985-04-18,Kostrzyn nad Odrą,Poland,Poland,190 cm,83 kg,False,https://media.api-sports.io/football/players/2997.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,2997,Ł. Fabiański,Łukasz,Fabiański,37,1985-04-18,Kostrzyn nad Odrą,Poland,Poland,190 cm,83 kg,False,https://media.api-sports.io/football/players/2997.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,2,2,203,,Goalkeeper,7.100000,False,0,1,0,,,0,1,,6,56,,15,,,,,,,,,,,0,0,0,,,0,0,0
12,15928,Frederik Alves Ibsen,Frederik,Alves Ibsen,23,1999-11-08,Hvidovre,Denmark,Denmark,195 cm,78 kg,False,https://media.api-sports.io/football/players/15928.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,11,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
13,15928,Frederik Alves Ibsen,Frederik,Alves Ibsen,23,1999-11-08,Hvidovre,Denmark,Denmark,195 cm,78 kg,False,https://media.api-sports.io/football/players/15928.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
14,17756,Oladapo Joshua Afolayan,Oladapo Joshua,Afolayan,25,1997-09-11,London,England,England,180 cm,73 kg,False,https://media.api-sports.io/football/players/17756.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,1,0,20,,Attacker,7.300000,False,1,0,1,1,1,1,0,,,6,,6,1,,,7,4,,,,1,1,0,0,0,,,0,0,
15,18813,A. Cresswell,Aaron,Cresswell,33,1989-12-15,Liverpool,England,England,170 cm,66 kg,False,https://media.api-sports.io/football/players/18813.png,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,36,36,3172,,Defender,7.119444,False,0,2,0,16,4,0,0,8,,1652,60,36,32,14,32,160,89,10,4,,18,13,3,0,0,,,0,0,
