,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,285,K. Hoever,Ki-Jana Delano,Hoever,20,2002-01-18,Amsterdam,Netherlands,Netherlands,180 cm,65 kg,False,https://media.api-sports.io/football/players/285.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,12,5,571,,Defender,6.590909,False,7,1,29,1,,0,0,,,291,3,18,14,,9,77,37,22,13,,4,4,1,0,0,,,0,0,
1,285,K. Hoever,Ki-Jana Delano,Hoever,20,2002-01-18,Amsterdam,Netherlands,Netherlands,180 cm,65 kg,False,https://media.api-sports.io/football/players/285.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,285,K. Hoever,Ki-Jana Delano,Hoever,20,2002-01-18,Amsterdam,Netherlands,Netherlands,180 cm,65 kg,False,https://media.api-sports.io/football/players/285.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,3,2,185,,Defender,7.066666,False,1,0,1,,,0,0,,,101,2,40,7,,2,29,19,5,4,,2,2,0,0,0,,,0,0,
3,518,M. Shabani,Meritan,Shabani,22,1999-03-15,München,Germany,Germany,185 cm,78 kg,False,https://media.api-sports.io/football/players/518.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
4,518,M. Shabani,Meritan,Shabani,22,1999-03-15,München,Germany,Germany,185 cm,78 kg,False,https://media.api-sports.io/football/players/518.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
5,518,M. Shabani,Meritan,Shabani,22,1999-03-15,München,Germany,Germany,185 cm,78 kg,False,https://media.api-sports.io/football/players/518.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,652,Fernando Marçal,Fernando,Marçal de Oliveira,33,1989-02-19,São Paulo,Brazil,Brazil,178 cm,74 kg,False,https://media.api-sports.io/football/players/652.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,13,7,621,,Defender,6.638461,False,6,3,10,1,,0,0,,,301,4,19,13,2,12,67,34,13,7,,3,12,2,0,0,,,0,0,
7,652,Fernando Marçal,Fernando,Marçal de Oliveira,33,1989-02-19,São Paulo,Brazil,Brazil,178 cm,74 kg,False,https://media.api-sports.io/football/players/652.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
8,652,Fernando Marçal,Fernando,Marçal de Oliveira,33,1989-02-19,São Paulo,Brazil,Brazil,178 cm,74 kg,False,https://media.api-sports.io/football/players/652.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,2678,Diogo Jota,Diogo José,Teixeira da Silva,26,1996-12-04,Massarelos,Portugal,Portugal,178 cm,68 kg,False,https://media.api-sports.io/football/players/2678.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Attacker,6.961111,False,0,0,1,41,26,0,0,,,426,13,17,12,,5,198,67,43,21,,20,25,0,0,0,,,0,0,
10,2678,Diogo Jota,Diogo José,Teixeira da Silva,26,1996-12-04,Massarelos,Portugal,Portugal,178 cm,68 kg,False,https://media.api-sports.io/football/players/2678.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Attacker,6.600000,False,0,0,0,3,2,0,0,,,47,2,19,,,,20,7,3,2,,3,1,0,0,0,,,0,0,
11,2678,Diogo Jota,Diogo José,Teixeira da Silva,26,1996-12-04,Massarelos,Portugal,Portugal,178 cm,68 kg,False,https://media.api-sports.io/football/players/2678.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,18737,J. Ruddy,John,Ruddy,36,1986-10-24,St Ives,England,England,192 cm,96 kg,False,https://media.api-sports.io/football/players/18737.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,2,1,90,,Goalkeeper,6.900000,False,1,0,37,,,0,1,,3,14,,4,,,,1,1,,,,,,0,0,0,,,0,0,0
13,18737,J. Ruddy,John,Ruddy,36,1986-10-24,St Ives,England,England,192 cm,96 kg,False,https://media.api-sports.io/football/players/18737.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Goalkeeper,6.200000,False,0,0,0,,,0,1,,1,12,,10,,,,,,,,,,,0,0,0,,,0,0,0
14,18737,J. Ruddy,John,Ruddy,36,1986-10-24,St Ives,England,England,192 cm,96 kg,False,https://media.api-sports.io/football/players/18737.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2020,3,3,270,,Goalkeeper,7.200000,False,0,0,0,,,0,2,,11,48,,10,1,,,1,1,,,,,,0,0,0,,,0,0,0
15,18739,W. Boly,Willy-Arnaud,Zobo Boly,31,1991-02-03,Melun,France,Côte d'Ivoire,185 cm,81 kg,False,https://media.api-sports.io/football/players/18739.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,21,21,1880,,Defender,6.947619,False,0,1,5,11,4,1,0,1,,1036,3,40,33,12,32,153,100,4,4,,8,15,2,0,0,,,0,0,
16,18739,W. Boly,Willy-Arnaud,Zobo Boly,31,1991-02-03,Melun,France,Côte d'Ivoire,185 cm,81 kg,False,https://media.api-sports.io/football/players/18739.png,39,Wolves,https://media.api-sports.io/football/teams/39.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2020,1,1,90,,Defender,7.300000,False,0,0,0,,,0,0,,,92,,80,1,2,2,9,8,,,,,,0,0,0,,,0,0,
