,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,416,S. Rudy,Sebastian,Rudy,32,1990-02-28,Villingen-Schwenningen,Germany,Germany,180 cm,74 kg,False,https://media.api-sports.io/football/players/416.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,17,7,670,,Midfielder,6.680000,False,10,4,13,6,2,2,0,1,,336,7,16,20,3,8,72,35,4,3,,6,11,5,0,0,,,0,0,
1,416,S. Rudy,Sebastian,Rudy,32,1990-02-28,Villingen-Schwenningen,Germany,Germany,180 cm,74 kg,False,https://media.api-sports.io/football/players/416.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,3,1,161,,Midfielder,6.700000,False,2,0,2,1,,0,0,,,95,6,25,1,2,4,13,4,2,1,,1,3,0,0,0,,,0,0,
2,702,O. Baumann,Oliver,Baumann,32,1990-06-02,Breisach,Germany,Germany,187 cm,82 kg,False,https://media.api-sports.io/football/players/702.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,28,28,2520,,Goalkeeper,6.907142,False,0,0,0,,,0,42,,84,1149,,31,,,,10,9,1,1,,1,,1,0,0,,,0,0,0
3,702,O. Baumann,Oliver,Baumann,32,1990-06-02,Breisach,Germany,Germany,187 cm,82 kg,False,https://media.api-sports.io/football/players/702.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,2,2,180,,Goalkeeper,6.050000,False,0,0,0,,,0,5,,3,93,,41,,,,,,,,,,,0,0,0,,,0,0,0
4,705,E. Bičakčić,Ermin,Bičakčić,32,1990-01-24,Zvornik,Bosnia and Herzegovina,Bosnia and Herzegovina,185 cm,85 kg,False,https://media.api-sports.io/football/players/705.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,705,E. Bičakčić,Ermin,Bičakčić,32,1990-01-24,Zvornik,Bosnia and Herzegovina,Bosnia and Herzegovina,185 cm,85 kg,False,https://media.api-sports.io/football/players/705.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,708,B. Hübner,Benjamin,Hübner,33,1989-07-04,Wiesbaden,Germany,Germany,193 cm,86 kg,False,https://media.api-sports.io/football/players/708.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,5,5,378,,Defender,7.040000,False,0,3,9,8,3,1,0,,,272,,46,9,2,9,47,26,3,1,,2,8,2,0,0,,,0,0,
7,708,B. Hübner,Benjamin,Hübner,33,1989-07-04,Wiesbaden,Germany,Germany,193 cm,86 kg,False,https://media.api-sports.io/football/players/708.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,15,,Defender,6.900000,False,1,0,1,,,0,0,,,15,,12,,,1,,,,,,,,0,0,0,,,0,0,
8,709,P. Kadeřábek,Pavel,Kadeřábek,30,1992-04-25,Praha,Czech Republic,Czech Republic,182 cm,81 kg,False,https://media.api-sports.io/football/players/709.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,16,11,949,,Defender,6.818750,False,5,7,5,5,2,1,0,1,,425,17,19,8,6,8,94,48,2,,,7,14,4,0,0,,,0,0,
9,709,P. Kadeřábek,Pavel,Kadeřábek,30,1992-04-25,Praha,Czech Republic,Czech Republic,182 cm,81 kg,False,https://media.api-sports.io/football/players/709.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,710,K. Nuhu,Kasim Adams,Nuhu,27,1995-06-22,Accra,Ghana,Ghana,190 cm,83 kg,False,https://media.api-sports.io/football/players/710.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,1,0,0,,Defender,,False,1,0,7,,,0,0,,,1,,1,,,,2,1,,,,,,0,0,0,,,0,0,
11,710,K. Nuhu,Kasim Adams,Nuhu,27,1995-06-22,Accra,Ghana,Ghana,190 cm,83 kg,False,https://media.api-sports.io/football/players/710.png,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
