,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1700,Iván Martín Núñez,Iván,Martín Núñez,23,1999-02-14,Bilbao,Spain,Spain,178 cm,,False,https://media.api-sports.io/football/players/1700.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,6,2,165,,Midfielder,6.200000,False,4,2,19,,,0,0,,,48,,14,,,1,13,4,2,,,1,2,0,0,0,,,0,0,
1,1700,Iván Martín Núñez,Iván,Martín Núñez,23,1999-02-14,Bilbao,Spain,Spain,178 cm,,False,https://media.api-sports.io/football/players/1700.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,108,,Midfielder,6.850000,False,0,2,0,,,0,0,,,77,1,33,1,,1,18,12,8,6,,2,1,0,0,0,,,0,0,
2,6233,Facundo Nahuel Tenaglia,Facundo Nahuel,Tenaglia,26,1996-02-21,Saladillo,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/6233.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,9,8,747,,Defender,6.711111,False,1,1,1,3,1,0,0,,,233,2,14,32,1,20,86,56,6,4,,6,3,2,0,0,,,0,0,
3,8518,M. Sylla,Mamadou,Sylla,28,1994-03-20,Kédougou,Senegal,Senegal,184 cm,84 kg,False,https://media.api-sports.io/football/players/8518.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,13,4,390,,Attacker,6.416666,False,9,4,16,1,,0,0,,,60,2,3,2,,1,45,22,7,3,,6,6,1,0,0,,,0,0,
4,8518,M. Sylla,Mamadou,Sylla,28,1994-03-20,Kédougou,Senegal,Senegal,184 cm,84 kg,False,https://media.api-sports.io/football/players/8518.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,180,,Attacker,7.500000,False,0,0,0,4,3,2,0,,,44,1,13,1,,,19,11,1,1,,1,1,0,0,0,,,0,0,
5,18833,Lucas Pérez,Lucas,Pérez Martínez,34,1988-09-10,A Coruña,Spain,Spain,180 cm,82 kg,False,https://media.api-sports.io/football/players/18833.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Attacker,6.600000,False,0,0,1,3,1,0,0,1,,147,7,15,1,1,,35,8,6,2,,4,4,0,0,0,,,0,0,
6,18895,F. Lejeune,Florian,Lejeune,31,1991-05-20,Paris,France,France,189 cm,89 kg,False,https://media.api-sports.io/football/players/18895.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,23,23,2070,,Defender,6.750000,False,0,0,2,12,2,0,0,,,874,3,30,26,14,25,162,87,5,2,,5,30,7,1,0,,,0,0,
7,18895,F. Lejeune,Florian,Lejeune,31,1991-05-20,Paris,France,France,189 cm,89 kg,False,https://media.api-sports.io/football/players/18895.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,90,,Defender,6.900000,False,0,0,0,1,,0,0,,,82,,67,4,,,9,6,,,,1,,0,0,0,,,0,0,
8,19607,M. Miazga,Matthew,Miazga,27,1995-07-19,Clifton,USA,USA,193 cm,84 kg,False,https://media.api-sports.io/football/players/19607.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,11,9,831,,Defender,6.827272,False,2,0,17,6,3,0,0,,,319,2,26,7,12,11,61,42,,,,2,6,2,0,0,,,0,0,
9,19607,M. Miazga,Matthew,Miazga,27,1995-07-19,Clifton,USA,USA,193 cm,84 kg,False,https://media.api-sports.io/football/players/19607.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,90,,Defender,7.300000,False,0,0,0,,,0,0,,,72,,71,,,1,5,3,1,1,,1,1,0,0,0,,,0,0,
