,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,727,R. Nelson,Reiss Luke,Nelson,23,1999-12-10,,England,England,175 cm,71 kg,False,https://media.api-sports.io/football/players/727.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,1,0,19,,Attacker,6.700000,False,1,0,2,,,0,0,,,12,1,8,1,,,2,1,,,,,,0,0,0,,,0,0,
1,727,R. Nelson,Reiss Luke,Nelson,23,1999-12-10,,England,England,175 cm,71 kg,False,https://media.api-sports.io/football/players/727.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,727,R. Nelson,Reiss Luke,Nelson,23,1999-12-10,,England,England,175 cm,71 kg,False,https://media.api-sports.io/football/players/727.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,727,R. Nelson,Reiss Luke,Nelson,23,1999-12-10,,England,England,175 cm,71 kg,False,https://media.api-sports.io/football/players/727.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,Club Friendlies,,,,2021,3,1,83,,Attacker,,False,2,1,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,748,Daniel Ceballos Fernández,Daniel,Ceballos Fernández,26,1996-08-07,Sevilla,Spain,Spain,179 cm,70 kg,False,https://media.api-sports.io/football/players/748.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,1438,B. Leno,Bernd,Leno,30,1992-03-04,Bietigheim-Bissingen,Germany,Germany,190 cm,83 kg,False,https://media.api-sports.io/football/players/1438.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,4,4,360,,Goalkeeper,6.650000,False,0,0,22,,,0,9,,10,101,,15,1,,,5,4,,,,,,0,0,0,,,0,0,0
6,1438,B. Leno,Bernd,Leno,30,1992-03-04,Bietigheim-Bissingen,Germany,Germany,190 cm,83 kg,False,https://media.api-sports.io/football/players/1438.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,3,3,270,,Goalkeeper,7.433333,False,0,0,2,,,0,1,,10,71,,19,,,,,,,,,,,0,0,0,,,0,0,0
7,1438,B. Leno,Bernd,Leno,30,1992-03-04,Bietigheim-Bissingen,Germany,Germany,190 cm,83 kg,False,https://media.api-sports.io/football/players/1438.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,90,,Goalkeeper,7.000000,False,0,0,0,,,0,1,,2,19,,17,,,,1,1,,,,,,0,0,0,,,0,0,0
8,1438,B. Leno,Bernd,Leno,30,1992-03-04,Bietigheim-Bissingen,Germany,Germany,190 cm,83 kg,False,https://media.api-sports.io/football/players/1438.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,Club Friendlies,,,,2021,2,2,180,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,1439,Bellerín,Héctor,Bellerín Moruno,27,1995-03-19,Barcelona,Spain,Spain,178 cm,74 kg,False,https://media.api-sports.io/football/players/1439.png,42,Arsenal,https://media.api-sports.io/football/teams/42.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
