,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1930,Joakim Mæhle Pedersen,Joakim,Mæhle Pedersen,25,1997-05-20,Østervrå,Denmark,Denmark,185 cm,79 kg,False,https://media.api-sports.io/football/players/1930.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,23,14,1331,,Defender,6.508695,False,9,5,14,9,3,1,0,1,,690,15,24,17,2,13,139,61,38,11,,22,9,2,0,0,,,0,0,
1,1930,Joakim Mæhle Pedersen,Joakim,Mæhle Pedersen,25,1997-05-20,Østervrå,Denmark,Denmark,185 cm,79 kg,False,https://media.api-sports.io/football/players/1930.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,0,17,,Defender,7.700000,False,1,0,2,1,1,1,0,,,9,,6,,,2,2,2,1,1,,1,,0,0,0,,,0,0,
2,1930,Joakim Mæhle Pedersen,Joakim,Mæhle Pedersen,25,1997-05-20,Østervrå,Denmark,Denmark,185 cm,79 kg,False,https://media.api-sports.io/football/players/1930.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,5,4,436,,Defender,6.620000,False,1,2,2,2,,0,0,1,,210,3,36,11,1,6,49,27,15,4,,7,3,0,0,0,,,0,0,
3,1930,Joakim Mæhle Pedersen,Joakim,Mæhle Pedersen,25,1997-05-20,Østervrå,Denmark,Denmark,185 cm,79 kg,False,https://media.api-sports.io/football/players/1930.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,3,2,183,,Defender,6.833333,False,1,2,2,1,1,1,0,,,69,2,19,5,,2,20,9,8,2,,2,1,0,0,0,,,0,0,
4,1930,Joakim Mæhle Pedersen,Joakim,Mæhle Pedersen,25,1997-05-20,Østervrå,Denmark,Denmark,185 cm,79 kg,False,https://media.api-sports.io/football/players/1930.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,,Club Friendlies,,,,2021,1,1,71,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2286,D. Zappacosta,Davide,Zappacosta,30,1992-06-11,Sora,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/2286.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,27,22,1740,,Defender,6.807692,False,5,14,6,14,4,1,0,3,,863,24,28,25,2,10,155,68,32,13,,25,23,6,0,0,,,0,0,
6,2286,D. Zappacosta,Davide,Zappacosta,30,1992-06-11,Sora,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/2286.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,90,,Defender,7.300000,False,0,0,0,2,1,1,0,,,40,1,33,2,,,10,4,1,,,2,4,0,0,0,,,0,0,
7,2286,D. Zappacosta,Davide,Zappacosta,30,1992-06-11,Sora,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/2286.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,3,3,244,,Defender,6.733333,False,0,3,2,3,2,0,0,1,,129,3,36,2,2,4,21,9,9,3,,3,1,0,0,0,,,0,0,
8,2286,D. Zappacosta,Davide,Zappacosta,30,1992-06-11,Sora,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/2286.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,6,5,406,,Defender,6.660000,False,1,2,1,5,1,0,0,1,,184,5,26,5,,2,45,20,13,4,,11,6,1,0,0,,,0,0,
9,2465,J. Musso,Juan Agustín,Musso,28,1994-05-06,San Nicolás de los Arroyos,Argentina,Argentina,191 cm,93 kg,False,https://media.api-sports.io/football/players/2465.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,26,26,2302,,Goalkeeper,6.746153,False,0,0,4,,,0,30,,60,614,,16,,,,8,5,1,1,,1,3,1,0,1,,,0,0,0
10,2465,J. Musso,Juan Agustín,Musso,28,1994-05-06,San Nicolás de los Arroyos,Argentina,Argentina,191 cm,93 kg,False,https://media.api-sports.io/football/players/2465.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,180,,Goalkeeper,7.250000,False,0,0,0,,,0,3,,6,43,,15,,,,,,,,,,,0,0,0,,,0,0,1
11,2465,J. Musso,Juan Agustín,Musso,28,1994-05-06,San Nicolás de los Arroyos,Argentina,Argentina,191 cm,93 kg,False,https://media.api-sports.io/football/players/2465.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,6,6,540,,Goalkeeper,6.716666,False,0,0,0,,,0,13,,21,139,,16,1,,,2,2,,,,1,,0,0,0,,,0,0,0
12,2465,J. Musso,Juan Agustín,Musso,28,1994-05-06,San Nicolás de los Arroyos,Argentina,Argentina,191 cm,93 kg,False,https://media.api-sports.io/football/players/2465.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,5,5,450,,Goalkeeper,6.820000,False,0,0,0,,,0,4,,8,101,,12,,,,2,2,,,,1,,0,0,0,,,0,0,0
13,2465,J. Musso,Juan Agustín,Musso,28,1994-05-06,San Nicolás de los Arroyos,Argentina,Argentina,191 cm,93 kg,False,https://media.api-sports.io/football/players/2465.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,,Club Friendlies,,,,2021,1,1,83,,Goalkeeper,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,2807,R. Freuler,Remo Marco,Freuler,30,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,80 kg,False,https://media.api-sports.io/football/players/2807.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,23,22,1926,,Midfielder,6.960869,False,1,6,6,9,5,1,0,3,,1360,22,51,49,4,33,211,103,27,17,,21,32,5,0,0,,,0,0,
15,2807,R. Freuler,Remo Marco,Freuler,30,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,80 kg,False,https://media.api-sports.io/football/players/2807.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,180,,Midfielder,7.250000,False,0,0,0,1,1,0,0,2,,110,3,48,3,1,3,16,9,2,2,,2,3,0,0,0,,,0,0,
16,2807,R. Freuler,Remo Marco,Freuler,30,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,80 kg,False,https://media.api-sports.io/football/players/2807.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,6,6,528,,Midfielder,7.066666,False,0,2,0,2,2,1,0,1,,366,6,52,8,2,7,50,28,6,4,,11,6,0,0,0,,,0,0,
17,2807,R. Freuler,Remo Marco,Freuler,30,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,80 kg,False,https://media.api-sports.io/football/players/2807.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,5,4,355,,Midfielder,6.960000,False,1,1,1,,,0,0,,,229,8,37,11,1,7,43,21,5,2,,7,5,0,0,0,,,0,0,
18,2807,R. Freuler,Remo Marco,Freuler,30,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,80 kg,False,https://media.api-sports.io/football/players/2807.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,,Club Friendlies,,,,2021,1,1,59,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,16556,Bryan Alfredo Cabezas Segura,Bryan Alfredo,Cabezas Segura,25,1997-03-20,Quevedo,Ecuador,Ecuador,182 cm,72 kg,False,https://media.api-sports.io/football/players/16556.png,499,Atalanta,https://media.api-sports.io/football/teams/499.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
