,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1119,K. Ajer,Kristoffer,Vassbakk Ajer,24,1998-04-17,Rælingen,Norway,Norway,198 cm,92 kg,False,https://media.api-sports.io/football/players/1119.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,20,19,1671,,Defender,6.875000,False,1,5,4,1,,0,0,3,,578,7,19,27,11,21,156,96,14,9,,15,10,4,0,0,,,0,0,
1,1119,K. Ajer,Kristoffer,Vassbakk Ajer,24,1998-04-17,Rælingen,Norway,Norway,198 cm,92 kg,False,https://media.api-sports.io/football/players/1119.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,1,135,,Defender,6.500000,False,1,0,2,,,0,0,,,94,,42,,,1,9,4,5,2,,,1,0,0,0,,,0,0,
2,1119,K. Ajer,Kristoffer,Vassbakk Ajer,24,1998-04-17,Rælingen,Norway,Norway,198 cm,92 kg,False,https://media.api-sports.io/football/players/1119.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,152,,Defender,6.700000,False,0,1,0,,,0,0,,,45,1,39,2,1,1,4,4,1,1,,,,0,0,0,,,0,0,
3,1119,K. Ajer,Kristoffer,Vassbakk Ajer,24,1998-04-17,Rælingen,Norway,Norway,198 cm,92 kg,False,https://media.api-sports.io/football/players/1119.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,2727,J. Lössl,Jonas,Bybjerg Lössl,33,1989-02-01,Kolding,Denmark,Denmark,195 cm,89 kg,False,https://media.api-sports.io/football/players/2727.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Goalkeeper,6.000000,False,0,0,7,,,0,5,,2,55,,18,,,,,,,,,,,0,0,0,,,0,0,0
5,2727,J. Lössl,Jonas,Bybjerg Lössl,33,1989-02-01,Kolding,Denmark,Denmark,195 cm,89 kg,False,https://media.api-sports.io/football/players/2727.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,90,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,2731,M. Jørgensen,Mathias,Jattah-Njie Jørgensen,32,1990-04-23,København,Denmark,Denmark,191 cm,79 kg,False,https://media.api-sports.io/football/players/2731.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,8,6,517,,Defender,6.687500,False,2,1,8,1,1,1,0,,,269,3,27,10,1,10,47,21,1,,,1,10,2,0,0,,,0,0,
7,2731,M. Jørgensen,Mathias,Jattah-Njie Jørgensen,32,1990-04-23,København,Denmark,Denmark,191 cm,79 kg,False,https://media.api-sports.io/football/players/2731.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2731,M. Jørgensen,Mathias,Jattah-Njie Jørgensen,32,1990-04-23,København,Denmark,Denmark,191 cm,79 kg,False,https://media.api-sports.io/football/players/2731.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Defender,6.800000,False,0,0,0,,,0,0,,,159,,71,1,,2,19,8,2,2,,2,2,0,0,0,,,0,0,
9,2731,M. Jørgensen,Mathias,Jattah-Njie Jørgensen,32,1990-04-23,København,Denmark,Denmark,191 cm,79 kg,False,https://media.api-sports.io/football/players/2731.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,15745,M. Rasmussen,Mads,Roerslev Rasmussen,23,1999-06-24,København,Denmark,Denmark,184 cm,,False,https://media.api-sports.io/football/players/15745.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,18,10,1038,,Defender,6.522222,False,8,2,21,4,2,1,0,1,,238,4,9,22,5,14,110,43,13,3,,8,15,1,0,0,,,0,0,
11,15745,M. Rasmussen,Mads,Roerslev Rasmussen,23,1999-06-24,København,Denmark,Denmark,184 cm,,False,https://media.api-sports.io/football/players/15745.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,3,3,207,,Defender,6.700000,False,0,2,0,,,0,0,1,,84,3,21,5,,3,21,10,2,,,2,1,0,0,0,,,0,0,
12,15745,M. Rasmussen,Mads,Roerslev Rasmussen,23,1999-06-24,København,Denmark,Denmark,184 cm,,False,https://media.api-sports.io/football/players/15745.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,1,100,,Defender,6.300000,False,1,1,1,,,0,0,,,21,,13,,,,2,,,,,,1,1,0,0,,,0,0,
13,15745,M. Rasmussen,Mads,Roerslev Rasmussen,23,1999-06-24,København,Denmark,Denmark,184 cm,,False,https://media.api-sports.io/football/players/15745.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,,Club Friendlies,,,,2021,1,1,76,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
