,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,14444,Mamadou Mbaye,Mamadou,Mbaye,24,1998-06-28,Dakar,Senegal,Senegal,192 cm,,False,https://media.api-sports.io/football/players/14444.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,46758,Saturday Keigo Erimuya,Saturday Keigo,Erimuya,24,1998-01-10,Benin City,Nigeria,Nigeria,190 cm,74 kg,False,https://media.api-sports.io/football/players/46758.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,46760,Sergio González,Sergio,González Martínez,25,1997-05-14,Cartagena,Spain,Spain,184 cm,,False,https://media.api-sports.io/football/players/46760.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,46762,M. López,Marcos Mauro,López Gutiérrez,31,1991-01-09,Avellaneda,Argentina,Argentina,190 cm,84 kg,False,https://media.api-sports.io/football/players/46762.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,3,1,134,,Defender,6.250000,False,2,0,15,,,0,0,,,25,,6,1,1,1,10,6,,,,1,1,1,0,0,,,0,0,
4,46762,M. López,Marcos Mauro,López Gutiérrez,31,1991-01-09,Avellaneda,Argentina,Argentina,190 cm,84 kg,False,https://media.api-sports.io/football/players/46762.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,1,108,,Defender,,False,1,0,1,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,46762,M. López,Marcos Mauro,López Gutiérrez,31,1991-01-09,Avellaneda,Argentina,Argentina,190 cm,84 kg,False,https://media.api-sports.io/football/players/46762.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,46763,José Matos,José Joaquín,Matos García,27,1995-05-06,Sevilla,Spain,Spain,168 cm,64 kg,False,https://media.api-sports.io/football/players/46763.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,46771,Jairo Izquierdo,Jairo,Izquierdo González,29,1993-10-22,Santa Cruz de Tenerife,Spain,Spain,165 cm,64 kg,False,https://media.api-sports.io/football/players/46771.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,46773,Javier Navarro Rodríguez,Javier,Navarro Rodríguez,25,1997-01-01,Barcelona,Spain,Spain,184 cm,,False,https://media.api-sports.io/football/players/46773.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,47061,Jorge Pombo,Jorge Marcos,Pombo Escobar,28,1994-02-22,Zaragoza,Spain,Spain,177 cm,76 kg,False,https://media.api-sports.io/football/players/47061.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,47061,Jorge Pombo,Jorge Marcos,Pombo Escobar,28,1994-02-22,Zaragoza,Spain,Spain,177 cm,76 kg,False,https://media.api-sports.io/football/players/47061.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,47084,F. Malbašić,Filip,Malbašić,30,1992-11-18,Beograd,Serbia,Serbia,182 cm,79 kg,False,https://media.api-sports.io/football/players/47084.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,47084,F. Malbašić,Filip,Malbašić,30,1992-11-18,Beograd,Serbia,Serbia,182 cm,79 kg,False,https://media.api-sports.io/football/players/47084.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,Club Friendlies,,,,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
