,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,75,Brandon Baiye,Brandon,Baiye,22,2000-12-27,Liège,Belgium,Belgium,177 cm,75 kg,False,https://media.api-sports.io/football/players/75.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,2955,S. Khaoui,Saîf-Eddine,Khaoui,27,1995-04-27,Paris,France,Tunisia,180 cm,68 kg,False,https://media.api-sports.io/football/players/2955.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,16,4,518,,Midfielder,6.518750,False,12,4,15,7,3,1,0,,,206,3,10,9,,6,53,28,11,9,,9,7,1,0,0,,,0,0,
2,2955,S. Khaoui,Saîf-Eddine,Khaoui,27,1995-04-27,Paris,France,Tunisia,180 cm,68 kg,False,https://media.api-sports.io/football/players/2955.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,1,1,65,,Midfielder,,False,0,1,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3379,C. Hountondji,Cédric,Hountondji,28,1994-01-19,Toulouse,France,Benin,195 cm,81 kg,False,https://media.api-sports.io/football/players/3379.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,23,23,2035,,Defender,6.759090,False,0,1,0,8,3,1,0,,,926,2,35,33,12,34,126,86,,,,7,12,2,0,0,,,0,0,
4,3379,C. Hountondji,Cédric,Hountondji,28,1994-01-19,Toulouse,France,Benin,195 cm,81 kg,False,https://media.api-sports.io/football/players/3379.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,3384,J. Dossou,Jodel Harold Oluwafemi,Dossou,30,1992-03-17,Dassa-Zoumè,Benin,Benin,180 cm,68 kg,False,https://media.api-sports.io/football/players/3384.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,28,18,1605,,Midfielder,6.585714,False,10,17,12,33,16,2,0,1,,395,18,11,31,,4,215,103,63,35,,31,22,3,0,0,,,0,0,
6,3384,J. Dossou,Jodel Harold Oluwafemi,Dossou,30,1992-03-17,Dassa-Zoumè,Benin,Benin,180 cm,68 kg,False,https://media.api-sports.io/football/players/3384.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,2,1,115,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,20647,P. Hamel,Pierre-Yves,Hamel,28,1994-02-03,Brest,France,France,189 cm,76 kg,False,https://media.api-sports.io/football/players/20647.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,15,6,497,,Attacker,6.478571,False,9,4,13,10,4,0,0,,,93,3,6,10,1,,96,42,2,1,,9,13,2,0,0,,,0,0,
8,20647,P. Hamel,Pierre-Yves,Hamel,28,1994-02-03,Brest,France,France,189 cm,76 kg,False,https://media.api-sports.io/football/players/20647.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,1,1,90,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
9,20677,G. Kyei,Grejohn,Kyei,27,1995-08-12,Gonesse,France,France,187 cm,84 kg,False,https://media.api-sports.io/football/players/20677.png,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,8,2,240,,Attacker,6.550000,False,6,2,7,5,1,0,0,,,51,7,4,1,,,43,21,4,2,,6,7,1,0,0,,,0,0,
