,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media.api-sports.io/football/players/1560.png,797,Elche,https://media.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,14,11,902,,Defender,6.707692,False,3,7,17,1,,0,0,,,380,2,24,19,1,16,58,37,,,,13,16,5,0,0,,,0,0,
1,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media.api-sports.io/football/players/1560.png,797,Elche,https://media.api-sports.io/football/teams/797.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,3,247,,Defender,6.950000,False,0,1,0,,,0,0,,,67,,29,7,2,4,23,13,1,,,2,2,2,0,0,,,0,0,
2,1983,E. Roco,Enzo Pablo,Roco Roco,30,1992-08-16,Ovalle,Chile,Chile,192 cm,79 kg,False,https://media.api-sports.io/football/players/1983.png,797,Elche,https://media.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,24,23,2036,,Defender,6.756521,False,1,3,5,7,3,1,0,,,862,2,31,25,24,22,138,76,5,2,,4,30,9,0,0,,,0,0,
3,1983,E. Roco,Enzo Pablo,Roco Roco,30,1992-08-16,Ovalle,Chile,Chile,192 cm,79 kg,False,https://media.api-sports.io/football/players/1983.png,797,Elche,https://media.api-sports.io/football/teams/797.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,136,,Defender,7.100000,False,0,1,0,,,0,0,,,89,1,36,1,2,1,9,7,,,,,1,0,0,0,,,0,0,
4,2486,H. Palacios,Helibelton,Palacios Zapata,29,1993-06-11,Santander de Quilichao,Colombia,Colombia,177 cm,75 kg,False,https://media.api-sports.io/football/players/2486.png,797,Elche,https://media.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,23,19,1706,,Defender,6.847619,False,4,4,6,,,0,0,,,593,3,22,57,7,15,188,119,28,21,,20,24,5,0,0,,,0,0,
5,2486,H. Palacios,Helibelton,Palacios Zapata,29,1993-06-11,Santander de Quilichao,Colombia,Colombia,177 cm,75 kg,False,https://media.api-sports.io/football/players/2486.png,797,Elche,https://media.api-sports.io/football/teams/797.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,1,169,,Defender,6.200000,False,2,0,3,,,0,0,,,33,,14,4,,1,12,4,,,,,6,1,0,0,,,0,0,
6,19112,Kiko Casilla,Francisco,Casilla Cortés,36,1986-10-02,Alcover,Spain,Spain,190 cm,86 kg,False,https://media.api-sports.io/football/players/19112.png,797,Elche,https://media.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,12,12,1080,,Goalkeeper,6.941666,False,0,0,15,,,0,15,,39,345,1,17,,,1,6,5,,,,1,,3,0,0,,,0,0,1
7,19112,Kiko Casilla,Francisco,Casilla Cortés,36,1986-10-02,Alcover,Spain,Spain,190 cm,86 kg,False,https://media.api-sports.io/football/players/19112.png,797,Elche,https://media.api-sports.io/football/teams/797.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,180,,Goalkeeper,8.200000,False,0,0,0,,,0,0,,5,32,,26,,,,,,,,,,,0,0,0,,,0,0,0
8,46817,Diego González,Diego,González Polanco,27,1995-01-28,Chiclana de la Frontera,Spain,Spain,185 cm,83 kg,False,https://media.api-sports.io/football/players/46817.png,797,Elche,https://media.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,24,17,1534,,Defender,6.676190,False,7,2,12,2,1,0,0,,,604,2,23,19,11,18,89,44,1,1,,2,16,3,0,1,,,0,0,
9,46817,Diego González,Diego,González Polanco,27,1995-01-28,Chiclana de la Frontera,Spain,Spain,185 cm,83 kg,False,https://media.api-sports.io/football/players/46817.png,797,Elche,https://media.api-sports.io/football/teams/797.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,3,274,,Defender,7.050000,False,0,1,1,,,0,0,,,117,,53,7,,4,18,10,,,,1,5,1,0,0,,,0,0,
