,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,319,S. Luperto,Sebastiano,Luperto,26,1996-09-06,Lecce,Italy,Italy,191 cm,75 kg,False,https://media.api-sports.io/football/players/319.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,18,16,1417,,Defender,6.977777,False,2,1,10,7,4,0,0,2,,717,6,34,22,18,35,120,57,1,,,5,24,7,1,0,,,0,0,
1,319,S. Luperto,Sebastiano,Luperto,26,1996-09-06,Lecce,Italy,Italy,191 cm,75 kg,False,https://media.api-sports.io/football/players/319.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,0,44,,Defender,,False,1,0,2,,,0,0,,,,,,,,,,,,,,,,1,0,0,,,0,0,
2,319,S. Luperto,Sebastiano,Luperto,26,1996-09-06,Lecce,Italy,Italy,191 cm,75 kg,False,https://media.api-sports.io/football/players/319.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,349,A. Terzić,Aleksa,Terzić,23,1999-08-17,Belgrade,Serbia,Serbia,184 cm,79 kg,False,https://media.api-sports.io/football/players/349.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,1315,P. Stojanović,Petar,Stojanović,27,1995-10-07,Ljubljana,Slovenia,Slovenia,178 cm,72 kg,False,https://media.api-sports.io/football/players/1315.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,28,27,2315,,Defender,6.775000,False,1,7,2,6,4,1,0,1,,1173,28,32,86,10,23,332,164,87,48,,19,35,6,0,0,,,0,0,
5,1315,P. Stojanović,Petar,Stojanović,27,1995-10-07,Ljubljana,Slovenia,Slovenia,178 cm,72 kg,False,https://media.api-sports.io/football/players/1315.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,1,139,,Defender,6.200000,False,1,0,2,,,0,0,,,33,,27,,,1,3,2,1,1,,1,,0,0,0,,,0,0,
6,1315,P. Stojanović,Petar,Stojanović,27,1995-10-07,Ljubljana,Slovenia,Slovenia,178 cm,72 kg,False,https://media.api-sports.io/football/players/1315.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,6931,Liberato Gianpaolo Cacace,Liberato Gianpaolo,Cacace,22,2000-09-27,Wellington,New Zealand,New Zealand,170 cm,,False,https://media.api-sports.io/football/players/6931.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,6,3,259,,Defender,6.550000,False,3,2,6,1,,0,0,,,115,,16,8,1,4,38,17,12,5,,3,8,1,0,0,,,0,0,
8,14329,Ardian Ismajli,Ardian,Ismajli,26,1996-09-30,Majac,Kosovo,Albania,185 cm,76 kg,False,https://media.api-sports.io/football/players/14329.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,18,12,1153,,Defender,6.700000,False,6,1,15,4,1,0,0,,,621,2,29,11,10,24,106,60,2,,,13,16,6,0,0,,,0,0,
9,14329,Ardian Ismajli,Ardian,Ismajli,26,1996-09-30,Majac,Kosovo,Albania,185 cm,76 kg,False,https://media.api-sports.io/football/players/14329.png,511,Empoli,https://media.api-sports.io/football/teams/511.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,1,125,,Defender,6.700000,False,1,0,2,,,0,0,,,22,,13,2,,,9,6,1,1,,,,0,0,0,,,0,0,
