,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,849,M. Perin,Mattia,Perin,30,1992-11-10,Latina,Italy,Italy,188 cm,85 kg,False,https://media.api-sports.io/football/players/849.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,,Club Friendlies,,,,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1861,F. Caicedo,Felipe Salvador,Caicedo Corozo,34,1988-09-05,Guayaquil,Ecuador,Ecuador,183 cm,84 kg,False,https://media.api-sports.io/football/players/1861.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,9,1,277,,Attacker,6.911111,False,8,0,8,11,3,1,0,2,,75,6,5,3,,,49,21,5,1,,2,6,1,0,0,,,0,0,
2,1861,F. Caicedo,Felipe Salvador,Caicedo Corozo,34,1988-09-05,Guayaquil,Ecuador,Ecuador,183 cm,84 kg,False,https://media.api-sports.io/football/players/1861.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,63,,Attacker,6.700000,False,0,1,0,,,0,0,,,29,,21,,,,11,5,,,,2,3,0,0,0,,,0,0,
3,1916,K. Strootman,Kevin,Strootman,32,1990-02-13,Ridderkerk,Netherlands,Netherlands,186 cm,78 kg,False,https://media.api-sports.io/football/players/1916.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,2107,Z. Vanheusden,Zinho,Vanheusden,23,1999-07-29,Hasselt,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/2107.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,14,11,989,,Defender,6.607142,False,3,3,7,5,2,0,0,,,412,1,25,18,14,23,88,52,4,1,,10,10,3,0,0,,,0,0,
5,2107,Z. Vanheusden,Zinho,Vanheusden,23,1999-07-29,Hasselt,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/2107.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,210,,Defender,6.800000,False,0,1,1,2,1,0,0,,,97,,42,3,2,2,16,11,2,1,,4,1,0,0,0,,,0,0,
6,2107,Z. Vanheusden,Zinho,Vanheusden,23,1999-07-29,Hasselt,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/2107.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,2286,D. Zappacosta,Davide,Zappacosta,30,1992-06-11,Sora,Italy,Italy,185 cm,70 kg,False,https://media.api-sports.io/football/players/2286.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,13246,Kevin Andrés Agudelo Ardila,Kevin Andrés,Agudelo Ardila,24,1998-11-14,Puerto Caicedo,Colombia,Colombia,178 cm,,False,https://media.api-sports.io/football/players/13246.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Midfielder,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
9,13246,Kevin Andrés Agudelo Ardila,Kevin Andrés,Agudelo Ardila,24,1998-11-14,Puerto Caicedo,Colombia,Colombia,178 cm,,False,https://media.api-sports.io/football/players/13246.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Midfielder,7.900000,False,0,0,0,3,2,0,0,,,27,1,18,10,,1,18,14,,,,3,2,0,0,0,,,0,0,
