,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,30,S. Arias,Santiago,Arias Naranjo,30,1992-01-13,Medellín,Colombia,Colombia,178 cm,72 kg,False,https://media.api-sports.io/football/players/30.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,8,3,323,,Defender,6.612500,False,5,1,12,2,1,1,0,,,122,2,14,9,2,5,47,22,6,2,,3,5,1,0,0,,,0,0,
1,30,S. Arias,Santiago,Arias Naranjo,30,1992-01-13,Medellín,Colombia,Colombia,178 cm,72 kg,False,https://media.api-sports.io/football/players/30.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,180,,Defender,7.700000,False,0,0,0,3,1,0,0,,,58,2,51,1,,2,13,8,5,1,,3,1,0,0,0,,,0,0,
2,1470,Luís Maximiano,Luís Manuel,Arantes Maximiano,23,1999-01-05,Braga,Portugal,Portugal,190 cm,82 kg,False,https://media.api-sports.io/football/players/1470.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,28,28,2507,,Goalkeeper,6.800000,False,0,1,2,,,0,45,,91,731,,14,3,,,14,9,1,1,,2,,2,0,0,,,0,0,0
3,1470,Luís Maximiano,Luís Manuel,Arantes Maximiano,23,1999-01-05,Braga,Portugal,Portugal,190 cm,82 kg,False,https://media.api-sports.io/football/players/1470.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,1
4,2040,Escudero,Sergio,Escudero Palomo,33,1989-09-02,Valladolid,Spain,Spain,176 cm,65 kg,False,https://media.api-sports.io/football/players/2040.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,21,9,902,,Defender,6.573684,False,12,5,15,6,1,1,0,,,349,10,13,28,1,10,136,67,6,1,,13,10,3,0,0,,,0,0,
5,2040,Escudero,Sergio,Escudero Palomo,33,1989-09-02,Valladolid,Spain,Spain,176 cm,65 kg,False,https://media.api-sports.io/football/players/2040.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,1,118,,Defender,6.900000,False,1,0,1,,,0,0,,,18,1,15,,,,,,,,,,,0,0,0,,,0,0,
6,2418,L. Abram,Luis Alfonso,Abram Ugarelli,26,1996-02-27,Lima,Peru,Peru,181 cm,76 kg,False,https://media.api-sports.io/football/players/2418.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,8,6,560,,Defender,6.900000,False,2,2,14,2,1,0,0,,,218,,26,6,5,5,36,17,,,,4,5,2,0,0,,,0,0,
7,2418,L. Abram,Luis Alfonso,Abram Ugarelli,26,1996-02-27,Lima,Peru,Peru,181 cm,76 kg,False,https://media.api-sports.io/football/players/2418.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,1,90,,Defender,6.700000,False,1,1,1,,,0,0,,,25,,23,,,,2,1,,,,,,0,0,0,,,0,0,
8,46673,Aarón Escandell,Aarón,Escandell Banacloche,27,1995-09-27,Carcaixent,Spain,Spain,185 cm,71 kg,False,https://media.api-sports.io/football/players/46673.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,4,3,283,,Goalkeeper,6.766666,False,1,0,26,,,0,5,,10,111,,18,,,,2,1,,,,1,,1,0,1,,,0,0,0
9,46673,Aarón Escandell,Aarón,Escandell Banacloche,27,1995-09-27,Carcaixent,Spain,Spain,185 cm,71 kg,False,https://media.api-sports.io/football/players/46673.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,2,2,180,,Goalkeeper,7.300000,False,0,0,0,,,0,0,,1,23,,23,,,,,,,,,,,0,0,0,,,0,0,1
10,46677,Víctor Díaz,Víctor David,Díaz Miguel,34,1988-06-12,Sevilla,Spain,Spain,184 cm,71 kg,False,https://media.api-sports.io/football/players/46677.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,16,12,1039,,Defender,6.585714,False,4,6,16,6,1,1,0,,,461,2,25,16,8,11,74,38,7,4,,3,6,3,0,0,,,0,0,
11,46677,Víctor Díaz,Víctor David,Díaz Miguel,34,1988-06-12,Sevilla,Spain,Spain,184 cm,71 kg,False,https://media.api-sports.io/football/players/46677.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,46679,Quini,Joaquín José,Marín Ruiz,33,1989-09-24,Córdoba,Spain,Spain,178 cm,74 kg,False,https://media.api-sports.io/football/players/46679.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,26,21,1765,,Defender,6.482608,False,5,8,9,12,1,0,0,,,482,14,14,45,6,21,176,86,24,14,,8,25,9,0,0,,,0,0,
13,46679,Quini,Joaquín José,Marín Ruiz,33,1989-09-24,Córdoba,Spain,Spain,178 cm,74 kg,False,https://media.api-sports.io/football/players/46679.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
14,46682,Carlos Neva Tey,Carlos,Neva Tey,26,1996-06-12,Puerto de Santa María,Spain,Spain,174 cm,64 kg,False,https://media.api-sports.io/football/players/46682.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,26,24,2114,,Defender,6.713043,False,2,9,4,5,1,0,0,,,581,9,18,30,8,27,127,74,13,7,,21,8,1,0,0,,,0,0,
15,46682,Carlos Neva Tey,Carlos,Neva Tey,26,1996-06-12,Puerto de Santa María,Spain,Spain,174 cm,64 kg,False,https://media.api-sports.io/football/players/46682.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,64,,Defender,7.900000,False,0,1,1,2,1,0,0,1,,48,3,43,,,1,4,3,1,1,,1,,0,0,0,,,0,0,
16,46683,Germán Sánchez,Germán,Sánchez Barahona,36,1986-12-12,San Fernando,Spain,Spain,187 cm,82 kg,False,https://media.api-sports.io/football/players/46683.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,26,23,2090,,Defender,6.682608,False,3,3,5,8,4,2,0,1,,879,4,28,23,14,24,144,88,1,,,20,16,9,0,0,,,0,0,
17,46683,Germán Sánchez,Germán,Sánchez Barahona,36,1986-12-12,San Fernando,Spain,Spain,187 cm,82 kg,False,https://media.api-sports.io/football/players/46683.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,46685,R. Azeez,Ramon Olamilekan,Azeez,29,1992-12-12,Abuja,Nigeria,Nigeria,169 cm,67 kg,False,https://media.api-sports.io/football/players/46685.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,46795,Domingos Duarte,Domingos,Sousa Coutinho Meneses Duarte,27,1995-03-10,Cascais,Portugal,Portugal,192 cm,80 kg,False,https://media.api-sports.io/football/players/46795.png,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,15,13,1148,,Defender,6.546153,False,2,2,6,1,,1,0,,,505,,29,11,9,14,77,44,3,2,,11,14,4,0,1,,,0,0,
