,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,188,S. Handanovič,Samir,Handanovič,38,1984-07-14,Ljubljana,Slovenia,Slovenia,193 cm,92 kg,False,https://media.api-sports.io/football/players/188.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,31,31,2790,,Goalkeeper,7.070967,False,0,0,0,,,0,24,,87,913,,24,,,,7,6,,,,2,,1,0,0,,,0,0,1
1,188,S. Handanovič,Samir,Handanovič,38,1984-07-14,Ljubljana,Slovenia,Slovenia,193 cm,92 kg,False,https://media.api-sports.io/football/players/188.png,505,Inter,https://media.api-sports.io/football/teams/505.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,180,,Goalkeeper,7.450000,False,0,0,1,,,0,0,,5,72,,31,,,,,,,,,,,0,0,0,,,0,0,0
2,188,S. Handanovič,Samir,Handanovič,38,1984-07-14,Ljubljana,Slovenia,Slovenia,193 cm,92 kg,False,https://media.api-sports.io/football/players/188.png,505,Inter,https://media.api-sports.io/football/teams/505.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,8,8,720,,Goalkeeper,6.837500,False,0,0,0,,,0,7,,12,217,,23,1,,,1,1,,,,,,0,0,0,,,0,0,0
3,188,S. Handanovič,Samir,Handanovič,38,1984-07-14,Ljubljana,Slovenia,Slovenia,193 cm,92 kg,False,https://media.api-sports.io/football/players/188.png,505,Inter,https://media.api-sports.io/football/teams/505.png,,Club Friendlies,,,,2021,4,4,296,,Goalkeeper,,False,0,3,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,193,D. D&apos;Ambrosio,Danilo,D'Ambrosio,34,1988-09-09,Napoli,Italy,Italy,180 cm,75 kg,False,https://media.api-sports.io/football/players/193.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,15,8,825,,Defender,7.076923,False,7,1,23,8,3,1,0,,,591,1,37,26,9,7,88,48,6,4,,4,10,2,0,0,,,0,0,
5,193,D. D&apos;Ambrosio,Danilo,D'Ambrosio,34,1988-09-09,Napoli,Italy,Italy,180 cm,75 kg,False,https://media.api-sports.io/football/players/193.png,505,Inter,https://media.api-sports.io/football/teams/505.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,210,,Defender,7.250000,False,0,0,1,3,1,0,0,,,144,1,63,6,1,3,18,14,1,1,,4,1,0,0,0,,,0,0,
6,193,D. D&apos;Ambrosio,Danilo,D'Ambrosio,34,1988-09-09,Napoli,Italy,Italy,180 cm,75 kg,False,https://media.api-sports.io/football/players/193.png,505,Inter,https://media.api-sports.io/football/teams/505.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,3,1,145,,Defender,6.466666,False,2,0,7,1,,0,0,,,63,1,18,2,1,1,10,4,,,,1,4,1,0,0,,,0,0,
7,193,D. D&apos;Ambrosio,Danilo,D'Ambrosio,34,1988-09-09,Napoli,Italy,Italy,180 cm,75 kg,False,https://media.api-sports.io/football/players/193.png,505,Inter,https://media.api-sports.io/football/teams/505.png,,Club Friendlies,,,,2021,2,1,95,,Defender,,False,1,1,1,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,194,S. de Vrij,Stefan,de Vrij,30,1992-02-05,Ouderkerk aan den IJssel,Netherlands,Netherlands,189 cm,78 kg,False,https://media.api-sports.io/football/players/194.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,23,22,1882,,Defender,6.956521,False,1,4,3,11,3,0,0,,,1225,,49,31,6,23,156,96,4,4,,6,17,3,0,0,,,0,0,
9,194,S. de Vrij,Stefan,de Vrij,30,1992-02-05,Ouderkerk aan den IJssel,Netherlands,Netherlands,189 cm,78 kg,False,https://media.api-sports.io/football/players/194.png,505,Inter,https://media.api-sports.io/football/teams/505.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,1,135,,Defender,6.800000,False,1,0,2,,,0,0,,,58,,28,,1,2,10,3,,,,2,1,0,0,0,,,0,0,
