,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1564,Junior Firpo,Héctor Junior,Firpo Adames,26,1996-08-22,Santo Domingo,Dominican Republic,Spain,184 cm,78 kg,False,https://media.api-sports.io/football/players/1564.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,19,15,1336,,Defender,6.594736,False,4,6,4,6,1,0,0,1,,639,17,27,48,4,17,171,93,21,13,,11,31,9,0,0,,,0,0,
1,1564,Junior Firpo,Héctor Junior,Firpo Adames,26,1996-08-22,Santo Domingo,Dominican Republic,Spain,184 cm,78 kg,False,https://media.api-sports.io/football/players/1564.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Defender,7.100000,False,0,0,0,1,,0,0,,,119,2,52,2,1,1,15,4,3,2,,,4,0,0,0,,,0,0,
2,1564,Junior Firpo,Héctor Junior,Firpo Adames,26,1996-08-22,Santo Domingo,Dominican Republic,Spain,184 cm,78 kg,False,https://media.api-sports.io/football/players/1564.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,69,,Defender,7.000000,False,0,1,0,,,0,0,,,25,1,17,2,1,,7,4,,,,,2,0,0,0,,,0,0,
3,3008,M. Klich,Mateusz Andrzej,Klich,32,1990-06-13,Tarnów,Poland,Poland,183 cm,84 kg,False,https://media.api-sports.io/football/players/3008.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,27,22,1784,,Midfielder,6.677777,False,5,16,9,23,15,1,0,2,,825,28,24,40,3,10,183,75,32,17,,12,34,4,0,0,,,0,0,
4,3008,M. Klich,Mateusz Andrzej,Klich,32,1990-06-13,Tarnów,Poland,Poland,183 cm,84 kg,False,https://media.api-sports.io/football/players/3008.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,3,1,141,,Midfielder,6.666666,False,2,1,2,,,0,0,,,71,2,20,1,,2,18,6,3,3,,2,2,0,0,0,,,0,0,
5,3008,M. Klich,Mateusz Andrzej,Klich,32,1990-06-13,Tarnów,Poland,Poland,183 cm,84 kg,False,https://media.api-sports.io/football/players/3008.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,90,,Midfielder,6.700000,False,0,0,0,1,,0,0,,,36,2,29,,,,9,4,1,1,,2,1,0,0,0,,,0,0,
6,3008,M. Klich,Mateusz Andrzej,Klich,32,1990-06-13,Tarnów,Poland,Poland,183 cm,84 kg,False,https://media.api-sports.io/football/players/3008.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,,Club Friendlies,,,,2021,1,1,68,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,17676,L. McCarron,Liam,McCarron,21,2001-03-07,Preston,England,England,176 cm,61 kg,False,https://media.api-sports.io/football/players/17676.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,1,0,9,,Midfielder,6.300000,False,1,0,11,,,0,0,,,2,,2,,,,,,,,,,,0,0,0,,,0,0,
8,17676,L. McCarron,Liam,McCarron,21,2001-03-07,Preston,England,England,176 cm,61 kg,False,https://media.api-sports.io/football/players/17676.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,17676,L. McCarron,Liam,McCarron,21,2001-03-07,Preston,England,England,176 cm,61 kg,False,https://media.api-sports.io/football/players/17676.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
10,17676,L. McCarron,Liam,McCarron,21,2001-03-07,Preston,England,England,176 cm,61 kg,False,https://media.api-sports.io/football/players/17676.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,,Club Friendlies,,,,2021,1,0,22,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,18752,Hélder Costa,Hélder Wander,Sousa Azevedo Costa,28,1994-01-12,Luanda,Angola,Angola,178 cm,69 kg,False,https://media.api-sports.io/football/players/18752.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,1,0,20,,Attacker,6.700000,False,1,0,3,1,,0,0,,,5,,5,,,,4,2,,,,2,1,0,0,0,,,0,0,
12,18752,Hélder Costa,Hélder Wander,Sousa Azevedo Costa,28,1994-01-12,Luanda,Angola,Angola,178 cm,69 kg,False,https://media.api-sports.io/football/players/18752.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,90,,Attacker,6.700000,False,0,0,0,2,,0,0,,,23,,19,1,,,12,5,1,,,3,,0,0,0,,,0,0,
13,18752,Hélder Costa,Hélder Wander,Sousa Azevedo Costa,28,1994-01-12,Luanda,Angola,Angola,178 cm,69 kg,False,https://media.api-sports.io/football/players/18752.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,18752,Hélder Costa,Hélder Wander,Sousa Azevedo Costa,28,1994-01-12,Luanda,Angola,Angola,178 cm,69 kg,False,https://media.api-sports.io/football/players/18752.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,,Club Friendlies,,,,2021,1,0,44,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,19116,L. Ayling,Luke,Ayling,31,1991-08-25,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/19116.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,23,23,2068,,Defender,6.756521,False,0,2,0,16,4,2,0,2,,1306,11,44,65,23,26,256,136,34,22,,17,18,4,0,0,,,0,0,
16,19116,L. Ayling,Luke,Ayling,31,1991-08-25,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/19116.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,1,0,44,,Defender,6.900000,False,1,0,1,,,0,0,,,48,1,41,,,,3,1,,,,,,0,0,0,,,0,0,
17,19116,L. Ayling,Luke,Ayling,31,1991-08-25,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/19116.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,60,,Defender,7.300000,False,0,1,0,,,0,0,,,33,,27,1,1,1,3,1,,,,,,0,0,0,,,0,0,
18,19116,L. Ayling,Luke,Ayling,31,1991-08-25,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/19116.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,,Club Friendlies,,,,2021,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,19118,L. Cooper,Liam,Cooper,31,1991-08-30,Kingston upon Hull,England,Scotland,180 cm,73 kg,False,https://media.api-sports.io/football/players/19118.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,17,17,1455,,Defender,7.082352,False,0,1,1,3,,0,0,1,,990,3,49,35,16,37,176,116,4,3,,7,15,4,0,0,,,0,0,
20,19118,L. Cooper,Liam,Cooper,31,1991-08-30,Kingston upon Hull,England,Scotland,180 cm,73 kg,False,https://media.api-sports.io/football/players/19118.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,1,0,31,,Defender,6.300000,False,1,0,1,,,0,0,,,33,,27,,,1,1,1,,,,,,0,0,0,,,0,0,
21,19118,L. Cooper,Liam,Cooper,31,1991-08-30,Kingston upon Hull,England,Scotland,180 cm,73 kg,False,https://media.api-sports.io/football/players/19118.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22,19126,S. Dallas,Stuart,Dallas,31,1991-04-19,Cookstown,Northern Ireland,Northern Ireland,183 cm,81 kg,False,https://media.api-sports.io/football/players/19126.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,32,32,2787,,Defender,6.871875,False,0,2,0,17,9,1,0,1,,1294,30,32,88,14,56,315,172,43,29,,27,27,5,0,0,,,0,0,
23,19126,S. Dallas,Stuart,Dallas,31,1991-04-19,Cookstown,Northern Ireland,Northern Ireland,183 cm,81 kg,False,https://media.api-sports.io/football/players/19126.png,63,Leeds,https://media.api-sports.io/football/teams/63.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Defender,6.650000,False,0,0,1,,,0,0,,,101,3,40,4,1,1,17,7,2,,,3,3,0,0,0,,,0,0,
