,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1107,F. Benković,Filip,Benković,25,1997-07-13,Zagreb,Croatia,Croatia,194 cm,80 kg,False,https://media.api-sports.io/football/players/1107.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1107,F. Benković,Filip,Benković,25,1997-07-13,Zagreb,Croatia,Croatia,194 cm,80 kg,False,https://media.api-sports.io/football/players/1107.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1107,F. Benković,Filip,Benković,25,1997-07-13,Zagreb,Croatia,Croatia,194 cm,80 kg,False,https://media.api-sports.io/football/players/1107.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,1107,F. Benković,Filip,Benković,25,1997-07-13,Zagreb,Croatia,Croatia,194 cm,80 kg,False,https://media.api-sports.io/football/players/1107.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,1107,F. Benković,Filip,Benković,25,1997-07-13,Zagreb,Croatia,Croatia,194 cm,80 kg,False,https://media.api-sports.io/football/players/1107.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,0,0,0,,Defender,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
5,2728,K. Schmeichel,Kasper Peter,Schmeichel,36,1986-11-05,København,Denmark,Denmark,189 cm,89 kg,False,https://media.api-sports.io/football/players/2728.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,30,30,2700,,Goalkeeper,6.886666,False,0,0,0,,,0,50,,108,951,1,21,,,1,16,11,,,,2,,1,0,0,,,0,0,2
6,2728,K. Schmeichel,Kasper Peter,Schmeichel,36,1986-11-05,København,Denmark,Denmark,189 cm,89 kg,False,https://media.api-sports.io/football/players/2728.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
7,2728,K. Schmeichel,Kasper Peter,Schmeichel,36,1986-11-05,København,Denmark,Denmark,189 cm,89 kg,False,https://media.api-sports.io/football/players/2728.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,90,,Goalkeeper,6.300000,False,0,0,0,,,0,3,,3,31,,10,,,,,,,,,,,0,0,0,,,0,0,0
8,2728,K. Schmeichel,Kasper Peter,Schmeichel,36,1986-11-05,København,Denmark,Denmark,189 cm,89 kg,False,https://media.api-sports.io/football/players/2728.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,6,6,540,,Goalkeeper,6.800000,False,0,0,0,,,0,4,,12,164,,18,,,,1,1,,,,1,,0,0,0,,,0,0,0
9,2728,K. Schmeichel,Kasper Peter,Schmeichel,36,1986-11-05,København,Denmark,Denmark,189 cm,89 kg,False,https://media.api-sports.io/football/players/2728.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,6,6,540,,Goalkeeper,6.533333,False,0,0,0,,,0,11,,14,146,,19,,,,,,,,,,,0,0,0,,,0,0,1
10,2920,T. Castagne,Timothy,Castagne,27,1995-12-05,Arlon,Belgium,Belgium,185 cm,80 kg,False,https://media.api-sports.io/football/players/2920.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,19,14,1424,,Defender,6.727777,False,5,1,7,1,1,1,0,,,677,7,29,42,6,21,138,83,12,5,,6,9,1,0,0,,,0,0,
11,2920,T. Castagne,Timothy,Castagne,27,1995-12-05,Arlon,Belgium,Belgium,185 cm,80 kg,False,https://media.api-sports.io/football/players/2920.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,2920,T. Castagne,Timothy,Castagne,27,1995-12-05,Arlon,Belgium,Belgium,185 cm,80 kg,False,https://media.api-sports.io/football/players/2920.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
13,2920,T. Castagne,Timothy,Castagne,27,1995-12-05,Arlon,Belgium,Belgium,185 cm,80 kg,False,https://media.api-sports.io/football/players/2920.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,2,2,180,,Defender,6.700000,False,0,0,0,2,1,0,0,,,107,1,45,1,1,4,12,4,,,,,2,1,0,0,,,0,0,
14,2920,T. Castagne,Timothy,Castagne,27,1995-12-05,Arlon,Belgium,Belgium,185 cm,80 kg,False,https://media.api-sports.io/football/players/2920.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,5,5,450,,Defender,6.660000,False,0,0,1,1,1,0,0,,,285,5,50,9,,3,33,20,5,2,,5,2,0,0,0,,,0,0,
15,2925,D. Praet,Dennis,Praet,28,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,False,https://media.api-sports.io/football/players/2925.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Midfielder,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
16,2925,D. Praet,Dennis,Praet,28,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,False,https://media.api-sports.io/football/players/2925.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
17,2925,D. Praet,Dennis,Praet,28,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,False,https://media.api-sports.io/football/players/2925.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,2925,D. Praet,Dennis,Praet,28,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,False,https://media.api-sports.io/football/players/2925.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,2925,D. Praet,Dennis,Praet,28,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,False,https://media.api-sports.io/football/players/2925.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,2926,Y. Tielemans,Youri,Tielemans,25,1997-05-07,Ukkel,Belgium,Belgium,176 cm,72 kg,False,https://media.api-sports.io/football/players/2926.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,25,23,2083,,Midfielder,7.136000,False,2,4,3,36,16,6,0,2,,1303,32,43,58,12,20,244,125,34,23,,31,24,2,0,0,,,2,0,
21,2926,Y. Tielemans,Youri,Tielemans,25,1997-05-07,Ukkel,Belgium,Belgium,176 cm,72 kg,False,https://media.api-sports.io/football/players/2926.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Midfielder,6.500000,False,0,0,0,1,,0,0,,,84,2,33,1,,2,21,8,1,,,4,2,0,0,0,,,0,0,
22,2926,Y. Tielemans,Youri,Tielemans,25,1997-05-07,Ukkel,Belgium,Belgium,176 cm,72 kg,False,https://media.api-sports.io/football/players/2926.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,155,,Midfielder,6.800000,False,0,1,0,2,2,1,0,,,77,1,30,5,,,18,10,,,,3,3,0,0,0,,,1,0,
23,2926,Y. Tielemans,Youri,Tielemans,25,1997-05-07,Ukkel,Belgium,Belgium,176 cm,72 kg,False,https://media.api-sports.io/football/players/2926.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,6,6,510,,Midfielder,6.700000,False,0,1,0,6,2,0,0,,,296,6,40,6,1,5,46,22,8,6,,5,4,0,0,0,,,0,0,
24,2926,Y. Tielemans,Youri,Tielemans,25,1997-05-07,Ukkel,Belgium,Belgium,176 cm,72 kg,False,https://media.api-sports.io/football/players/2926.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2021,5,4,366,,Midfielder,6.860000,False,1,2,1,4,2,0,0,1,,299,4,50,2,1,1,32,17,6,5,,9,6,1,0,0,,,0,0,
25,3421,D. Amartey,Daniel,Amartey,28,1994-12-21,Accra,Ghana,Ghana,186 cm,79 kg,False,https://media.api-sports.io/football/players/3421.png,46,Leicester,https://media.api-sports.io/football/teams/46.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,21,19,1712,,Defender,6.780952,False,2,1,7,1,1,0,0,,,1156,4,49,20,18,19,109,55,4,3,,8,11,2,0,0,,,0,0,
