,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,58,Víctor Mollejo,Víctor,Mollejo Carpintero,21,2001-01-21,Alcázar de San Juan,Spain,Spain,176 cm,63 kg,False,https://media.api-sports.io/football/players/58.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Attacker,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
1,1687,Jaume Costa,Jaume Vicent,Costa Jordá,34,1988-03-18,Valencia,Spain,Spain,171 cm,62 kg,False,https://media.api-sports.io/football/players/1687.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,20,16,1476,,Defender,6.842105,False,4,2,10,4,1,0,0,3,,600,17,23,26,4,17,118,73,12,8,,21,14,5,0,1,,,0,0,
2,1687,Jaume Costa,Jaume Vicent,Costa Jordá,34,1988-03-18,Valencia,Spain,Spain,171 cm,62 kg,False,https://media.api-sports.io/football/players/1687.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,2,224,,Defender,7.100000,False,1,0,3,1,,0,0,,,50,5,16,3,,2,18,12,,,,3,1,1,0,0,,,0,0,
3,2610,G. González,Giovanni Alessandro,González Apud,28,1994-09-20,Montevideo,Uruguay,Uruguay,173 cm,73 kg,False,https://media.api-sports.io/football/players/2610.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,6,3,286,,Defender,6.650000,False,3,2,7,3,1,1,0,,,110,4,16,7,1,2,32,14,2,1,,1,3,1,0,0,,,0,0,
4,2610,G. González,Giovanni Alessandro,González Apud,28,1994-09-20,Montevideo,Uruguay,Uruguay,173 cm,73 kg,False,https://media.api-sports.io/football/players/2610.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,57,,Defender,6.700000,False,0,1,0,,,0,0,,,16,,11,2,,,6,4,,,,,,0,0,0,,,0,0,
5,19014,Sergio Rico,Sergio,Rico González,29,1993-09-01,Sevilla,Spain,Spain,194 cm,90 kg,False,https://media.api-sports.io/football/players/19014.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,10,10,900,,Goalkeeper,6.500000,False,0,0,1,,,0,17,,22,224,1,14,,,,2,2,,,,,,0,0,0,,,0,0,0
6,19014,Sergio Rico,Sergio,Rico González,29,1993-09-01,Sevilla,Spain,Spain,194 cm,90 kg,False,https://media.api-sports.io/football/players/19014.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,90,,Goalkeeper,6.200000,False,0,0,0,,,0,1,,2,28,,19,,,,1,,,,,,,0,0,0,,,0,0,0
7,26302,Pablo Maffeo,Pablo Carmine,Maffeo Becerra,25,1997-07-12,Sant Joan Despí,Spain,Spain,172 cm,70 kg,False,https://media.api-sports.io/football/players/26302.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,28,28,2366,,Defender,6.922222,False,0,7,0,19,5,1,0,,,742,24,19,71,10,38,364,207,67,44,,46,24,6,0,0,,,0,0,
8,26302,Pablo Maffeo,Pablo Carmine,Maffeo Becerra,25,1997-07-12,Sant Joan Despí,Spain,Spain,172 cm,70 kg,False,https://media.api-sports.io/football/players/26302.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,1,1,90,,Defender,6.900000,False,0,0,3,2,,0,0,,,28,,13,2,1,,15,11,1,1,,5,2,1,0,0,,,0,0,
9,31563,Aleksandar Trajkovski,Aleksandar,Trajkovski,30,1992-09-05,Skopje,North Macedonia,North Macedonia,179 cm,72 kg,False,https://media.api-sports.io/football/players/31563.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,40419,A. Sedlar,Aleksandar,Sedlar,31,1991-12-13,Novi Sad,Serbia,Serbia,178 cm,79 kg,False,https://media.api-sports.io/football/players/40419.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,10,3,398,,Defender,6.450000,False,7,0,19,,,0,0,,,176,2,17,5,4,5,35,19,,,,6,9,4,1,0,,,0,0,
11,40419,A. Sedlar,Aleksandar,Sedlar,31,1991-12-13,Novi Sad,Serbia,Serbia,178 cm,79 kg,False,https://media.api-sports.io/football/players/40419.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,4,3,300,,Defender,7.000000,False,1,0,2,,,2,0,,,139,,54,5,2,8,26,11,2,1,,1,2,0,0,0,,,0,0,
12,46729,Manolo Reina,Manuel,Reina Rodríguez,37,1985-04-01,Villanueva del Trabuco,Spain,Spain,186 cm,81 kg,False,https://media.api-sports.io/football/players/46729.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,18,18,1620,,Goalkeeper,6.764705,False,0,0,11,,,0,24,,43,450,,16,,,,9,9,,,,5,,4,0,1,,,0,0,2
13,46729,Manolo Reina,Manuel,Reina Rodríguez,37,1985-04-01,Villanueva del Trabuco,Spain,Spain,186 cm,81 kg,False,https://media.api-sports.io/football/players/46729.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Goalkeeper,,False,0,0,4,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
14,46733,Raíllo,Antonio José,Raíllo Arenas,31,1991-10-08,Córdoba,Spain,Spain,187 cm,80 kg,False,https://media.api-sports.io/football/players/46733.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,10,10,900,,Defender,6.840000,False,0,0,0,4,2,0,0,,,395,,35,8,7,12,58,33,,,,10,12,5,0,0,,,0,0,
15,46733,Raíllo,Antonio José,Raíllo Arenas,31,1991-10-08,Córdoba,Spain,Spain,187 cm,80 kg,False,https://media.api-sports.io/football/players/46733.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
16,46736,F. Russo,Franco Matías,Russo Panos,28,1994-10-25,Salta,Argentina,Argentina,185 cm,78 kg,False,https://media.api-sports.io/football/players/46736.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,16,16,1365,,Defender,6.673333,False,0,1,9,5,2,1,0,,,568,1,29,19,9,21,124,58,6,5,,10,21,5,2,0,,,0,0,
17,46736,F. Russo,Franco Matías,Russo Panos,28,1994-10-25,Salta,Argentina,Argentina,185 cm,78 kg,False,https://media.api-sports.io/football/players/46736.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,3,226,,Defender,6.700000,False,0,1,2,,,0,0,,,109,,28,4,2,5,18,10,1,1,,1,2,1,0,0,,,0,0,
18,46738,M. Valjent,Martin,Valjent,27,1995-12-11,Dubnica nad Vahom,Slovakia,Slovakia,187 cm,70 kg,False,https://media.api-sports.io/football/players/46738.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,29,29,2553,,Defender,6.753571,False,0,2,1,3,1,0,0,,,1096,6,31,21,24,21,135,78,5,3,,7,19,3,0,0,,,0,0,
19,46738,M. Valjent,Martin,Valjent,27,1995-12-11,Dubnica nad Vahom,Slovakia,Slovakia,187 cm,70 kg,False,https://media.api-sports.io/football/players/46738.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,2,207,,Defender,6.666666,False,1,1,2,1,,0,0,,,92,,23,4,1,,21,12,,,,1,3,1,0,0,,,0,0,
20,46749,L. Junior,Junior Wakalible,Lago,32,1990-12-31,Yamoussoukro,Côte d'Ivoire,Côte d'Ivoire,180 cm,79 kg,False,https://media.api-sports.io/football/players/46749.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,6,1,173,,Attacker,6.350000,False,5,1,12,5,1,0,0,,,40,,4,3,,2,45,17,8,3,,7,5,0,0,0,,,0,0,
21,46749,L. Junior,Junior Wakalible,Lago,32,1990-12-31,Yamoussoukro,Côte d'Ivoire,Côte d'Ivoire,180 cm,79 kg,False,https://media.api-sports.io/football/players/46749.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
