,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,732,L. Zidane,Luca Zinedine,Zidane,24,1998-05-13,Marseille,France,France,183 cm,78 kg,False,https://media.api-sports.io/football/players/732.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,7,7,556,,Goalkeeper,6.100000,False,0,0,22,,,0,7,,19,134,,15,,,,6,4,2,2,,1,1,0,0,1,,,0,0,2
1,732,L. Zidane,Luca Zinedine,Zidane,24,1998-05-13,Marseille,France,France,183 cm,78 kg,False,https://media.api-sports.io/football/players/732.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,5,5,480,,Goalkeeper,7.233333,False,0,0,2,,,0,2,,9,87,,20,1,,,3,3,1,1,,,,0,0,0,,,0,0,0
2,736,Francisco José García Torres,Francisco José,García Torres,23,1999-08-14,Bolaños de Calatrava,Spain,Spain,167 cm,69 kg,False,https://media.api-sports.io/football/players/736.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,27,27,2413,,Defender,6.796153,False,0,1,1,11,6,1,0,,,903,25,27,49,5,38,209,100,36,17,,14,22,3,0,0,,,0,0,
3,736,Francisco José García Torres,Francisco José,García Torres,23,1999-08-14,Bolaños de Calatrava,Spain,Spain,167 cm,69 kg,False,https://media.api-sports.io/football/players/736.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,5,4,392,,Defender,6.975000,False,1,0,1,3,,0,0,1,,137,5,27,5,2,5,24,13,5,3,,3,,0,0,0,,,0,0,
4,20520,I. Balliu,Iván,Balliu Campeny,30,1992-01-01,Caldas de Malavella,Spain,Albania,172 cm,63 kg,False,https://media.api-sports.io/football/players/20520.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,29,29,2610,,Defender,6.810714,False,0,0,0,6,2,1,0,2,,987,36,26,37,4,30,226,120,40,14,,49,35,9,0,0,,,0,0,
5,20520,I. Balliu,Iván,Balliu Campeny,30,1992-01-01,Caldas de Malavella,Spain,Albania,172 cm,63 kg,False,https://media.api-sports.io/football/players/20520.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,5,4,385,,Defender,6.750000,False,1,0,2,,,0,0,1,,129,3,25,3,,3,28,15,7,4,,5,4,2,0,0,,,0,0,
6,35672,L. Ulloa,José Leonardo,Ulloa,35,1986-07-26,General Roca,Argentina,Argentina,188 cm,89 kg,False,https://media.api-sports.io/football/players/35672.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,41412,N. Maraš,Nikola,Maraš,27,1995-12-19,Beograd,Serbia,Serbia,189 cm,79 kg,False,https://media.api-sports.io/football/players/41412.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,9,5,530,,Defender,6.625000,False,4,1,20,,,0,0,,,184,2,19,5,6,7,44,21,,,,3,5,2,0,0,,,0,0,
8,41412,N. Maraš,Nikola,Maraš,27,1995-12-19,Beograd,Serbia,Serbia,189 cm,79 kg,False,https://media.api-sports.io/football/players/41412.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2021,3,3,285,,Defender,7.000000,False,0,1,4,,,0,0,,,91,,40,4,2,,16,9,1,,,2,4,1,0,0,,,0,0,
9,46914,E. Saveljich,Esteban Ariel,Saveljich,31,1991-05-20,Tandil,Argentina,Montenegro,187 cm,80 kg,False,https://media.api-sports.io/football/players/46914.png,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2021,21,21,1708,,Defender,6.655000,False,0,9,4,8,3,0,0,,,552,1,22,15,11,13,136,71,1,,,2,22,4,0,0,,,0,0,
