,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2704,Y. Abdelhamid,Yunis,Abdelhamid,35,1987-09-28,Montpellier,France,Morocco,190 cm,83 kg,False,https://media.api-sports.io/football/players/2704.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,28,28,2444,,Defender,6.753571,False,0,0,0,16,5,1,0,,,1292,7,37,32,19,53,210,119,15,12,,23,32,5,0,1,,,0,0,
1,2704,Y. Abdelhamid,Yunis,Abdelhamid,35,1987-09-28,Montpellier,France,Morocco,190 cm,83 kg,False,https://media.api-sports.io/football/players/2704.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,3,3,270,,Defender,6.900000,False,0,0,0,1,,0,0,,,40,1,34,1,,1,6,4,,,,,1,1,0,0,,,0,0,
2,2814,P. Rajković,Predrag,Rajković,27,1995-10-31,Negotin,Serbia,Serbia,191 cm,85 kg,False,https://media.api-sports.io/football/players/2814.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,31,31,2790,,Goalkeeper,7.013333,False,0,0,0,,,0,34,,86,810,1,17,,,,11,9,,,,3,,2,0,0,,,0,0,1
3,2814,P. Rajković,Predrag,Rajković,27,1995-10-31,Negotin,Serbia,Serbia,191 cm,85 kg,False,https://media.api-sports.io/football/players/2814.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,8550,N. Penneteau,Nicolas,Penneteau,41,1981-02-28,Marseille,France,France,185 cm,78 kg,False,https://media.api-sports.io/football/players/8550.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Goalkeeper,,False,0,0,8,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,1
5,8550,N. Penneteau,Nicolas,Penneteau,41,1981-02-28,Marseille,France,France,185 cm,78 kg,False,https://media.api-sports.io/football/players/8550.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
6,8553,Maxime Busi,Maxime,Busi,23,1999-10-14,Liège,Belgium,Belgium,182 cm,75 kg,False,https://media.api-sports.io/football/players/8553.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,11,10,929,,Defender,6.790000,False,1,1,2,4,1,1,0,,,377,8,30,17,3,13,80,37,15,10,,5,15,3,0,0,,,0,0,
7,8553,Maxime Busi,Maxime,Busi,23,1999-10-14,Liège,Belgium,Belgium,182 cm,75 kg,False,https://media.api-sports.io/football/players/8553.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,1,1,90,,Defender,7.300000,False,0,0,0,,,0,0,,,48,2,33,7,,,16,10,2,1,,,,0,0,0,,,0,0,
8,8694,W. Faes,Wout Felix Lina,Faes,24,1998-04-03,,Belgium,Belgium,187 cm,84 kg,False,https://media.api-sports.io/football/players/8694.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,30,30,2700,,Defender,7.034482,False,0,0,0,13,7,4,0,,,1185,3,34,32,25,41,141,86,6,5,,18,17,2,0,0,,,0,0,
9,8694,W. Faes,Wout Felix Lina,Faes,24,1998-04-03,,Belgium,Belgium,187 cm,84 kg,False,https://media.api-sports.io/football/players/8694.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,2,2,180,,Defender,6.900000,False,0,0,1,1,,0,0,,,62,,52,,2,1,8,5,,,,,,0,0,0,,,0,0,
10,15797,Jens-Lys Michel Cajuste,Jens-Lys Michel,Cajuste,23,1999-08-10,Gothenburg,Sweden,Sweden,188 cm,77 kg,False,https://media.api-sports.io/football/players/15797.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,5,2,201,,Midfielder,6.720000,False,3,2,3,4,4,2,0,,,67,2,9,5,,1,39,19,11,7,,4,2,0,0,0,,,1,0,
11,15797,Jens-Lys Michel Cajuste,Jens-Lys Michel,Cajuste,23,1999-08-10,Gothenburg,Sweden,Sweden,188 cm,77 kg,False,https://media.api-sports.io/football/players/15797.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,1,1,83,,Midfielder,6.300000,False,0,1,0,1,1,0,0,,,25,,19,,1,,10,3,2,1,,1,3,0,0,0,,,0,0,
12,19250,B. Brahimi,Billal,Brahimi,22,2000-03-14,Paris,France,France,183 cm,,False,https://media.api-sports.io/football/players/19250.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Attacker,6.655555,False,0,0,2,4,2,0,0,1,,72,7,6,1,,1,54,23,20,11,,9,2,0,0,0,,,0,0,
13,20566,Y. Diouf,Yehvann,Diouf,23,1999-11-16,Montreuil-sous-Bois,France,France,184 cm,74 kg,False,https://media.api-sports.io/football/players/20566.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Goalkeeper,,False,0,0,25,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,1
14,20566,Y. Diouf,Yehvann,Diouf,23,1999-11-16,Montreuil-sous-Bois,France,France,184 cm,74 kg,False,https://media.api-sports.io/football/players/20566.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,3,3,270,,Goalkeeper,7.300000,False,0,0,0,,,0,1,,3,34,,28,,,,2,2,,,,,,0,0,0,,,0,0,0
15,22000,T. Foket,Thomas,Foket,28,1994-09-25,Brussel,Belgium,Belgium,177 cm,67 kg,False,https://media.api-sports.io/football/players/22000.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,22,20,1706,,Defender,6.768181,False,2,8,2,6,3,1,0,,,616,16,22,23,1,27,140,70,17,9,,25,20,4,0,0,,,0,0,
16,22000,T. Foket,Thomas,Foket,28,1994-09-25,Brussel,Belgium,Belgium,177 cm,67 kg,False,https://media.api-sports.io/football/players/22000.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
17,22002,G. Konan,Ghislain N'Clomande,Konan,27,1995-12-27,,Côte d'Ivoire,Côte d'Ivoire,176 cm,71 kg,False,https://media.api-sports.io/football/players/22002.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,25,25,2152,,Defender,6.925000,False,0,4,1,14,5,1,0,3,,829,26,27,33,7,23,202,113,72,38,,29,16,1,0,0,,,0,0,
18,22002,G. Konan,Ghislain N'Clomande,Konan,27,1995-12-27,,Côte d'Ivoire,Côte d'Ivoire,176 cm,71 kg,False,https://media.api-sports.io/football/players/22002.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,22019,A. Zeneli,Arbër,Zeneli,27,1995-02-25,Säter,Sweden,Kosovo,176 cm,72 kg,False,https://media.api-sports.io/football/players/22019.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,3,1,103,,Midfielder,7.300000,False,2,1,2,1,,0,0,2,,22,5,9,,,,16,6,5,3,,3,,0,0,0,,,0,0,
20,22019,A. Zeneli,Arbër,Zeneli,27,1995-02-25,Säter,Sweden,Kosovo,176 cm,72 kg,False,https://media.api-sports.io/football/players/22019.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,31483,A. Gravillon,Andreaw,Gravillon,24,1998-02-08,Pointe-à-Pitre,Guadeloupe,Guadeloupe,188 cm,75 kg,False,https://media.api-sports.io/football/players/31483.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,20,20,1764,,Defender,6.770000,False,0,3,0,7,2,0,0,,,689,8,26,27,14,24,147,76,10,5,,17,25,7,2,0,,,0,0,
22,31483,A. Gravillon,Andreaw,Gravillon,24,1998-02-08,Pointe-à-Pitre,Guadeloupe,Guadeloupe,188 cm,75 kg,False,https://media.api-sports.io/football/players/31483.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,1,1,90,,Defender,6.700000,False,0,0,0,,,0,0,,,50,,42,,1,4,9,5,2,1,,3,1,0,0,0,,,0,0,
23,87324,Alexis Laurent Patrice Roge Flips,Alexis Laurent Patrice,Roge Flips,22,2000-01-18,Villeneuve-d'Ascq,France,France,173 cm,,False,https://media.api-sports.io/football/players/87324.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,23,13,1034,,Midfielder,7.055000,False,10,12,17,15,10,2,0,4,,358,28,11,29,,21,133,55,24,11,,9,16,2,0,0,,,1,0,
24,87324,Alexis Laurent Patrice Roge Flips,Alexis Laurent Patrice,Roge Flips,22,2000-01-18,Villeneuve-d'Ascq,France,France,173 cm,,False,https://media.api-sports.io/football/players/87324.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,3,3,249,,Midfielder,6.200000,False,0,2,0,,,0,0,,,28,2,22,1,,,6,1,,,,,1,0,0,0,,,0,0,
25,90614,Enzo Valentim,Enzo,Valentim,22,2000-09-11,,France,France,,,False,https://media.api-sports.io/football/players/90614.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
26,174564,P. Koffi,N'Dri Philippe,Koffi,20,2002-03-09,,France,France,,,False,https://media.api-sports.io/football/players/174564.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,10,3,372,,Attacker,6.590000,False,7,3,12,5,2,1,0,,,71,4,5,4,1,3,59,28,7,5,,13,8,1,0,0,,,0,0,
27,174564,P. Koffi,N'Dri Philippe,Koffi,20,2002-03-09,,France,France,,,False,https://media.api-sports.io/football/players/174564.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,2,1,97,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
28,174625,Fodé Doucouré,Fodé,Doucouré,21,2001-02-03,Bamako,Mali,Mali,,,False,https://media.api-sports.io/football/players/174625.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,3,1,152,,Defender,6.900000,False,2,0,8,,,0,0,,,61,1,13,12,,4,24,16,2,2,,1,1,0,0,0,,,0,0,
29,174625,Fodé Doucouré,Fodé,Doucouré,21,2001-02-03,Bamako,Mali,Mali,,,False,https://media.api-sports.io/football/players/174625.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
30,274267,Bradley Locko,Bradley,Locko,20,2002-05-06,,France,France,,,False,https://media.api-sports.io/football/players/274267.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,18,7,763,,Defender,6.650000,False,11,4,23,5,2,1,0,,,258,4,11,20,4,7,84,44,13,10,,9,9,3,0,0,,,0,0,
31,274267,Bradley Locko,Bradley,Locko,20,2002-05-06,,France,France,,,False,https://media.api-sports.io/football/players/274267.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
32,276549,N. Cervantes,Noa,Cervantes,19,2003-04-16,,France,France,,,False,https://media.api-sports.io/football/players/276549.png,93,Reims,https://media.api-sports.io/football/teams/93.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Midfielder,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
33,276549,N. Cervantes,Noa,Cervantes,19,2003-04-16,,France,France,,,False,https://media.api-sports.io/football/players/276549.png,93,Reims,https://media.api-sports.io/football/teams/93.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2021,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
