,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,768,F. Fazio,Federico Julián,Fazio,35,1987-03-17,Ramos Mejía,Argentina,Argentina,195 cm,85 kg,False,https://media.api-sports.io/football/players/768.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,8,8,715,,Defender,6.800000,False,0,0,0,5,,0,0,,,331,3,34,7,13,9,57,33,1,,,7,8,2,1,0,,,0,0,
1,30442,V. Belec,Vid,Belec,32,1990-06-06,Maribor,Slovenia,Slovenia,192 cm,84 kg,False,https://media.api-sports.io/football/players/30442.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,20,20,1800,,Goalkeeper,6.730000,False,0,0,10,,,0,45,,82,465,,13,,,,2,2,,,,1,,0,0,0,,,0,0,0
2,30442,V. Belec,Vid,Belec,32,1990-06-06,Maribor,Slovenia,Slovenia,192 cm,84 kg,False,https://media.api-sports.io/football/players/30442.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,90,,Goalkeeper,8.300000,False,0,0,1,,,0,0,,6,18,,12,,,,,,,,,,,0,0,0,,,0,0,0
3,30740,P. Jaroszyński,Paweł Kamil,Jaroszyński,28,1994-10-02,Lublin,Poland,Poland,184 cm,78 kg,False,https://media.api-sports.io/football/players/30740.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,13,4,508,,Defender,6.566666,False,9,2,19,2,1,0,0,,,167,6,9,9,,10,44,22,4,1,,5,7,2,0,0,,,0,0,
4,30740,P. Jaroszyński,Paweł Kamil,Jaroszyński,28,1994-10-02,Lublin,Poland,Poland,184 cm,78 kg,False,https://media.api-sports.io/football/players/30740.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,90,,Defender,7.300000,False,0,0,1,,,0,0,,,25,2,16,3,,2,12,6,4,2,,,3,0,0,0,,,0,0,
5,31008,L. Sepe,Luigi,Sepe,31,1991-05-08,Torre del Greco,Italy,Italy,191 cm,90 kg,False,https://media.api-sports.io/football/players/31008.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,9,9,810,,Goalkeeper,6.922222,False,0,0,0,,,0,18,,35,302,,23,,,1,3,2,1,,,2,,1,0,0,,,0,0,0
6,31011,R. Gagliolo,Riccardo,Gagliolo,32,1990-04-28,Imperia,Italy,Sweden,180 cm,75 kg,False,https://media.api-sports.io/football/players/31011.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,15,12,1108,,Defender,6.693333,False,3,1,14,6,1,0,0,1,,460,2,24,20,8,29,83,49,5,3,,12,8,2,0,0,,,0,0,
7,31011,R. Gagliolo,Riccardo,Gagliolo,32,1990-04-28,Imperia,Italy,Sweden,180 cm,75 kg,False,https://media.api-sports.io/football/players/31011.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,90,,Defender,7.000000,False,0,0,0,1,1,0,0,,,65,,56,2,,3,8,5,,,,,2,0,0,0,,,0,0,
8,31050,F. Veseli,Frédéric,Veseli,30,1992-11-20,Renens,Switzerland,Albania,183 cm,80 kg,False,https://media.api-sports.io/football/players/31050.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,9,8,599,,Defender,6.344444,False,1,3,9,1,,0,0,,,183,,16,7,5,4,30,17,2,2,,1,7,2,1,0,,,0,0,
9,31050,F. Veseli,Frédéric,Veseli,30,1992-11-20,Renens,Switzerland,Albania,183 cm,80 kg,False,https://media.api-sports.io/football/players/31050.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,31053,L. Capezzi,Leonardo,Capezzi,27,1995-03-28,Sangiovanni,Italy,Italy,178 cm,72 kg,False,https://media.api-sports.io/football/players/31053.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,5,2,175,,Midfielder,6.340000,False,3,2,5,,,0,0,,,48,,7,3,4,,22,7,2,2,,1,3,0,0,0,,,0,0,
11,31053,L. Capezzi,Leonardo,Capezzi,27,1995-03-28,Sangiovanni,Italy,Italy,178 cm,72 kg,False,https://media.api-sports.io/football/players/31053.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,0,33,,Midfielder,6.900000,False,1,0,1,1,1,0,0,,,20,1,18,,,1,5,2,1,1,,1,2,1,0,0,,,0,0,
12,31389,N. Gyömbér,Norbert,Gyömbér,30,1992-07-03,Revúca,Slovakia,Slovakia,189 cm,74 kg,False,https://media.api-sports.io/football/players/31389.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,23,22,1873,,Defender,6.695652,False,1,5,4,3,1,0,0,,,677,3,23,33,23,31,143,74,2,1,,11,37,7,0,0,,,0,0,
13,31389,N. Gyömbér,Norbert,Gyömbér,30,1992-07-03,Revúca,Slovakia,Slovakia,189 cm,74 kg,False,https://media.api-sports.io/football/players/31389.png,514,Salernitana,https://media.api-sports.io/football/teams/514.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,1,97,,Defender,6.750000,False,1,0,1,,,0,0,,,35,,12,,,2,5,3,,,,1,2,0,0,0,,,0,0,
