,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,171,K. Walker-Peters,Kyle,Walker-Peters,25,1997-04-13,London,England,England,173 cm,62 kg,False,https://media.api-sports.io/football/players/171.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,26,23,2099,,Defender,6.924000,False,3,1,8,12,7,1,0,2,,891,23,29,48,5,31,266,156,83,55,,34,24,5,0,0,,,0,0,
1,171,K. Walker-Peters,Kyle,Walker-Peters,25,1997-04-13,London,England,England,173 cm,62 kg,False,https://media.api-sports.io/football/players/171.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,3,2,222,,Defender,7.166666,False,1,1,1,2,1,1,0,1,,96,4,26,4,1,6,21,13,7,5,,2,1,1,0,0,,,0,0,
2,171,K. Walker-Peters,Kyle,Walker-Peters,25,1997-04-13,London,England,England,173 cm,62 kg,False,https://media.api-sports.io/football/players/171.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Defender,7.250000,False,0,0,1,4,2,1,0,1,,86,2,32,2,1,2,30,12,5,3,,5,4,0,0,0,,,0,0,
3,2114,M. Djenepo,Moussa,Djenepo,24,1998-06-15,Bamako,Mali,Mali,177 cm,65 kg,False,https://media.api-sports.io/football/players/2114.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,11,5,435,,Midfielder,6.455555,False,6,3,14,7,1,0,0,,,134,6,11,9,1,2,80,32,28,12,,10,9,3,0,0,,,0,0,
4,2114,M. Djenepo,Moussa,Djenepo,24,1998-06-15,Bamako,Mali,Mali,177 cm,65 kg,False,https://media.api-sports.io/football/players/2114.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,173,,Midfielder,6.600000,False,0,1,0,,,0,0,,,46,2,18,7,,,35,18,12,5,,3,1,1,0,0,,,0,0,
5,2114,M. Djenepo,Moussa,Djenepo,24,1998-06-15,Bamako,Mali,Mali,177 cm,65 kg,False,https://media.api-sports.io/football/players/2114.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,1,53,,Midfielder,6.850000,False,1,1,1,1,,0,0,,,34,1,13,5,,,8,6,1,1,,,1,0,0,0,,,0,0,
6,2275,W. Caballero,Wilfredo Daniel,Caballero,41,1981-09-28,Entre Ríos,Argentina,Argentina,186 cm,81 kg,False,https://media.api-sports.io/football/players/2275.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Goalkeeper,6.450000,False,0,0,14,,,0,5,,6,60,,18,,,,1,,,,,,,1,0,0,,,0,0,0
7,2275,W. Caballero,Wilfredo Daniel,Caballero,41,1981-09-28,Entre Ríos,Argentina,Argentina,186 cm,81 kg,False,https://media.api-sports.io/football/players/2275.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,210,,Goalkeeper,7.350000,False,0,0,2,,,0,2,,9,69,,25,,,,2,2,,,,,,0,0,0,,,0,0,0
8,2938,J. Ward-Prowse,James,Ward-Prowse,28,1994-11-01,Portsmouth,England,England,173 cm,66 kg,False,https://media.api-sports.io/football/players/2938.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,30,30,2677,,Midfielder,7.263333,False,0,1,0,30,19,7,0,4,,1517,61,43,37,12,34,202,85,19,11,,14,21,3,0,1,,,3,0,
9,2938,J. Ward-Prowse,James,Ward-Prowse,28,1994-11-01,Portsmouth,England,England,173 cm,66 kg,False,https://media.api-sports.io/football/players/2938.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,4,4,420,,Midfielder,7.266666,False,0,0,0,3,2,1,0,,,233,5,71,2,2,5,18,10,2,2,,2,,0,0,0,,,1,0,
10,2938,J. Ward-Prowse,James,Ward-Prowse,28,1994-11-01,Portsmouth,England,England,173 cm,66 kg,False,https://media.api-sports.io/football/players/2938.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,1,114,,Midfielder,7.600000,False,1,1,1,1,,0,0,2,,96,4,45,1,,3,2,2,1,1,,,,0,0,0,,,0,0,
11,2999,J. Bednarek,Jan Kacper,Bednarek,26,1996-04-12,Słupca,Poland,Poland,189 cm,77 kg,False,https://media.api-sports.io/football/players/2999.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,27,26,2272,,Defender,6.929629,False,1,4,5,15,7,4,0,,,1246,5,37,29,24,60,198,124,1,1,,14,24,8,0,0,,,0,0,
12,2999,J. Bednarek,Jan Kacper,Bednarek,26,1996-04-12,Słupca,Poland,Poland,189 cm,77 kg,False,https://media.api-sports.io/football/players/2999.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,1,106,,Defender,6.950000,False,1,0,2,,,0,0,,,97,,45,2,1,1,7,5,,,,,,0,0,0,,,0,0,
13,2999,J. Bednarek,Jan Kacper,Bednarek,26,1996-04-12,Słupca,Poland,Poland,189 cm,77 kg,False,https://media.api-sports.io/football/players/2999.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,1,1,120,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
14,18932,F. Forster,Fraser,Forster,34,1988-03-17,Hexham,England,England,201 cm,93 kg,False,https://media.api-sports.io/football/players/18932.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,15,15,1350,,Goalkeeper,6.960000,False,0,0,14,,,0,26,,55,434,,15,,,,7,6,,,,3,,1,0,0,,,0,0,0
15,18932,F. Forster,Fraser,Forster,34,1988-03-17,Hexham,England,England,201 cm,93 kg,False,https://media.api-sports.io/football/players/18932.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,3,3,270,,Goalkeeper,7.933333,False,0,0,0,,,0,3,,14,69,,13,,,,,,,,,,,1,0,0,,,0,0,0
16,18932,F. Forster,Fraser,Forster,34,1988-03-17,Hexham,England,England,201 cm,93 kg,False,https://media.api-sports.io/football/players/18932.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,210,,Goalkeeper,5.700000,False,0,0,0,,,0,4,,2,28,,16,,,,,,,,,,,0,0,0,,,0,0,0
17,18934,H. Lewis,Harry,Lewis,25,1997-12-20,Shrewsbury,England,England,191 cm,77 kg,False,https://media.api-sports.io/football/players/18934.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,4,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
18,18934,H. Lewis,Harry,Lewis,25,1997-12-20,Shrewsbury,England,England,191 cm,77 kg,False,https://media.api-sports.io/football/players/18934.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
19,18934,H. Lewis,Harry,Lewis,25,1997-12-20,Shrewsbury,England,England,191 cm,77 kg,False,https://media.api-sports.io/football/players/18934.png,41,Southampton,https://media.api-sports.io/football/teams/41.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
