,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,232,N. Viergever,Nick,Viergever,33,1989-08-03,Capelle aan den IJssel,Netherlands,Netherlands,183 cm,78 kg,False,https://media.api-sports.io/football/players/232.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,19,19,1684,,Defender,6.684210,False,0,1,0,1,,0,0,,,798,1,32,27,20,27,107,52,,,,6,12,2,0,0,,,0,0,
1,232,N. Viergever,Nick,Viergever,33,1989-08-03,Capelle aan den IJssel,Netherlands,Netherlands,183 cm,78 kg,False,https://media.api-sports.io/football/players/232.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1813,J. Willems,Jetro,Willems,28,1994-03-30,Rotterdam,Netherlands,Netherlands,169 cm,65 kg,False,https://media.api-sports.io/football/players/1813.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,20,17,1361,,Defender,6.595000,False,3,14,10,4,2,0,0,,,561,11,22,27,1,13,114,60,20,12,,8,12,4,0,0,,,0,0,
3,1813,J. Willems,Jetro,Willems,28,1994-03-30,Rotterdam,Netherlands,Netherlands,169 cm,65 kg,False,https://media.api-sports.io/football/players/1813.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,14307,Marijan Ćavar,Marijan,Ćavar,24,1998-02-02,Rama-Prozor,Bosnia and Herzegovina,Bosnia and Herzegovina,184 cm,,False,https://media.api-sports.io/football/players/14307.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,24987,Adrian Fein,Adrian,Fein,23,1999-03-18,München,Germany,Germany,186 cm,97 kg,False,https://media.api-sports.io/football/players/24987.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,3,0,29,,Midfielder,6.300000,False,3,0,8,,,0,0,,,8,1,1,,,2,3,,,,,,1,0,0,0,,,0,0,
6,24987,Adrian Fein,Adrian,Fein,23,1999-03-18,München,Germany,Germany,186 cm,97 kg,False,https://media.api-sports.io/football/players/24987.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,46,,Midfielder,7.000000,False,1,0,1,1,1,0,0,,,43,,33,1,,1,1,1,,,,,,0,0,0,,,0,0,
7,24987,Adrian Fein,Adrian,Fein,23,1999-03-18,München,Germany,Germany,186 cm,97 kg,False,https://media.api-sports.io/football/players/24987.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,,Club Friendlies,,,,2021,1,1,46,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,25013,M. Christiansen,Max,Christiansen,26,1996-09-25,Flensburg,Germany,Germany,185 cm,82 kg,False,https://media.api-sports.io/football/players/25013.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,25,20,1921,,Midfielder,6.824000,False,5,3,8,7,1,0,0,,,865,12,27,45,16,63,201,107,12,5,,16,16,4,0,0,,,0,0,
9,25013,M. Christiansen,Max,Christiansen,26,1996-09-25,Flensburg,Germany,Germany,185 cm,82 kg,False,https://media.api-sports.io/football/players/25013.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,25013,M. Christiansen,Max,Christiansen,26,1996-09-25,Flensburg,Germany,Germany,185 cm,82 kg,False,https://media.api-sports.io/football/players/25013.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,25018,N. Seufert,Nils,Seufert,25,1997-02-03,Mannheim,Germany,Germany,182 cm,73 kg,False,https://media.api-sports.io/football/players/25018.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,4,1,98,,Midfielder,6.375000,False,3,1,12,,,0,0,,,31,,5,3,,,5,4,,,,1,,0,0,0,,,0,0,
12,25018,N. Seufert,Nils,Seufert,25,1997-02-03,Mannheim,Germany,Germany,182 cm,73 kg,False,https://media.api-sports.io/football/players/25018.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,1,74,,Midfielder,6.200000,False,0,1,0,,,0,0,,,28,,21,1,,1,12,7,1,1,,2,1,1,0,0,,,0,0,
13,25018,N. Seufert,Nils,Seufert,25,1997-02-03,Mannheim,Germany,Germany,182 cm,73 kg,False,https://media.api-sports.io/football/players/25018.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,,Club Friendlies,,,,2021,1,0,44,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,25141,S. Burchert,Sascha,Burchert,33,1989-10-30,Berlin,Germany,Germany,187 cm,78 kg,False,https://media.api-sports.io/football/players/25141.png,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,13,13,1170,,Goalkeeper,6.769230,False,0,0,13,,,0,26,,45,460,1,20,1,,,7,6,,,,2,,0,0,0,,,0,0,0
