,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1631,R. Rodríguez,Ricardo Iván,Rodríguez Araya,30,1992-08-25,Zürich,Switzerland,Switzerland,181 cm,78 kg,False,https://media.api-sports.io/football/players/1631.png,503,Torino,https://media.api-sports.io/football/teams/503.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,27,21,1929,,Defender,6.895833,False,6,4,7,2,,0,0,,,978,16,33,24,6,26,122,68,3,3,,8,22,3,0,0,,,0,0,
1,1631,R. Rodríguez,Ricardo Iván,Rodríguez Araya,30,1992-08-25,Zürich,Switzerland,Switzerland,181 cm,78 kg,False,https://media.api-sports.io/football/players/1631.png,503,Torino,https://media.api-sports.io/football/teams/503.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,1,125,,Defender,6.950000,False,1,1,1,2,,0,0,,,100,1,46,2,,,7,4,,,,1,3,1,0,0,,,0,0,
2,1631,R. Rodríguez,Ricardo Iván,Rodríguez Araya,30,1992-08-25,Zürich,Switzerland,Switzerland,181 cm,78 kg,False,https://media.api-sports.io/football/players/1631.png,503,Torino,https://media.api-sports.io/football/teams/503.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2762,J. Brekalo,Josip,Brekalo,24,1998-06-23,Zagreb,Croatia,Croatia,175 cm,70 kg,False,https://media.api-sports.io/football/players/2762.png,503,Torino,https://media.api-sports.io/football/teams/503.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,25,21,1812,,Midfielder,7.108695,False,4,12,6,25,13,6,0,1,,725,47,24,4,1,4,159,61,51,30,,16,17,1,0,0,,,0,0,
4,2762,J. Brekalo,Josip,Brekalo,24,1998-06-23,Zagreb,Croatia,Croatia,175 cm,70 kg,False,https://media.api-sports.io/football/players/2762.png,503,Torino,https://media.api-sports.io/football/teams/503.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,70,,Midfielder,6.700000,False,0,1,0,1,,0,0,,,26,,21,2,,,5,3,,,,,,0,0,0,,,0,0,
5,2771,O. Aina,Temitayo Olufisayo Olaoluwa,Aina,26,1996-10-08,London,England,Nigeria,184 cm,82 kg,False,https://media.api-sports.io/football/players/2771.png,503,Torino,https://media.api-sports.io/football/teams/503.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,17,13,1098,,Defender,6.735294,False,4,9,13,6,3,0,0,,,427,13,17,16,3,24,139,64,36,14,,21,17,4,0,0,,,0,0,
6,2771,O. Aina,Temitayo Olufisayo Olaoluwa,Aina,26,1996-10-08,London,England,Nigeria,184 cm,82 kg,False,https://media.api-sports.io/football/players/2771.png,503,Torino,https://media.api-sports.io/football/teams/503.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,201,,Defender,7.000000,False,0,1,0,4,1,0,0,,,112,2,41,2,,1,28,13,11,5,,5,2,0,0,0,,,0,0,
7,2771,O. Aina,Temitayo Olufisayo Olaoluwa,Aina,26,1996-10-08,London,England,Nigeria,184 cm,82 kg,False,https://media.api-sports.io/football/players/2771.png,503,Torino,https://media.api-sports.io/football/teams/503.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2823,S. Lukić,Saša,Lukić,26,1996-08-13,Šabac,Serbia,Serbia,183 cm,77 kg,False,https://media.api-sports.io/football/players/2823.png,503,Torino,https://media.api-sports.io/football/teams/503.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,29,28,2467,,Midfielder,7.014814,False,1,4,1,11,5,1,0,4,,1303,25,42,37,5,20,262,134,31,23,,38,70,7,0,0,,,0,0,
9,2823,S. Lukić,Saša,Lukić,26,1996-08-13,Šabac,Serbia,Serbia,183 cm,77 kg,False,https://media.api-sports.io/football/players/2823.png,503,Torino,https://media.api-sports.io/football/teams/503.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,82,,Midfielder,7.300000,False,0,1,1,1,,0,0,,,33,1,27,3,,,11,6,,,,2,4,1,0,0,,,0,0,
