,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,159,H. Lloris,Hugo,Lloris,36,1986-12-26,Nice,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/159.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,32,32,2880,,Goalkeeper,6.990625,False,0,0,0,,,0,38,,88,672,2,16,1,,,18,15,,,,2,,1,0,0,,,0,0,0
1,159,H. Lloris,Hugo,Lloris,36,1986-12-26,Nice,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/159.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,210,,Goalkeeper,6.950000,False,0,0,1,,,0,2,,7,58,,20,1,,,2,2,,,,,,0,0,0,,,0,0,0
2,159,H. Lloris,Hugo,Lloris,36,1986-12-26,Nice,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/159.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,2,2,180,,Goalkeeper,7.100000,False,0,0,1,,,0,3,,9,42,,12,,,,1,1,,,,,,0,0,0,,,0,0,0
3,159,H. Lloris,Hugo,Lloris,36,1986-12-26,Nice,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/159.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,1,1,90,,Goalkeeper,7.000000,False,0,0,2,,,0,2,,4,25,,16,,,,,,,,,,,0,0,0,,,0,0,0
4,159,H. Lloris,Hugo,Lloris,36,1986-12-26,Nice,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/159.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,,Club Friendlies,,,,2021,1,1,68,,Goalkeeper,,False,0,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,161,A. Whiteman,Alfie,Malik Whiteman,24,1998-10-02,,England,England,189 cm,84 kg,False,https://media.api-sports.io/football/players/161.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,161,A. Whiteman,Alfie,Malik Whiteman,24,1998-10-02,,England,England,189 cm,84 kg,False,https://media.api-sports.io/football/players/161.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,161,A. Whiteman,Alfie,Malik Whiteman,24,1998-10-02,,England,England,189 cm,84 kg,False,https://media.api-sports.io/football/players/161.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,161,A. Whiteman,Alfie,Malik Whiteman,24,1998-10-02,,England,England,189 cm,84 kg,False,https://media.api-sports.io/football/players/161.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,161,A. Whiteman,Alfie,Malik Whiteman,24,1998-10-02,,England,England,189 cm,84 kg,False,https://media.api-sports.io/football/players/161.png,47,Tottenham,https://media.api-sports.io/football/teams/47.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
