,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,404,B. Oczipka,Bastian,Oczipka,33,1989-01-12,Bergisch Gladbach,Germany,Germany,185 cm,85 kg,False,https://media.api-sports.io/football/players/404.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,14,7,727,,Defender,7.081818,False,7,3,15,3,1,0,0,1,,333,16,20,20,2,10,70,49,19,11,,9,6,0,0,0,,,0,0,
1,404,B. Oczipka,Bastian,Oczipka,33,1989-01-12,Bergisch Gladbach,Germany,Germany,185 cm,85 kg,False,https://media.api-sports.io/football/players/404.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,2,2,180,,Defender,7.250000,False,0,1,1,,,0,0,1,,78,2,28,8,1,2,19,12,2,,,3,3,0,0,0,,,0,0,
2,404,B. Oczipka,Bastian,Oczipka,33,1989-01-12,Bergisch Gladbach,Germany,Germany,185 cm,85 kg,False,https://media.api-sports.io/football/players/404.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,425,C. Teuchert,Cedric,Teuchert,25,1997-01-14,Coburg,Germany,Germany,182 cm,80 kg,False,https://media.api-sports.io/football/players/425.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,6,0,99,,Attacker,6.516666,False,6,0,8,2,1,0,0,,,26,2,3,3,,,17,6,2,,,1,1,0,0,0,,,0,0,
4,425,C. Teuchert,Cedric,Teuchert,25,1997-01-14,Coburg,Germany,Germany,182 cm,80 kg,False,https://media.api-sports.io/football/players/425.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,48,,Attacker,6.900000,False,1,0,1,2,,0,0,,,8,,6,1,,,3,2,,,,1,,0,0,0,,,0,0,
5,425,C. Teuchert,Cedric,Teuchert,25,1997-01-14,Coburg,Germany,Germany,182 cm,80 kg,False,https://media.api-sports.io/football/players/425.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,4,1,111,,Attacker,5.700000,False,3,0,5,,,0,0,,,3,,2,,,,4,1,,,,1,1,0,0,1,,,0,0,
6,1798,F. Rønnow,Frederik,Riis Rønnow,30,1992-08-04,Horsens,Denmark,Denmark,190 cm,77 kg,False,https://media.api-sports.io/football/players/1798.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,4,4,360,,Goalkeeper,6.775000,False,0,0,25,,,0,3,,10,127,,18,,,,2,2,,,,,,0,0,0,,,0,0,0
7,1798,F. Rønnow,Frederik,Riis Rønnow,30,1992-08-04,Horsens,Denmark,Denmark,190 cm,77 kg,False,https://media.api-sports.io/football/players/1798.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,2,2,210,,Goalkeeper,6.500000,False,0,0,2,,,0,2,,3,65,,21,,,,,,,,,,,0,0,0,,,0,0,0
8,1798,F. Rønnow,Frederik,Riis Rønnow,30,1992-08-04,Horsens,Denmark,Denmark,190 cm,77 kg,False,https://media.api-sports.io/football/players/1798.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,3,3,270,,Goalkeeper,7.166666,False,0,0,5,,,0,1,,9,108,,24,,,,1,1,,,,1,,0,0,0,,,0,0,0
9,24836,J. Jensen,Jakob,Busk Jensen,29,1993-09-12,København,Denmark,Denmark,189 cm,88 kg,False,https://media.api-sports.io/football/players/24836.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
10,24836,J. Jensen,Jakob,Busk Jensen,29,1993-09-12,København,Denmark,Denmark,189 cm,88 kg,False,https://media.api-sports.io/football/players/24836.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,24836,J. Jensen,Jakob,Busk Jensen,29,1993-09-12,København,Denmark,Denmark,189 cm,88 kg,False,https://media.api-sports.io/football/players/24836.png,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,848,UEFA Europa Conference League,World,https://media.api-sports.io/football/leagues/848.png,,2021,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
