,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,299861,S. Carotenuto,Salvatore,Carotenuto,18,2003-01-01,,Italy,Italy,,,False,https://media.api-sports.io/football/players/299861.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,286339,L. Tonello,Leonardo,Tonello,18,2003-01-01,,Italy,Italy,,,False,https://media.api-sports.io/football/players/286339.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,278730,Afonso Peixoto,Afonso,Bento Martins Jesus Peixoto,18,2003-01-31,,Portugal,Portugal,,,False,https://media.api-sports.io/football/players/278730.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,296710,J. Poha,Jordan,Poha,18,2003-01-01,,France,France,,,False,https://media.api-sports.io/football/players/296710.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,127474,N. Simeoni,Nicolò,Simeoni,22,1999-05-30,,Italy,Italy,190 cm,,False,https://media.api-sports.io/football/players/127474.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,299862,S. Marchesan,Samuel,Marchesan,19,2002-11-07,Chioggia,Italy,Italy,,,False,https://media.api-sports.io/football/players/299862.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,137985,G. Sandberg,Gabriel,Ragnar Hilmer Sandberg,18,2003-03-10,,Sweden,Sweden,,,False,https://media.api-sports.io/football/players/137985.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19256,N. Mäenpää,Niki Emil Antonio,Mäenpää,37,1985-01-23,Espoo,Finland,Finland,191 cm,86 kg,False,https://media.api-sports.io/football/players/19256.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,10,9,854,,Goalkeeper,6.355555,False,1,0,14,,,0,13,,17,228,,17,,,,3,1,,,,,1,1,0,0,,,0,0,0
8,19256,N. Mäenpää,Niki Emil Antonio,Mäenpää,37,1985-01-23,Espoo,Finland,Finland,191 cm,86 kg,False,https://media.api-sports.io/football/players/19256.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
9,31352,L. Lezzerini,Luca,Lezzerini,27,1995-03-24,Roma,Italy,Italy,195 cm,86 kg,False,https://media.api-sports.io/football/players/31352.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,6,6,496,,Goalkeeper,7.133333,False,0,1,7,,,0,9,,30,160,,19,,,,,,,,,,,2,0,0,,,0,0,0
10,31352,L. Lezzerini,Luca,Lezzerini,27,1995-03-24,Roma,Italy,Italy,195 cm,86 kg,False,https://media.api-sports.io/football/players/31352.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,180,,Goalkeeper,7.150000,False,0,0,1,,,0,3,,9,70,,26,,,,,,,,,,,0,0,0,,,0,0,0
11,30947,F. Neri,Filippo,Neri,20,2002-12-04,,Italy,Italy,,,False,https://media.api-sports.io/football/players/30947.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Goalkeeper,,False,0,0,8,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
12,30947,F. Neri,Filippo,Neri,20,2002-12-04,,Italy,Italy,,,False,https://media.api-sports.io/football/players/30947.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,31353,Bruno,Bruno,Oliveira Bertinato,24,1998-05-31,Curitiba,Brazil,Brazil,194 cm,79 kg,False,https://media.api-sports.io/football/players/31353.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Goalkeeper,,False,0,0,7,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
14,31353,Bruno,Bruno,Oliveira Bertinato,24,1998-05-31,Curitiba,Brazil,Brazil,194 cm,79 kg,False,https://media.api-sports.io/football/players/31353.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,120,,Goalkeeper,8.300000,False,0,0,0,,,0,1,,6,42,,31,,,,,,,,,,,1,0,0,,,0,0,0
15,301890,R. Lazar,Roman,Lazar,18,2004-01-01,,Moldova,Moldova,,,False,https://media.api-sports.io/football/players/301890.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
16,884,S. Romero,Sergio Germán,Romero,35,1987-02-22,Bernardo de Irigoyen,Argentina,Argentina,192 cm,87 kg,False,https://media.api-sports.io/football/players/884.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,16,16,1440,,Goalkeeper,7.073333,False,0,0,1,,,0,30,,66,460,1,20,2,,1,10,8,,,,,1,2,0,0,,,0,0,0
17,31075,C. Molinaro,Cristian,Molinaro,39,1983-07-30,,Italy,Italy,182 cm,82 kg,False,https://media.api-sports.io/football/players/31075.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,8,6,548,,Defender,6.687500,False,2,2,18,,,0,0,1,,253,5,24,12,2,6,45,29,7,5,,8,7,0,0,0,,,0,0,
18,31075,C. Molinaro,Cristian,Molinaro,39,1983-07-30,,Italy,Italy,182 cm,82 kg,False,https://media.api-sports.io/football/players/31075.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,46,,Defender,6.200000,False,0,1,2,,,0,0,,,20,,16,,,,5,2,1,1,,,,0,0,0,,,0,0,
19,31362,M. Modolo,Marco,Modolo,33,1989-03-23,San Donà di Piave,Italy,Italy,186 cm,80 kg,False,https://media.api-sports.io/football/players/31362.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,6,4,390,,Defender,6.716666,False,2,0,21,1,1,0,0,,,160,,21,6,6,4,35,18,1,,,3,6,2,0,0,,,0,0,
20,31362,M. Modolo,Marco,Modolo,33,1989-03-23,San Donà di Piave,Italy,Italy,186 cm,80 kg,False,https://media.api-sports.io/football/players/31362.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,90,,Defender,6.700000,False,0,0,1,,,0,0,,,60,,51,,,,9,4,,,,,3,0,0,0,,,0,0,
21,7530,M. Ullmann,Maximilian,Ullmann,26,1996-06-17,Linz,Austria,Austria,180 cm,70 kg,False,https://media.api-sports.io/football/players/7530.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,2,1,105,,Defender,6.500000,False,1,0,7,,,0,0,,,17,,3,,,2,6,3,1,1,,1,1,0,0,0,,,0,0,
22,561,T. Ebuehi,Tyronne Efe,Ebuehi,27,1995-12-16,Haarlem,Netherlands,Nigeria,187 cm,72 kg,False,https://media.api-sports.io/football/players/561.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,18,12,1129,,Defender,6.582352,False,6,7,10,4,1,0,0,,,367,5,17,21,3,16,109,51,20,11,,4,21,1,0,1,,,0,0,
23,561,T. Ebuehi,Tyronne Efe,Ebuehi,27,1995-12-16,Haarlem,Netherlands,Nigeria,187 cm,72 kg,False,https://media.api-sports.io/football/players/561.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,120,,Defender,7.000000,False,0,0,0,,,0,0,,,44,2,37,1,,,10,5,,,,,2,0,0,0,,,0,0,
24,7090,Michael Svoboda,Michael,Svoboda,24,1998-10-15,Vienna,Austria,Austria,195 cm,,False,https://media.api-sports.io/football/players/7090.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,13,9,864,,Defender,6.391666,False,4,1,19,2,,0,0,,,417,,28,20,8,6,64,39,3,2,,3,7,1,0,1,,,0,0,
25,7090,Michael Svoboda,Michael,Svoboda,24,1998-10-15,Vienna,Austria,Austria,195 cm,,False,https://media.api-sports.io/football/players/7090.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,3,2,218,,Defender,6.433333,False,1,0,1,,,0,0,,,134,,39,1,2,2,11,4,,,,,2,0,0,0,,,0,0,
26,1628,M. Caldara,Mattia,Caldara,28,1994-05-05,Bergamo,Italy,Italy,187 cm,80 kg,False,https://media.api-sports.io/football/players/1628.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,25,24,2163,,Defender,6.941666,False,1,0,5,9,6,1,0,,,929,2,32,40,25,50,170,97,4,2,,20,23,9,0,0,,,0,0,
27,1628,M. Caldara,Mattia,Caldara,28,1994-05-05,Bergamo,Italy,Italy,187 cm,80 kg,False,https://media.api-sports.io/football/players/1628.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,2,2,210,,Defender,7.400000,False,0,0,0,2,,0,0,,,129,,57,3,1,10,18,11,3,1,,3,1,0,0,0,,,0,0,
28,31415,P. Ceccaroni,Pietro,Ceccaroni,27,1995-12-21,Sarzana,Italy,Italy,188 cm,73 kg,False,https://media.api-sports.io/football/players/31415.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,28,28,2492,,Defender,6.746153,False,0,0,1,12,5,2,0,1,,1273,4,41,34,23,17,142,89,9,4,,19,22,6,0,1,,,0,0,
29,31415,P. Ceccaroni,Pietro,Ceccaroni,27,1995-12-21,Sarzana,Italy,Italy,188 cm,73 kg,False,https://media.api-sports.io/football/players/31415.png,517,Venezia,https://media.api-sports.io/football/teams/517.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2021,1,1,120,,Defender,7.200000,False,0,0,1,1,,0,0,,,103,,97,1,,1,4,2,,,,1,1,0,0,0,,,0,0,
