,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1445,K. Mavropanos,Konstantinos,Mavropanos,25,1997-12-11,Athína,Greece,Greece,194 cm,89 kg,False,https://media.api-sports.io/football/players/1445.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,26,26,2261,,Defender,7.061538,False,0,5,0,17,9,4,0,,,1453,8,44,50,18,54,218,146,21,9,,18,20,3,0,0,,,0,0,
1,1445,K. Mavropanos,Konstantinos,Mavropanos,25,1997-12-11,Athína,Greece,Greece,194 cm,89 kg,False,https://media.api-sports.io/football/players/1445.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,2,2,145,,Defender,7.600000,False,0,2,0,3,2,1,0,,,114,,48,1,2,2,14,10,1,,,3,1,0,0,0,,,0,0,
2,1445,K. Mavropanos,Konstantinos,Mavropanos,25,1997-12-11,Athína,Greece,Greece,194 cm,89 kg,False,https://media.api-sports.io/football/players/1445.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3003,M. Kamiński,Marcin,Kamiński,30,1992-01-15,Konin,Poland,Poland,192 cm,84 kg,False,https://media.api-sports.io/football/players/3003.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,24825,P. Klement,Phillipp,Klement,30,1992-09-09,Ludwigshafen am Rhein,Germany,Germany,175 cm,72 kg,False,https://media.api-sports.io/football/players/24825.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,6,3,338,,Midfielder,7.250000,False,3,3,6,4,2,1,0,,,247,8,34,7,1,1,24,13,6,4,,1,2,0,0,0,,,0,0,
5,24825,P. Klement,Phillipp,Klement,30,1992-09-09,Ludwigshafen am Rhein,Germany,Germany,175 cm,72 kg,False,https://media.api-sports.io/football/players/24825.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,1,66,,Midfielder,7.300000,False,0,1,1,1,,0,0,1,,47,2,38,,1,,2,,1,,,,,0,0,0,,,0,0,
6,24825,P. Klement,Phillipp,Klement,30,1992-09-09,Ludwigshafen am Rhein,Germany,Germany,175 cm,72 kg,False,https://media.api-sports.io/football/players/24825.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,Club Friendlies,,,,2021,1,1,79,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,24963,A. Karazor,Atakan,Karazor,26,1996-10-13,Essen,Germany,Germany,191 cm,76 kg,False,https://media.api-sports.io/football/players/24963.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,21,20,1646,,Defender,6.923809,False,1,5,5,7,2,0,0,1,,929,15,36,44,10,26,235,139,24,12,,35,33,6,1,0,,,0,0,
8,24963,A. Karazor,Atakan,Karazor,26,1996-10-13,Essen,Germany,Germany,191 cm,76 kg,False,https://media.api-sports.io/football/players/24963.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,1,90,,Defender,7.300000,False,0,0,0,,,0,0,,,76,1,73,1,,2,14,8,1,1,,4,1,0,0,0,,,0,0,
9,24963,A. Karazor,Atakan,Karazor,26,1996-10-13,Essen,Germany,Germany,191 cm,76 kg,False,https://media.api-sports.io/football/players/24963.png,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,Club Friendlies,,,,2021,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
