,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,66,S. Decarli,Saulo Igor,Decarli,30,1992-02-04,Locarno,Switzerland,Switzerland,188 cm,82 kg,False,https://media.api-sports.io/football/players/66.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,1,0,8,,Defender,6.700000,False,1,0,5,1,1,0,0,,,6,,6,,,,1,,,,,,,0,0,0,,,0,0,
1,66,S. Decarli,Saulo Igor,Decarli,30,1992-02-04,Locarno,Switzerland,Switzerland,188 cm,82 kg,False,https://media.api-sports.io/football/players/66.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
2,594,V. Lampropoulos,Vasilios Konstantinos,Lampropoulos,32,1990-03-31,Pyrgos,Greece,Greece,185 cm,86 kg,False,https://media.api-sports.io/football/players/594.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,13,13,1169,,Defender,6.800000,False,0,1,12,4,1,0,0,,,437,1,27,18,10,17,92,52,,,,4,6,1,0,0,,,0,0,
3,594,V. Lampropoulos,Vasilios Konstantinos,Lampropoulos,32,1990-03-31,Pyrgos,Greece,Greece,185 cm,86 kg,False,https://media.api-sports.io/football/players/594.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,2,0,95,,Defender,7.150000,False,2,0,3,,,0,0,,,64,,28,1,1,1,7,6,,,,1,,0,0,0,,,0,0,
4,1109,C. Gamboa,Cristian Esteban,Gamboa Luna,33,1989-10-24,Liberia,Costa Rica,Costa Rica,175 cm,70 kg,False,https://media.api-sports.io/football/players/1109.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,18,15,1275,,Defender,6.864705,False,3,7,7,1,1,1,0,,,459,10,20,44,5,27,131,77,16,10,,7,17,5,0,0,,,0,0,
5,1109,C. Gamboa,Cristian Esteban,Gamboa Luna,33,1989-10-24,Liberia,Costa Rica,Costa Rica,175 cm,70 kg,False,https://media.api-sports.io/football/players/1109.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,4,3,389,,Defender,7.125000,False,1,0,1,3,1,0,0,,,216,6,43,7,,10,29,12,3,,,4,5,0,0,0,,,0,0,
6,25058,M. Riemann,Manuel,Riemann,34,1988-09-09,,Germany,Germany,186 cm,83 kg,False,https://media.api-sports.io/football/players/25058.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,27,27,2430,,Goalkeeper,7.012000,False,0,0,0,1,,0,33,1,94,1236,5,29,1,,1,14,11,,,,2,,2,0,0,,,0,1,2
7,25058,M. Riemann,Manuel,Riemann,34,1988-09-09,,Germany,Germany,186 cm,83 kg,False,https://media.api-sports.io/football/players/25058.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,4,3,331,,Goalkeeper,6.700000,False,1,0,1,,,0,4,,9,196,2,32,1,,3,2,2,,,,,,0,0,0,,,0,0,0
8,25061,Armel Bella-Kotchap,Armel,Bella-Kotchap,21,2001-12-11,Paris,France,Germany,190 cm,87 kg,False,https://media.api-sports.io/football/players/25061.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,19,17,1523,,Defender,6.860000,False,2,1,10,6,2,0,0,,,550,2,26,27,15,30,123,75,3,2,,16,21,5,0,0,,,0,0,
9,25061,Armel Bella-Kotchap,Armel,Bella-Kotchap,21,2001-12-11,Paris,France,Germany,190 cm,87 kg,False,https://media.api-sports.io/football/players/25061.png,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,4,4,355,,Defender,7.000000,False,0,2,0,,,0,0,,,253,,51,8,3,11,34,22,2,2,,3,3,0,0,0,,,0,0,
