,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,400,J. Bruma,Jeffrey,Bruma,31,1991-11-13,Rotterdam,Netherlands,Netherlands,190 cm,88 kg,False,https://media.api-sports.io/football/players/400.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1084,M. Pongracic,Marin,Pongracic,25,1997-09-11,Landshut,Germany,Croatia,190 cm,95 kg,False,https://media.api-sports.io/football/players/1084.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,6.641666,False,0,0,1,,,0,0,,,537,,35,14,5,12,51,26,6,4,,,9,0,0,0,,,0,0,
2,1084,M. Pongracic,Marin,Pongracic,25,1997-09-11,Landshut,Germany,Croatia,190 cm,95 kg,False,https://media.api-sports.io/football/players/1084.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,7.700000,False,0,0,0,,,0,0,,,96,2,88,3,,1,5,5,1,1,,,,0,0,0,,,0,0,
3,1084,M. Pongracic,Marin,Pongracic,25,1997-09-11,Landshut,Germany,Croatia,190 cm,95 kg,False,https://media.api-sports.io/football/players/1084.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,0,0,0,,Defender,6.260000,False,0,0,0,,,0,0,,,90,1,15,,,3,8,4,2,1,,,1,0,0,0,,,0,0,
4,1084,M. Pongracic,Marin,Pongracic,25,1997-09-11,Landshut,Germany,Croatia,190 cm,95 kg,False,https://media.api-sports.io/football/players/1084.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,24,21,1826,,Defender,6.769565,False,3,5,8,12,4,1,0,,,1003,3,35,27,8,39,170,92,4,2,,4,21,3,0,0,,,0,0,
6,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,-13,,Defender,6.900000,False,1,0,1,1,1,0,0,,,11,,7,,,,1,1,,,,,,0,0,0,,,0,0,
7,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,3,2,204,,Defender,6.600000,False,1,0,3,1,,0,0,,,90,,22,3,3,2,17,9,,,,,3,1,0,0,,,0,0,
8,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,1,0,44,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,2762,J. Brekalo,Josip,Brekalo,24,1998-06-23,Zagreb,Croatia,Croatia,175 cm,70 kg,False,https://media.api-sports.io/football/players/2762.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,1,0,20,,Midfielder,6.900000,False,1,0,2,,,0,0,1,,15,1,12,,,,3,1,1,1,,,,0,0,0,,,0,0,
10,2762,J. Brekalo,Josip,Brekalo,24,1998-06-23,Zagreb,Croatia,Croatia,175 cm,70 kg,False,https://media.api-sports.io/football/players/2762.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,44,,Midfielder,7.900000,False,1,0,1,2,2,1,0,,,41,5,33,,1,1,5,3,1,,,2,,0,0,0,,,0,0,
11,2762,J. Brekalo,Josip,Brekalo,24,1998-06-23,Zagreb,Croatia,Croatia,175 cm,70 kg,False,https://media.api-sports.io/football/players/2762.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,2808,A. Mehmedi,Admir,Mehmedi,31,1991-03-16,Gostivar,North Macedonia,Switzerland,183 cm,78 kg,False,https://media.api-sports.io/football/players/2808.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,1,0,3,,Attacker,6.200000,False,1,0,5,,,0,0,,,5,,3,,,,,,,,,,,0,0,0,,,0,0,
13,2808,A. Mehmedi,Admir,Mehmedi,31,1991-03-16,Gostivar,North Macedonia,Switzerland,183 cm,78 kg,False,https://media.api-sports.io/football/players/2808.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,0,-13,,Attacker,6.200000,False,1,0,1,1,,0,0,,,8,,6,,,,3,,,,,,2,0,0,0,,,0,0,
14,2808,A. Mehmedi,Admir,Mehmedi,31,1991-03-16,Gostivar,North Macedonia,Switzerland,183 cm,78 kg,False,https://media.api-sports.io/football/players/2808.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,2808,A. Mehmedi,Admir,Mehmedi,31,1991-03-16,Gostivar,North Macedonia,Switzerland,183 cm,78 kg,False,https://media.api-sports.io/football/players/2808.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,1,0,14,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,2918,K. Casteels,Koen,Casteels,30,1992-06-25,Bonheiden,Belgium,Belgium,197 cm,78 kg,False,https://media.api-sports.io/football/players/2918.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,24,24,2160,,Goalkeeper,6.900000,False,0,0,0,,,0,31,,63,804,,25,,,,14,13,2,2,,2,,1,0,0,,,0,0,1
17,2918,K. Casteels,Koen,Casteels,30,1992-06-25,Bonheiden,Belgium,Belgium,197 cm,78 kg,False,https://media.api-sports.io/football/players/2918.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,1,90,,Goalkeeper,6.700000,False,0,0,0,,,0,1,,1,49,,42,,,,,,,,,,,0,0,0,,,0,0,0
18,2918,K. Casteels,Koen,Casteels,30,1992-06-25,Bonheiden,Belgium,Belgium,197 cm,78 kg,False,https://media.api-sports.io/football/players/2918.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,5,5,450,,Goalkeeper,6.860000,False,0,0,0,,,0,8,,18,165,,22,,,,2,2,,,,1,,0,0,0,,,0,0,0
19,2918,K. Casteels,Koen,Casteels,30,1992-06-25,Bonheiden,Belgium,Belgium,197 cm,78 kg,False,https://media.api-sports.io/football/players/2918.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,25396,P. Pervan,Pavao,Pervan,35,1987-11-13,Wien,Bosnia and Herzegovina,Austria,194 cm,88 kg,False,https://media.api-sports.io/football/players/25396.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,5,5,450,,Goalkeeper,6.300000,False,0,0,24,,,0,14,,16,145,,21,,,,3,2,,,,,,0,0,0,,,0,0,1
21,25396,P. Pervan,Pavao,Pervan,35,1987-11-13,Wien,Bosnia and Herzegovina,Austria,194 cm,88 kg,False,https://media.api-sports.io/football/players/25396.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
22,25396,P. Pervan,Pavao,Pervan,35,1987-11-13,Wien,Bosnia and Herzegovina,Austria,194 cm,88 kg,False,https://media.api-sports.io/football/players/25396.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,1,1,90,,Goalkeeper,7.300000,False,0,0,5,,,0,2,,5,37,,20,,,,1,1,,,,,,0,0,0,,,0,0,0
23,25396,P. Pervan,Pavao,Pervan,35,1987-11-13,Wien,Bosnia and Herzegovina,Austria,194 cm,88 kg,False,https://media.api-sports.io/football/players/25396.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,1,1,90,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24,25398,William,William,de Asevedo Furtado,27,1995-04-03,Pelotas,Brazil,Brazil,176 cm,67 kg,False,https://media.api-sports.io/football/players/25398.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25,25398,William,William,de Asevedo Furtado,27,1995-04-03,Pelotas,Brazil,Brazil,176 cm,67 kg,False,https://media.api-sports.io/football/players/25398.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26,25398,William,William,de Asevedo Furtado,27,1995-04-03,Pelotas,Brazil,Brazil,176 cm,67 kg,False,https://media.api-sports.io/football/players/25398.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
27,25398,William,William,de Asevedo Furtado,27,1995-04-03,Pelotas,Brazil,Brazil,176 cm,67 kg,False,https://media.api-sports.io/football/players/25398.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
28,25398,William,William,de Asevedo Furtado,27,1995-04-03,Pelotas,Brazil,Brazil,176 cm,67 kg,False,https://media.api-sports.io/football/players/25398.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
29,25410,J. Guilavogui,Josuha,Guilavogui,32,1990-09-19,Toulon,France,France,188 cm,77 kg,False,https://media.api-sports.io/football/players/25410.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2021,15,10,942,,Midfielder,6.814285,False,5,4,9,7,2,0,0,,,516,3,28,23,6,25,131,77,8,7,,6,20,4,0,0,,,0,0,
30,25410,J. Guilavogui,Josuha,Guilavogui,32,1990-09-19,Toulon,France,France,188 cm,77 kg,False,https://media.api-sports.io/football/players/25410.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2021,1,1,60,,Midfielder,7.200000,False,0,1,0,,,0,0,,,46,1,39,1,,2,3,2,,,,,,0,0,0,,,0,0,
31,25410,J. Guilavogui,Josuha,Guilavogui,32,1990-09-19,Toulon,France,France,188 cm,77 kg,False,https://media.api-sports.io/football/players/25410.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2021,5,5,430,,Midfielder,6.800000,False,0,1,0,1,,0,0,,,209,1,35,8,5,15,49,23,3,1,,1,11,3,1,0,,,0,0,
32,25410,J. Guilavogui,Josuha,Guilavogui,32,1990-09-19,Toulon,France,France,188 cm,77 kg,False,https://media.api-sports.io/football/players/25410.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,1,1,46,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
33,25411,F. Klaus,Felix,Klaus,30,1992-09-13,Osnabrück,Germany,Germany,179 cm,79 kg,False,https://media.api-sports.io/football/players/25411.png,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,Club Friendlies,,,,2021,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
